row,kind,bin1,bin2,theta_arcmin,kept_after_cuts
0,xip,src0,src0,0.7133649061081178,0
1,xip,src0,src0,1.4520956109204288,0
2,xip,src0,src0,2.955824775230527,0
3,xip,src0,src0,6.016752640915019,1
4,xip,src0,src0,12.247448713915889,1
5,xip,src0,src0,24.930391683376275,1
6,xip,src0,src0,50.747257163882935,1
7,xip,src0,src0,103.2989831192456,1
8,xip,src0,src0,210.27106704526625,1
9,xip,src0,src1,0.7133649061081178,0
10,xip,src0,src1,1.4520956109204288,0
11,xip,src0,src1,2.955824775230527,0
12,xip,src0,src1,6.016752640915019,1
13,xip,src0,src1,12.247448713915889,1
14,xip,src0,src1,24.930391683376275,1
15,xip,src0,src1,50.747257163882935,1
16,xip,src0,src1,103.2989831192456,1
17,xip,src0,src1,210.27106704526625,1
18,xip,src0,src2,0.7133649061081178,0
19,xip,src0,src2,1.4520956109204288,0
20,xip,src0,src2,2.955824775230527,0
21,xip,src0,src2,6.016752640915019,1
22,xip,src0,src2,12.247448713915889,1
23,xip,src0,src2,24.930391683376275,1
24,xip,src0,src2,50.747257163882935,1
25,xip,src0,src2,103.2989831192456,1
26,xip,src0,src2,210.27106704526625,1
27,xip,src0,src3,0.7133649061081178,0
28,xip,src0,src3,1.4520956109204288,0
29,xip,src0,src3,2.955824775230527,0
30,xip,src0,src3,6.016752640915019,1
31,xip,src0,src3,12.247448713915889,1
32,xip,src0,src3,24.930391683376275,1
33,xip,src0,src3,50.747257163882935,1
34,xip,src0,src3,103.2989831192456,1
35,xip,src0,src3,210.27106704526625,1
36,xip,src0,src4,0.7133649061081178,0
37,xip,src0,src4,1.4520956109204288,0
38,xip,src0,src4,2.955824775230527,0
39,xip,src0,src4,6.016752640915019,1
40,xip,src0,src4,12.247448713915889,1
41,xip,src0,src4,24.930391683376275,1
42,xip,src0,src4,50.747257163882935,1
43,xip,src0,src4,103.2989831192456,1
44,xip,src0,src4,210.27106704526625,1
45,xip,src1,src1,0.7133649061081178,0
46,xip,src1,src1,1.4520956109204288,0
47,xip,src1,src1,2.955824775230527,0
48,xip,src1,src1,6.016752640915019,1
49,xip,src1,src1,12.247448713915889,1
50,xip,src1,src1,24.930391683376275,1
51,xip,src1,src1,50.747257163882935,1
52,xip,src1,src1,103.2989831192456,1
53,xip,src1,src1,210.27106704526625,1
54,xip,src1,src2,0.7133649061081178,0
55,xip,src1,src2,1.4520956109204288,0
56,xip,src1,src2,2.955824775230527,0
57,xip,src1,src2,6.016752640915019,1
58,xip,src1,src2,12.247448713915889,1
59,xip,src1,src2,24.930391683376275,1
60,xip,src1,src2,50.747257163882935,1
61,xip,src1,src2,103.2989831192456,1
62,xip,src1,src2,210.27106704526625,1
63,xip,src1,src3,0.7133649061081178,0
64,xip,src1,src3,1.4520956109204288,0
65,xip,src1,src3,2.955824775230527,0
66,xip,src1,src3,6.016752640915019,1
67,xip,src1,src3,12.247448713915889,1
68,xip,src1,src3,24.930391683376275,1
69,xip,src1,src3,50.747257163882935,1
70,xip,src1,src3,103.2989831192456,1
71,xip,src1,src3,210.27106704526625,1
72,xip,src1,src4,0.7133649061081178,0
73,xip,src1,src4,1.4520956109204288,0
74,xip,src1,src4,2.955824775230527,0
75,xip,src1,src4,6.016752640915019,1
76,xip,src1,src4,12.247448713915889,1
77,xip,src1,src4,24.930391683376275,1
78,xip,src1,src4,50.747257163882935,1
79,xip,src1,src4,103.2989831192456,1
80,xip,src1,src4,210.27106704526625,1
81,xip,src2,src2,0.7133649061081178,0
82,xip,src2,src2,1.4520956109204288,0
83,xip,src2,src2,2.955824775230527,0
84,xip,src2,src2,6.016752640915019,1
85,xip,src2,src2,12.247448713915889,1
86,xip,src2,src2,24.930391683376275,1
87,xip,src2,src2,50.747257163882935,1
88,xip,src2,src2,103.2989831192456,1
89,xip,src2,src2,210.27106704526625,1
90,xip,src2,src3,0.7133649061081178,0
91,xip,src2,src3,1.4520956109204288,0
92,xip,src2,src3,2.955824775230527,0
93,xip,src2,src3,6.016752640915019,1
94,xip,src2,src3,12.247448713915889,1
95,xip,src2,src3,24.930391683376275,1
96,xip,src2,src3,50.747257163882935,1
97,xip,src2,src3,103.2989831192456,1
98,xip,src2,src3,210.27106704526625,1
99,xip,src2,src4,0.7133649061081178,0
100,xip,src2,src4,1.4520956109204288,0
101,xip,src2,src4,2.955824775230527,0
102,xip,src2,src4,6.016752640915019,1
103,xip,src2,src4,12.247448713915889,1
104,xip,src2,src4,24.930391683376275,1
105,xip,src2,src4,50.747257163882935,1
106,xip,src2,src4,103.2989831192456,1
107,xip,src2,src4,210.27106704526625,1
108,xip,src3,src3,0.7133649061081178,0
109,xip,src3,src3,1.4520956109204288,0
110,xip,src3,src3,2.955824775230527,0
111,xip,src3,src3,6.016752640915019,1
112,xip,src3,src3,12.247448713915889,1
113,xip,src3,src3,24.930391683376275,1
114,xip,src3,src3,50.747257163882935,1
115,xip,src3,src3,103.2989831192456,1
116,xip,src3,src3,210.27106704526625,1
117,xip,src3,src4,0.7133649061081178,0
118,xip,src3,src4,1.4520956109204288,0
