a,R_bH
0.05,0.0975
0.05372549019607843,0.10456455209534794
0.05745098039215687,0.11160134563629374
0.0611764705882353,0.11861038062283737
0.06490196078431373,0.12559165705497888
0.06862745098039216,0.1325451749327182
0.07235294117647059,0.1394709342560554
0.07607843137254902,0.14636893502499038
0.07980392156862745,0.15323917723952327
0.08352941176470588,0.16008166089965398
0.08725490196078431,0.16689638600538254
0.09098039215686274,0.17368335255670894
0.09470588235294118,0.18044256055363322
0.09843137254901961,0.18717400999615533
0.10215686274509804,0.19387770088427528
0.10588235294117648,0.2005536332179931
0.10960784313725491,0.20720180699730875
0.11333333333333334,0.21382222222222225
0.11705882352941177,0.22041487889273356
0.1207843137254902,0.22697977700884275
0.12450980392156863,0.2335169165705498
0.12823529411764706,0.24002629757785468
0.1319607843137255,0.24650792003075742
0.13568627450980392,0.25296178392925794
0.13941176470588235,0.2593878892733564
0.14313725490196078,0.2657862360630527
0.1468627450980392,0.27215682429834676
0.15058823529411763,0.2784996539792387
0.15431372549019606,0.28481472510572853
0.15803921568627452,0.2911020376778162
0.16176470588235295,0.29736159169550175
0.16549019607843138,0.3035933871587851
0.1692156862745098,0.3097974240676663
0.17294117647058824,0.31597370242214534
0.1766666666666667,0.32212222222222225
0.18039215686274512,0.328242983467897
0.18411764705882355,0.3343359861591696
0.18784313725490198,0.34040123029604
0.1915686274509804,0.3464387158785083
0.19529411764705884,0.3524484429065744
0.19901960784313727,0.3584304113802384
0.2027450980392157,0.3643846212995002
0.20647058823529413,0.37031107266435986
0.21019607843137256,0.3762097654748174
0.213921568627451,0.3820806997308728
0.21764705882352942,0.38792387543252593
0.22137254901960784,0.393739292579777
0.22509803921568627,0.39952695117262593
0.2288235294117647,0.40528685121107266
0.23254901960784313,0.41101899269511727
0.23627450980392156,0.4167233756247597
0.24,0.4224
0.24372549019607842,0.4280488658208381
0.24745098039215685,0.43366997308727406
0.2511764705882353,0.43926332179930794
0.2549019607843137,0.44482891195693963
0.25862745098039214,0.45036674356016915
0.26235294117647057,0.45587681660899654
0.26607843137254905,0.4613591311034218
0.2698039215686275,0.4668136870434449
0.2735294117647059,0.4722404844290658
0.27725490196078434,0.4776395232602845
0.28098039215686277,0.48301080353710113
0.2847058823529412,0.4883543252595156
0.2884313725490196,0.49367008842752785
0.29215686274509806,0.49895809304113803
0.2958823529411765,0.5042183391003461
0.2996078431372549,0.509450826605152
0.30333333333333334,0.5146555555555556
0.3070588235294118,0.519832525951557
0.3107843137254902,0.5249817377931565
0.31450980392156863,0.5301031910803538
0.31823529411764706,0.5351968858131487
0.3219607843137255,0.5402628219915417
0.3256862745098039,0.5453009996155325
0.32941176470588235,0.5503114186851211
0.3331372549019608,0.5552940792003076
0.3368627450980392,0.5602489811610919
0.34058823529411764,0.565176124567474
0.34431372549019607,0.5700755094194541
0.3480392156862745,0.5749471357170318
0.3517647058823529,0.5797910034602076
0.35549019607843135,0.5846071126489811
0.3592156862745098,0.5893954632833526
0.3629411764705882,0.5941560553633218
0.36666666666666664,0.5988888888888888
0.37039215686274507,0.6035939638600538
0.3741176470588235,0.6082712802768165
0.37784313725490193,0.6129208381391772
0.38156862745098036,0.6175426374471357
0.38529411764705884,0.6221366782006921
0.38901960784313727,0.6267029603998462
0.3927450980392157,0.6312414840445982
0.39647058823529413,0.6357522491349481
0.40019607843137256,0.6402352556708959
0.403921568627451,0.6446905036524414
0.4076470588235294,0.6491179930795847
0.41137254901960785,0.653517723952326
0.4150980392156863,0.6578896962706652
0.4188235294117647,0.6622339100346021
0.42254901960784313,0.6665503652441368
0.42627450980392156,0.6708390618992696
0.43,0.6751
0.4337254901960784,0.6793331795463283
0.43745098039215685,0.6835386005382544
0.4411764705882353,0.6877162629757785
0.4449019607843137,0.6918661668589005
0.44862745098039214,0.69598831218762
0.45235294117647057,0.7000826989619376
0.456078431372549,0.7041493271818531
0.4598039215686274,0.7081881968473664
0.46352941176470586,0.7121993079584775
0.4672549019607843,0.7161826605151864
0.4709803921568627,0.7201382545174932
0.47470588235294114,0.7240660899653979
0.4784313725490196,0.7279661668589004
0.48215686274509806,0.7318384851980008
0.4858823529411765,0.735683044982699
0.4896078431372549,0.7394998462129949
0.49333333333333335,0.7432888888888889
0.4970588235294118,0.7470501730103807
0.5007843137254903,0.7507836985774702
0.5045098039215686,0.7544894655901577
0.5082352941176471,0.758167474048443
0.5119607843137255,0.761817723952326
0.515686274509804,0.7654402153018071
0.5194117647058824,0.7690349480968858
0.5231372549019608,0.7726019223375625
0.5268627450980392,0.776141138023837
0.5305882352941177,0.7796525951557093
0.5343137254901961,0.7831362937331796
0.5380392156862746,0.7865922337562476
0.5417647058823529,0.7900204152249135
0.5454901960784314,0.7934208381391773
0.5492156862745098,0.7967935024990388
0.5529411764705883,0.8001384083044983
0.5566666666666668,0.8034555555555557
0.5603921568627451,0.8067449442522107
0.5641176470588236,0.8100065743944638
0.567843137254902,0.8132404459823145
0.5715686274509805,0.8164465590157631
0.5752941176470588,0.8196249134948098
0.5790196078431373,0.8227755094194541
0.5827450980392157,0.8258983467896963
0.5864705882352942,0.8289934256055365
0.5901960784313726,0.8320607458669742
0.593921568627451,0.8351003075740101
0.5976470588235294,0.8381121107266436
0.6013725490196079,0.841096155324875
0.6050980392156863,0.8440524413687044
0.6088235294117648,0.8469809688581316
0.6125490196078431,0.8498817377931565
0.6162745098039216,0.8527547481737794
0.62,0.8555999999999999
0.6237254901960785,0.8584174932718186
0.627450980392157,0.8612072279892351
0.6311764705882353,0.8639692041522491
0.6349019607843138,0.8667034217608612
0.6386274509803922,0.8694098808150712
0.6423529411764707,0.8720885813148789
0.6460784313725491,0.8747395232602846
0.6498039215686275,0.877362706651288
0.6535294117647059,0.8799581314878893
0.6572549019607844,0.8825257977700885
0.6609803921568628,0.8850657054978853
0.6647058823529413,0.8875778546712804
0.6684313725490196,0.890062245290273
0.6721568627450981,0.8925188773548635
0.6758823529411765,0.894947750865052
0.679607843137255,0.8973488658208382
0.6833333333333333,0.8997222222222222
0.6870588235294118,0.9020678200692043
0.6907843137254902,0.9043856593617838
0.6945098039215687,0.9066757400999615
0.6982352941176471,0.9089380622837371
0.7019607843137255,0.9111726259131103
0.7056862745098039,0.9133794309880816
0.7094117647058824,0.9155584775086506
0.7131372549019608,0.9177097654748174
0.7168627450980393,0.9198332948865822
0.7205882352941178,0.9219290657439447
0.7243137254901961,0.923997078046905
0.7280392156862746,0.9260373317954634
0.731764705882353,0.9280498269896194
0.7354901960784315,0.9300345636293734
0.7392156862745098,0.9319915417147251
0.7429411764705883,0.9339207612456747
0.7466666666666667,0.9358222222222223
0.7503921568627452,0.9376959246443676
0.7541176470588236,0.9395418685121107
0.757843137254902,0.9413600538254518
0.7615686274509804,0.9431504805843905
0.7652941176470589,0.9449131487889274
0.7690196078431373,0.9466480584390619
0.7727450980392158,0.9483552095347942
0.7764705882352941,0.9500346020761247
0.7801960784313726,0.9516862360630527
0.783921568627451,0.9533101114955786
0.7876470588235295,0.9549062283737025
0.7913725490196079,0.956474586697424
0.7950980392156863,0.9580151864667436
0.7988235294117647,0.9595280276816609
0.8025490196078432,0.9610131103421761
0.8062745098039216,0.9624704344482892
0.81,0.9639
0.8137254901960785,0.9653018069973087
0.8174509803921569,0.9666758554402154
0.8211764705882354,0.9680221453287198
0.8249019607843138,0.969340676662822
0.8286274509803923,0.9706314494425222
0.8323529411764706,0.97189446366782
0.8360784313725491,0.973129719338716
0.8398039215686275,0.9743372164552095
0.843529411764706,0.975516955017301
0.8472549019607843,0.9766689350249905
0.8509803921568628,0.9777931564782776
0.8547058823529412,0.9788896193771627
0.8584313725490197,0.9799583237216456
0.8621568627450981,0.9809992695117262
0.8658823529411765,0.9820124567474049
0.8696078431372549,0.9829978854286813
0.8733333333333334,0.9839555555555555
0.8770588235294118,0.9848854671280278
0.8807843137254903,0.9857876201460977
0.8845098039215686,0.9866620146097654
0.8882352941176471,0.9875086505190313
0.8919607843137255,0.9883275278738946
0.895686274509804,0.989118646674356
0.8994117647058824,0.9898820069204153
0.9031372549019608,0.9906176086120722
0.9068627450980392,0.9913254517493273
0.9105882352941177,0.9920055363321799
0.9143137254901962,0.9926578623606305
0.9180392156862746,0.9932824298346791
0.921764705882353,0.9938792387543253
0.9254901960784314,0.9944482891195694
0.9292156862745099,0.9949895809304115
0.9329411764705883,0.9955031141868511
0.9366666666666668,0.9959888888888889
0.9403921568627451,0.9964469050365244
0.9441176470588236,0.9968771626297577
0.947843137254902,0.9972796616685892
0.9515686274509805,0.997654402153018
0.9552941176470588,0.998001384083045
0.9590196078431373,0.9983206074586699
0.9627450980392157,0.9986120722798922
0.9664705882352942,0.9988757785467128
0.9701960784313726,0.9991117262591311
0.973921568627451,0.9993199154171472
0.9776470588235294,0.9995003460207613
0.9813725490196079,0.9996530180699731
0.9850980392156863,0.9997779315647828
0.9888235294117648,0.9998750865051904
0.9925490196078431,0.9999444828911955
0.9962745098039216,0.9999861207227989
1.0,1.0
