time,load_ratio_r2.0,recovery_r2.0,load_ratio_r5.0,recovery_r5.0,load_ratio_r9.0,recovery_r9.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.2506265664160401,0.0019278966647387698,0.999961443553362,0.004819741661846925,0.9999036144578314,0.008675534991324464,0.9998265194009137
0.5012531328320802,0.0038557933294775396,0.9999228900798088,0.00963948332369385,0.9998072474942173,0.017351069982648928,0.9996530989824236
0.7518796992481203,0.00578368999421631,0.999884339578996,0.014459224985540775,0.9997108991037872,0.026026604973973393,0.9994797387132205
1.0025062656641603,0.007711586658955079,0.9998457920505802,0.0192789666473877,0.9996145692811718,0.034702139965297855,0.9993064385620161
1.2531328320802004,0.00963948332369385,0.9998072474942173,0.024098708309234624,0.9995182580210039,0.04337767495662233,0.999133198497544
1.5037593984962405,0.01156737998843262,0.999768705909564,0.02891844997108155,0.999421965317919,0.05205320994794679,0.9989600184885603
1.7543859649122806,0.013495276653171389,0.9997301672962763,0.03373819163292847,0.9993256911665543,0.06072874493927125,0.9987868985038414
2.0050125313283207,0.015423173317910158,0.9996916316540108,0.0385579332947754,0.9992294355615488,0.06940427993059571,0.9986138385121867
2.2556390977443606,0.017351069982648928,0.9996530989824236,0.04337767495662232,0.999133198497544,0.07807981492192018,0.9984408384824162
2.506265664160401,0.0192789666473877,0.9996145692811718,0.04819741661846925,0.9990369799691834,0.08675534991324466,0.9982678983833717
2.756892230576441,0.02120686331212647,0.9995760425499113,0.053017158280316175,0.9989407799711123,0.09543088490456911,0.9980950181839173
3.007518796992481,0.02313475997686524,0.9995375187882993,0.0578368999421631,0.998844598497978,0.10410641989589357,0.9979221978529379
3.258145363408521,0.02506265664160401,0.999498997995992,0.06265664160401001,0.9987484355444306,0.11278195488721802,0.9977494373593397
3.508771929824561,0.026990553306342778,0.9994604801726464,0.06747638326585693,0.9986522911051214,0.1214574898785425,0.9975767366720517
3.7593984962406015,0.02891844997108155,0.999421965317919,0.07229612492770388,0.9985561651747039,0.13013302486986697,0.997404095760023
4.010025062656641,0.030846346635820317,0.9993834534314671,0.0771158665895508,0.9984600577478345,0.13880855986119142,0.9972315145922251
4.260651629072681,0.032774243300559086,0.999344944512947,0.08193560825139773,0.9983639688191706,0.1474840948525159,0.9970589931376507
4.511278195488721,0.034702139965297855,0.9993064385620161,0.08675534991324464,0.9982678983833717,0.15615962984384035,0.9968865313653136
4.761904761904762,0.03663003663003663,0.9992679355783309,0.09157509157509158,0.9981718464351006,0.16483516483516483,0.9967141292442497
5.012531328320802,0.0385579332947754,0.9992294355615488,0.0963948332369385,0.9980758129690207,0.1735106998264893,0.9965417867435159
5.263157894736842,0.040485829959514164,0.9991909385113269,0.10121457489878542,0.9979797979797979,0.18218623481781376,0.9963695038321904
5.513784461152882,0.04241372662425294,0.999152444427322,0.10603431656063235,0.9978838014621008,0.19086176980913822,0.9961972804793732
5.764411027568922,0.04434162328899171,0.9991139533091918,0.11085405822247928,0.9977878234105992,0.1995373048004627,0.996025116654185
6.015037593984962,0.04626951995373048,0.999075465156593,0.1156737998843262,0.9976918638199653,0.20821283979178715,0.995853012325769
6.265664160401002,0.04819741661846925,0.9990369799691834,0.12049354154617312,0.9975959226848735,0.2168883747831116,0.9956809674632883
6.516290726817042,0.05012531328320802,0.9989984977466199,0.12531328320802002,0.9975,0.22556390977443605,0.9955089820359281
6.7669172932330826,0.05205320994794679,0.9989600184885603,0.13013302486986697,0.997404095760023,0.23423944476576056,0.995337056012895
7.017543859649122,0.053981106612685556,0.9989215421946616,0.13495276653171387,0.9973082099596231,0.242914979757085,0.9951651893634167
7.268170426065162,0.055909003277424325,0.9988830688645818,0.13977250819356082,0.9972123425934827,0.25159051474840943,0.9949933820567416
7.518796992481203,0.0578368999421631,0.998844598497978,0.14459224985540775,0.997116493656286,0.26026604973973394,0.9948216340621404
7.769423558897243,0.05976479660690187,0.9988061310945083,0.14941199151725468,0.9970206631427199,0.2689415847310584,0.9946499453489039
8.020050125313283,0.06169269327164063,0.9987676666538299,0.1542317331791016,0.9969248510474726,0.27761711972238284,0.9944783158863453
8.270676691729323,0.06362058993637941,0.9987292051756008,0.1590514748409485,0.9968290573652351,0.2862926547137073,0.9943067456437978
8.521303258145362,0.06554848660111817,0.9986907466594785,0.16387121650279546,0.9967332820906994,0.2949681897050318,0.9941352345906163
8.771929824561402,0.06747638326585693,0.9986522911051214,0.16869095816464236,0.9966375252185609,0.3036437246963562,0.993963782696177
9.022556390977442,0.06940427993059571,0.9986138385121867,0.17351069982648928,0.9965417867435159,0.3123192596876807,0.9937923899298771
9.273182957393484,0.07133217659533449,0.9985753888803328,0.17833044148833624,0.9964460666602631,0.3209947946790052,0.9936210562611344
9.523809523809524,0.07326007326007326,0.9985369422092173,0.18315018315018317,0.9963503649635037,0.32967032967032966,0.9934497816593887
9.774436090225564,0.07518796992481203,0.9984984984984984,0.18796992481203006,0.9962546816479402,0.3383458646616541,0.9932785660941001
10.025062656641603,0.0771158665895508,0.9984600577478345,0.192789666473877,0.9961590167082772,0.3470213996529786,0.9931074095347501
10.275689223057643,0.07904376325428956,0.9984216199568832,0.1976094081357239,0.9960633701392223,0.355696934644303,0.9929363119508414
10.526315789473683,0.08097165991902833,0.9983831851253032,0.20242914979757085,0.995967741935484,0.3643724696356275,0.992765273311897
10.776942355889723,0.0828995565837671,0.9983447532527523,0.20724889145941774,0.9958721320917729,0.373048004626952,0.992594293587462
11.027568922305765,0.08482745324850588,0.9983063243388891,0.2120686331212647,0.9957765406028029,0.38172353961827643,0.9924233727471015
11.278195488721805,0.08675534991324466,0.9982678983833717,0.21688837478311163,0.9956809674632883,0.39039907460960094,0.9922525107604017
11.528822055137844,0.08868324657798342,0.9982294753858589,0.22170811644495855,0.9955854126679462,0.3990746096009254,0.9920817075969705
11.779448621553884,0.09061114324272218,0.9981910553460087,0.22652785810680545,0.995489876211496,0.40775014459224984,0.9919109632264358
12.030075187969924,0.09253903990746096,0.99815263826348,0.2313475997686524,0.9953943580886586,0.4164256795835743,0.9917402776184466
12.280701754385964,0.09446693657219972,0.998114224137931,0.2361673414304993,0.9952988582941571,0.42510121457489874,0.9915696507426737
12.531328320802004,0.0963948332369385,0.9980758129690207,0.24098708309234623,0.9952033768227168,0.4337767495662232,0.9913990825688073
12.781954887218044,0.09832272990167726,0.9980374047564072,0.24580682475419313,0.9951079136690648,0.4424522845575477,0.9912285730665596
13.032581453634084,0.10025062656641603,0.99799899949975,0.25062656641604003,0.9950124688279303,0.4511278195488721,0.9910581222056632
13.283208020050125,0.10217852323115481,0.9979605971987071,0.25544630807788704,0.9949170422940443,0.45980335454019666,0.9908877299558714
