env_access,invariant_protection,regime
0.0,0.0,4.0
0.004016064257028112,0.0,4.0
0.008032128514056224,0.0,4.0
0.012048192771084336,0.0,4.0
0.01606425702811245,0.0,4.0
0.020080321285140562,0.0,4.0
0.024096385542168672,0.0,4.0
0.028112449799196783,0.0,4.0
0.0321285140562249,0.0,4.0
0.03614457831325301,0.0,4.0
0.040160642570281124,0.0,4.0
0.04417670682730923,0.0,4.0
0.048192771084337345,0.0,4.0
0.05220883534136546,0.0,4.0
0.056224899598393566,0.0,4.0
0.06024096385542168,0.0,4.0
0.0642570281124498,0.0,4.0
0.0682730923694779,0.0,4.0
0.07228915662650602,0.0,4.0
0.07630522088353413,0.0,4.0
0.08032128514056225,0.0,4.0
0.08433734939759036,0.0,4.0
0.08835341365461846,0.0,4.0
0.09236947791164658,0.0,4.0
0.09638554216867469,0.0,4.0
0.1004016064257028,0.0,4.0
0.10441767068273092,0.0,4.0
0.10843373493975902,0.0,4.0
0.11244979919678713,0.0,4.0
0.11646586345381525,0.0,4.0
0.12048192771084336,0.0,4.0
0.12449799196787148,0.0,4.0
0.1285140562248996,0.0,4.0
0.1325301204819277,0.0,4.0
0.1365461847389558,0.0,4.0
0.14056224899598393,0.0,4.0
0.14457831325301204,0.0,4.0
0.14859437751004015,0.0,4.0
0.15261044176706826,0.0,4.0
0.15662650602409636,0.0,4.0
0.1606425702811245,0.0,4.0
0.1646586345381526,0.0,4.0
0.1686746987951807,0.0,4.0
0.17269076305220882,0.0,4.0
0.17670682730923692,0.0,4.0
0.18072289156626503,0.0,1.0
0.18473895582329317,0.0,1.0
0.18875502008032127,0.0,1.0
0.19277108433734938,0.0,1.0
0.1967871485943775,0.0,1.0
0.2008032128514056,0.0,1.0
0.20481927710843373,0.0,1.0
0.20883534136546184,0.0,1.0
0.21285140562248994,0.0,1.0
0.21686746987951805,0.0,1.0
0.22088353413654616,0.0,1.0
0.22489959839357426,0.0,1.0
0.2289156626506024,0.0,1.0
0.2329317269076305,0.0,1.0
0.2369477911646586,0.0,1.0
0.24096385542168672,0.0,1.0
0.24497991967871482,0.0,1.0
0.24899598393574296,0.0,1.0
0.25301204819277107,0.0,0.0
0.2570281124497992,0.0,0.0
0.2610441767068273,0.0,0.0
0.2650602409638554,0.0,0.0
0.2690763052208835,0.0,0.0
