readout_strength,recovery_alpha_08,recovery_alpha_16,recovery_alpha_30
0.0,0.125,0.125,0.125
0.0033444816053511705,0.1273380079591318,0.12966976873973002,0.1337353680152364
0.006688963210702341,0.12966976873973002,0.13431461549079418,0.14238352842548804
0.010033444816053512,0.13199529903431237,0.1389346732588196,0.15094535184849595
0.013377926421404682,0.13431461549079418,0.14353007433959827,0.15942170021038204
0.016722408026755852,0.13662773471260745,0.1481009503228758,0.16781342683242095
0.020066889632107024,0.1389346732588196,0.1526474320961191,0.17612137651694348
0.023411371237458192,0.141235447644252,0.15716964984826481,0.18434638563238454
0.026755852842809364,0.14353007433959827,0.16166773307344678,0.19248928219748027
0.030100334448160536,0.14581856977154234,0.16614181057470465,0.20055088596462622
0.033444816053511704,0.1481009503228758,0.17059201046767164,0.20853200850240183
0.03678929765886287,0.15037723233261516,0.17501846018424344,0.21643345327727215
0.04013377926421405,0.1526474320961191,0.1794212864762274,0.22425601573447318
0.043478260869565216,0.15491156586520488,0.18380061541897158,0.2320004833780905
0.046822742474916385,0.15716964984826481,0.18815657241497535,0.23966763585033732
0.05016722408026756,0.15942170021038204,0.19248928219748027,0.2472582450100425
0.05351170568561873,0.16166773307344678,0.1967988688340416,0.2547730750103536
0.056856187290969896,0.1639077645162712,0.20108545573008105,0.262212882375665
0.06020066889632107,0.16614181057470465,0.2053491656324209,0.26957841607777827
0.06354515050167224,0.16836988724174878,0.20959012063279814,0.2768704176113011
0.06688963210702341,0.17059201046767164,0.2138084421713612,0.2840896210682948
0.07023411371237458,0.17280819616012205,0.21800425104014723,0.29123675321217557
0.07357859531772575,0.17501846018424344,0.22217766738654088,0.29831253355087906
0.07692307692307693,0.17722281836278758,0.2263288107167149,0.3053176744092927
0.0802675585284281,0.1794212864762274,0.23045779989905185,0.312252881000967
0.08361204013377926,0.18161388026287045,0.23456475316754832,0.31911885149911
0.08695652173913043,0.18380061541897158,0.23864978812520055,0.3259162771068724
0.0903010033444816,0.1859815075988447,0.24271302174737164,0.3326458421269319
0.09364548494983277,0.18815657241497535,0.2467545703851416,0.33930822403038263
