lag,K_tau6,tail_tau6,K_tau18,tail_tau18,K_tau40,tail_tau40
0.0,1.0,3.9318304908292716,0.8,9.1463646571544,0.65,14.338164758565187
0.16032064128256512,0.9718274688548123,3.773768168676582,0.7924131349388018,9.018716309664315,0.6472369389734363,14.23417782958936
0.32064128256513025,0.9409346440122947,3.6204405443986567,0.7839209880978544,8.8923568609239,0.6441608397627372,14.13065896957043
0.48096192384769537,0.9075961587468172,3.4722617225341987,0.7745506801170186,8.767429272289442,0.6407757942714432,14.027658036982519
0.6412825651302605,0.8720828902496289,3.329602079328071,0.764330004492479,8.64407210318247,0.6370860216862637,13.925224224080097
0.8016032064128256,0.8346609882342331,3.1927889427762586,0.7532873792464233,8.522419407091174,0.633095865276422,13.82340603674842
0.9619238476953907,0.7955909744550438,3.062107422721006,0.7414517986309732,8.402600635317436,0.6288097891543101,13.722251274870205
1.122244488977956,0.7551269133281681,2.9378013796121314,0.728852784929102,8.284740548458913,0.6242323749994432,13.621807013214593
1.282565130260521,0.7135156535270374,2.8200745205455813,0.7155203404140392,8.168959135605755,0.6193683187477004,13.522119582854101
1.442885771543086,0.6709961401265082,2.709091611234676,0.7014848995273676,8.055371541221673,0.6142224272478438,13.423234553114977
1.6032064128256511,0.6277987965873317,2.60497979266042,0.6867772813346691,7.944087999669607,0.6087996148873086,13.32519671406607
1.7635270541082164,0.5841449756088958,2.5078299912819655,0.6714286423161708,7.835213777332865,0.6031049001892554,13.228050059550913
1.9238476953907815,0.5402464776320614,2.4176984118638525,0.6554704295483965,7.728849122273582,0.5971434023828779,13.131837770767575
2.0841683366733466,0.4963051355458937,2.334608102190269,0.6389343343313113,7.625089221361382,0.590920337948952,13.036602200400292
2.244488977955912,0.4525124639421614,2.2585505791852145,0.6218522463139221,7.524024164796633,0.5844410171426173,12.94238485730678
2.4048096192384767,0.40904937106960304,2.1894875062383794,0.6042562081696884,7.42573891794424,0.5777108404953676,12.84922639176466
2.565130260521042,0.36608593146603646,2.127352411846745,0.5861783708714827,7.3303133003858285,0.5707352952982311,12.757166581280202
2.7254509018036073,0.323781217090225,2.0720524400185876,0.5676509496141691,7.237821972090385,0.5635199520681106,12.66624431696226
2.885771543086172,0.2822831846367521,2.0234701232468866,0.5487061804311731,7.1483344265957705,0.5560704609992472,12.576497590463873
3.0460921843687374,0.2417286165957003,1.981465169240277,0.5293762775496866,7.061914991086281,0.5483925484017627,12.487963481493853
3.2064128256513023,0.20224311351429142,1.9458762529989952,0.509693391527394,6.978622833244431,0.5404920131292298,12.400678145900185
3.3667334669338675,0.16394113482940492,1.9165228062379773,0.48968956821182413,6.898511974748301,0.5323747229972051,12.314676804326925
3.527054108216433,0.12692608556758148,1.8932067965869164,0.46939670856162885,6.8216313112794875,0.5240466111946535,12.229993731445813
3.6873747494989977,0.0912904461522103,1.875714489435029,0.4488465293672617,6.748024638900419,0.5155136726901761,12.146662245763665
3.847695390781563,0.05711594251554826,1.8638181857342069,0.4280705249066942,6.677730686654009,0.5067819606349467,12.064714700006139
4.008016032064128,0.024473753685426394,1.8572779295257118,0.4070999295699459,6.610783155233036,0.49785758276424236,11.984182472078347
4.168336673346693,-0.006575245997659438,1.8547890317555247,0.38596568148434146,6.547210761561351,0.48874669779944513,11.905095956602299
4.328657314629258,-0.03598021287853947,1.8513777725269716,0.3646983871705321,6.487037289124085,0.4794555118523725,11.827484557031013
4.488977955911824,-0.06370003103476024,1.84338737221328,0.3433282872574332,6.430281643879358,0.46999027483377903,11.751376678338735
4.649298597194389,-0.08970298318490832,1.8310905374060924,0.32188522328234737,6.376957915579577,0.4603572768678578,11.6767997202865
4.809619238476953,-0.11396639823569733,1.814764334486605,0.3003986056006553,6.32707544432643,0.4505628447145465,11.603780071261859
