time,I_acc_N16,I_acc_N64,I_acc_N256
0.0,1.0,1.0,1.0
0.2003338898163606,0.996247693536142,0.9930311578883925,0.9880900112298349
0.4006677796327212,0.9921227263794075,0.986056909564323,0.976315184529684
0.6010016694490818,0.987631311627349,0.9790781231566223,0.964674078499741
0.8013355592654424,0.9827809818255254,0.9720956995278088,0.9531652673884706
1.001669449081803,0.9775805521393858,0.9651105706833305,0.9417873408801221
1.2020033388981637,0.9720400791599145,0.9581236981754908,0.9305389038859697
1.4023372287145242,0.966170815523166,0.9511360715036316,0.9194185763392214
1.6026711185308848,0.9599851605376309,0.9441487065121227,0.9084249929935293
1.8030050083472455,0.9534966070264013,0.9371626437876903,0.8975568032250409
2.003338898163606,0.9467196846032789,0.9301789470575941,0.8868126708379299
2.2036727879799667,0.9396698996132768,0.9231987015901442,0.8761912738733441
2.4040066777963274,0.9323636719783535,0.9162230125990213,0.8656913044217119
2.604340567612688,0.9248182691986526,0.9092530036528456,0.8553114684383487
2.8046744574290483,0.9170517377680151,0.9022898150914096,0.8450504855623021
3.005008347245409,0.9090828322699814,0.8953346024499679,0.8349070889383812
3.2053422370617697,0.9009309424269889,0.8883885348929458,0.8248800250423106
3.4056761268781304,0.8926160183808791,0.8814527936584093,0.8149680535089555
3.606010016694491,0.8841584944872378,0.8745285705145962,0.8051699469635598
3.8063439065108513,0.8755792119094092,0.8676170662297948,0.7954844908559446
4.006677796327212,0.8668993403003153,0.8607194890568134,0.7859104832976117
4.207011686143573,0.8581402988614383,0.8538370532332604,0.7764467349017011
4.407345575959933,0.8493236770684777,0.8469709774988173,0.7670920686257476
4.607679465776294,0.840471155352339,0.8401224836306618,0.7578453196171855
4.808013355592655,0.8316044260221783,0.8332927949981567,0.7487053350615518
5.008347245409015,0.822745114714304,0.8264831351378923,0.7396709740333376
5.208681135225376,0.8139147026467942,0.8196947263501343,0.7307411073494348
5.409015025041736,0.805134449954771,0.8129287883176934,0.7219146174251347
5.609348914858097,0.7964253203753893,0.8061865367481988,0.7131903981326253
5.809682804674457,0.7878079075447988,0.7994691820407192,0.7045673546619446
6.010016694490818,0.7793023631616246,0.7927779279776467,0.6960444033843388
6.210350584307179,0.7709283272629477,0.7861139704427105,0.6876204717179829
6.410684474123539,0.7627048608493696,0.7794784961659593,0.6792944979960175
6.6110183639399,0.7546503810855638,0.7728726814965149,0.6710654313368551
6.811352253756261,0.746782599291787,0.7662976912038552,0.6629322315167155
7.011686143572621,0.7391184619301999,0.7597546773083509,0.6548938688443442
7.212020033388982,0.7316740947775694,0.753244777941748,0.6469493240378735
7.412353923205343,0.724464750463037,0.7467691162382397,0.6390975881037824
7.612687813021703,0.717504759536207,0.7403287992567409,0.6313376622179148
7.813021702838063,0.7108074852168724,0.7339249169349406,0.6236685576085164
8.013355592654424,0.704385281963315,0.7275585410756652,0.6160892954412492
8.213689482470786,0.6982494579813414,0.7212307243660511,0.608598906706144
8.414023372287145,0.6924102417811138,0.7149424994299856,0.6011964321064543
8.614357262103505,0.6868767528734422,0.7086948779142389,0.5938809219493707
8.814691151919867,0.6816569766816075,0.7024888496086714,0.5866514360385606
9.015025041736227,0.6767577437290082,0.6963253816008627,0.5795070435684953
9.215358931552588,0.6721847131470534,0.6902054174654694,0.5724468230205297
9.415692821368948,0.6679423605318112,0.6841298764885894,0.5654698620606966
9.61602671118531,0.6640339701620016,0.6780996529273625,0.5585752574391827
9.81636060100167,0.6604616315750984,0.6721156153050105,0.5517621148914512
10.01669449081803,0.6572262404825785,0.6661786057414764,0.5450295490409778
10.21702838063439,0.6543275039898351,0.6602894393197924,0.5383766833035653
10.417362270450752,0.651763950070967,0.6544489034882661,0.5318026497932059
10.617696160267112,0.6495329412336575,0.6486577574985427,0.5253065892294583
10.818030050083472,0.6476306922946855,0.6429167318795633,0.5188876508463087
11.018363939899833,0.6460522921723446,0.6372265279474093,0.5125449923024835
11.218697829716193,0.6447917295882115,0.6315878173509847,0.5062777795931841
11.419031719532555,0.6438419225573616,0.626001241653457,0.500085186963215
11.619365609348915,0.6431947515333223,0.6204674119493478,0.4939663968214742
11.819699499165276,0.6428410960618134,0.6149869085171238,0.48792059965677664
12.020033388981636,0.6427708747857087,0.6095602805071184,0.4819469939549865
12.220367278797998,0.6429730886326762,0.6041880456645731,0.4760447861174236
12.420701168614357,0.6434358670066848,0.5988706900875662,0.4702131903805253
12.621035058430719,0.6441465167949902,0.5936086680195563,0.4644514287367279
12.821368948247079,0.645091573993411,0.5884024016762535,0.45875873085655067
13.021702838063439,0.6462568577446638,0.583252281106488,0.4531343340118485
13.2220367278798,0.647627526577286,0.5781586640867279,0.4475774830002137
13.42237061769616,0.6491881366262608,0.5731218760488697,0.44208743007049983
13.622704507512521,0.6509227016108723,0.5681422100408935,0.4366634348494426
13.823038397328881,0.6528147543405864,0.5632199267199568,0.4313047642693568
14.023372287145243,0.654847409515884,0.5583552543774716,0.4260106924968826
14.223706176961603,0.6570034275879734,0.5535483889956877,0.4207805008627609
14.424040066777964,0.6592652794391788,0.5487994943352789,0.4156134777926143
14.624373956594324,0.6616152116445507,0.544108702053412,0.4105089187387108
14.824707846410686,0.6640353120748678,0.5394761118517516,0.40546612611269134
15.025041736227045,0.6665075756016904,0.5349017916538361,0.40048440921923734
15.225375626043405,0.6690139696664734,0.5303857778112392,0.39556308419065866
15.425709515859767,0.671536499477953,0.5259280753379146,0.39070147392238236
15.626043405676127,0.6740572726050552,0.5215286581720976,0.3858989080093218
15.826377295492488,0.6765585627364282,0.5171874694651278,0.381154722683106
16.026711185308848,0.6790228723823587,0.512904421896535,0.3764682607501519
16.227045075125208,0.681432994300259,0.5086793980147162,0.37183887153055967
16.42737896494157,0.683772071431094,0.5045122506025166,0.3672659107978127
16.62771285475793,0.6860236551410243,0.5004028030670168,0.36274874071926627
16.82804674457429,0.688171761570137,0.4963508498528085,0.3582867297974046
17.02838063439065,0.6902009258983957,0.4923561568780366,0.35387925281185184
17.22871452420701,0.6920962543478248,0.4884184619924671,0.3495256907621192
17.429048414023374,0.6938434737494238,0.4845374754568365,0.345225430811071
17.629382303839733,0.6954289785133227,0.48071288044272287,0.3409778662290965
17.829716193656093,0.6968398748512394,0.4769443335521726,0.33678239633896784
18.030050083472453,0.6980640221112953,0.4732314653563109,0.33263842646137287
18.230383973288816,0.6990900710966829,0.46957388095215064,0.328545367861105
18.430717863105176,0.6999074992514979,0.465971160536818,0.32450263769389764
18.631051752921536,0.7005066426091879,0.46242285999839533,0.32050965895388683
18.831385642737896,0.7008787244115223,0.45892851152258884,0.31656586042169016
19.03171953255426,0.7010158803186674,0.4554876242144171,0.31267067661308745
19.23205342237062,0.7009111801438269,0.4520996847341163,0.30882354772828996
19.43238731218698,0.7005586460589454,0.4487641579464573,0.3050239196017849
19.63272120200334,0.6999532672310881,0.4454804875826635,0.3012712436527434
19.8330550918197,0.6990910108622984,0.4422480969141252,0.2975649768359787
