time,write,mix_isolate,monitor,retrieve,verify,total
0.0,1.8,0.5,1.6,0.8,0.5,5.2
0.3088803088803089,1.8123552123552125,0.5036843235433247,1.5934175101610824,0.8055598455598456,0.5004532448486793,5.215470136468144
0.6177606177606177,1.8247104247104247,0.5087628475433877,1.5869072356096303,0.8111196911196912,0.5013271785994245,5.2328273775825584
0.9266409266409266,1.837065637065637,0.5145465274120363,1.5804683840849842,0.8166795366795367,0.502488117132448,5.251248202374643
1.2355212355212355,1.8494208494208495,0.5208416812925615,1.5741001720182304,0.8222393822393823,0.5038862064067652,5.270488291377789
1.5444015444015444,1.861776061776062,0.5275467436006767,1.5678018244368452,0.8277992277992279,0.5054920740417677,5.29041593165458
1.8532818532818531,1.8741312741312741,0.5345976677939513,1.561572574870388,0.8333590733590734,0.5072856334069088,5.310946223561595
2.1621621621621623,1.8864864864864865,0.5419498402489837,1.5554116652572225,0.838918918918919,0.5092519832720099,5.332018894183621
2.471042471042471,1.898841698841699,0.5495701513634665,1.5493183458522692,0.8444787644787646,0.5113794784232744,5.3535884389594735
2.7799227799227797,1.9111969111969112,0.5574329201170461,1.5432918751357634,0.85003861003861,0.5136586811363034,5.375618997624635
3.088803088803089,1.9235521235521236,0.5655175669701608,1.537331519723017,0.8555984555984556,0.5160817340912528,5.39808139993501
3.3976833976833976,1.935907335907336,0.5738071809306133,1.5314365542751722,0.8611583011583012,0.5186419585866547,5.420951330858078
3.7065637065637063,1.9482625482625484,0.5822875854061349,1.5256062614109291,0.8667181467181467,0.5213335833139175,5.444208125111676
4.015444015444015,1.9606177606177606,0.5909467013324707,1.5198399316192477,0.8722779922779923,0.5241515536015559,5.467833939449027
4.324324324324325,1.972972972972973,0.599774096994638,1.5141368631730021,0.8778378378378379,0.5270913927353559,5.491813163713807
4.633204633204633,1.9853281853281854,0.6087606601829478,1.5084963620435863,0.8833976833976834,0.5301490983423554,5.516131989294759
4.942084942084942,1.9976833976833976,0.6178983533863924,1.5029177418164554,0.888957528957529,0.5333210631736757,5.54077808501745
5.250965250965251,2.01003861003861,0.6271800270497543,1.4974003236075917,0.8945173745173746,0.5366040133430899,5.565740348556421
5.559845559845559,2.0223938223938225,0.6365992744771484,1.4919434359808896,0.9000772200772201,0.5399949593542884,5.591008712283369
5.8687258687258685,2.034749034749035,0.6461503172713151,1.4865464148664453,0.9056370656370657,0.5434911566923755,5.616573989216237
6.177606177606178,2.0471042471042473,0.6558279135971649,1.4812086034797451,0.9111969111969113,0.5470900736980085,5.642427749076077
6.486486486486486,2.0594594594594593,0.6656272837975882,1.4759293522417365,0.9167567567567568,0.5507893650756159,5.668562217331157
6.795366795366795,2.0718146718146717,0.6755440494019571,1.4707080186997799,0.9223166023166023,0.5545868498222638,5.694970192055274
7.104247104247104,2.084169884169884,0.6855741826117597,1.465543967449466,0.9278764478764479,0.5584804926691774,5.721644974776735
7.4131274131274125,2.0965250965250966,0.6957139640827394,1.46043657005729,0.9334362934362934,0.5624683883463417,5.7485803124477615
7.722007722007722,2.108880308880309,0.7059599473494265,1.4553852049841765,0.938996138996139,0.566548748139457,5.775770348349507
8.03088803088803,2.1212355212355214,0.7163089286212032,1.45038925750984,0.9445559845559846,0.5707198883258038,5.803209580248352
8.339768339768339,2.133590733590734,0.7267579209620625,1.4454481196579796,0.9501158301158301,0.5749802201633726,5.830892824489978
8.64864864864865,2.145945945945946,0.7373041320779903,1.4405611901222901,0.9556756756756757,0.5793282411741596,5.858815184996061
8.957528957528957,2.158301158301158,0.747944945096281,1.4357278741932877,0.9612355212355213,0.5837625275135682,5.886972026339817
9.266409266409266,2.1706563706563706,0.7586779018439094,1.4309475836859369,0.9667953667953668,0.5882817272574007,5.915358950238984
9.575289575289576,2.183011583011583,0.769500688227096,1.4262197368680722,0.9723552123552124,0.5928845544688776,5.943971774930841
9.884169884169884,2.1953667953667955,0.780411121388406,1.4215437583896051,0.977915057915058,0.5975697839325581,5.9728065169924225
10.193050193050192,2.207722007722008,0.7914071383761889,1.4169190792125073,0.9834749034749035,0.602336246461504,6.00185937524711
10.501930501930502,2.2200772200772203,0.8024867861076125,1.4123451365415618,0.9890347490347491,0.6071828246996417,6.031126716460785
10.81081081081081,2.2324324324324323,0.8136482124437139,1.4078213737558751,0.9945945945945946,0.6121084493539135,6.06060506258053
11.119691119691119,2.2447876447876447,0.8248896582248688,1.4033472403411393,1.0001544401544402,0.6171120958010808,6.090291079309173
11.428571428571429,2.257142857142857,0.8362094501393988,1.3989221918226376,1.0057142857142858,0.622192781022468,6.120181565841648
11.737451737451737,2.2694980694980695,0.8476059943179061,1.3945456896989854,1.0112741312741313,0.6273495608268734,6.150273445615966
12.046332046332045,2.281853281853282,0.8590777705622494,1.390217201376598,1.016833976833977,0.6325815273276261,6.180563757953732
12.355212355212355,2.2942084942084944,0.8706233271315553,1.3859362001048776,1.0223938223938225,0.6378878066445592,6.211049650483309
12.664092664092664,2.306563706563707,0.8822412760188603,1.3817021649121095,1.027953667953668,0.6432675568056858,6.24172837225403
12.972972972972972,2.3189189189189188,0.8939302886613334,1.3775145805420648,1.0335135135135136,0.6487199658267392,6.27259726746257
13.281853281853282,2.331274131274131,0.9056890920348626,1.3733729373912955,1.0390733590733592,0.6542442499495951,6.303653769723244
13.59073359073359,2.3436293436293436,0.9175164650903931,1.3692767314471206,1.0446332046332047,0.6598396520230169,6.334895396823079
13.899613899613898,2.355984555984556,0.9294112354950033,1.3652254642262882,1.0501930501930503,0.6655054400112286,6.366319745910127
14.208494208494209,2.3683397683397684,0.941372276645438,1.3612186427143156,1.0557528957528959,0.6712409056175912,6.397924489070009
14.517374517374517,2.380694980694981,0.9533985049258743,1.3572557793054911,1.0613127413127414,0.6770453630121726,6.429707369251261
14.826254826254825,2.3930501930501933,0.9654888771851615,1.3533363917435361,1.0668725868725868,0.6829181476533108,6.461666196504789
15.135135135135135,2.4054054054054053,0.9776423884117439,1.3494600030629167,1.0724324324324326,0.6888586151944036,6.493798844506902
15.444015444015443,2.4177606177606177,0.9898580695870477,1.3456261415308004,1.077992277992278,0.6948661404681341,6.526103247338878
15.752895752895753,2.43011583011583,1.0021349857003297,1.3418343405896491,1.0835521235521237,0.7009401165412006,6.558577396499134
