density,P_nonrel,P_rel,P_no_exclusion
0.01,0.00046415888336127773,0.0007540521415111596,0.0
0.010473708979594498,0.00050138057514005,0.0008020511164662315,0.0
0.010969857978923836,0.000541587137807947,0.0008531054525427773,0.0
0.011489510001873092,0.0005850179332477582,0.0009074096378854166,0.0
0.012033778407775893,0.0006319315181795225,0.0009651705407263881,0.0
0.012603829296797275,0.0006826071834272387,0.0010266081974365157,0.0
0.01320088400831418,0.0007373466166219888,0.001091956650739327,0.0
0.013826221737646556,0.0007964756982400646,0.0011614648412814595,0.0
0.014481182276745337,0.0008603464416684502,0.001235397555955728,0.0
0.015167168884709226,0.0009293390888474566,0.0013140364365894193,0.0
0.015885651294280528,0.0010038643739665194,0.0013976810528403688,0.0
0.01663816886076129,0.0010843659686896102,0.0014866500433879154,0.0
0.0174263338600965,0.001171323123467446,0.0015812823297660537,0.0
0.018251834943190434,0.0012652535206610274,0.0016819384074627912,0.0
0.019116440753857017,0.0013667163564620056,0.0017890017192040582,0.0
0.020022003718155844,0.0014763156699575087,0.00190288011565363,0.0
0.02097046401323233,0.0015947039391583358,0.0020240074090934717,0.0
0.02196385372416546,0.0017225859653987857,0.0021528450260031758,0.0
0.02300430119772918,0.001860723069233135,0.002289883764833876,0.0
0.024094035602395245,0.0020099376228081833,0.0024356456656727437,0.0
0.02523539170434766,0.0021711179456945034,0.0025906859989204755,0.0
0.026430814869741057,0.0023452235933227135,0.002755595380557447,0.0
0.027682866303920667,0.002533291069508488,0.002931002022056564,0.0
0.028994228538828767,0.0027364399970746696,0.0031175741235136543,0.0
0.030367711180354574,0.002955879783306097,0.003316022419111919,0.0
0.031806256927941194,0.0031929168199185958,0.003527102884617175,0.0
0.03331294787934674,0.003448962260405758,0.003751619617217949,0.0
0.034891012134067735,0.0037255404210644197,0.0039904278986809824,0.0
0.03654383070957257,0.004024297855712679,0.004244437453491024,0.0
0.03827494478516311,0.004347013158125021,0.00451461591438658,0.0
0.04008806328898465,0.004695607550541416,0.004801992508493373,0.0
0.0419870708444391,0.005072156321286992,0.005107661978097559,0.0
0.043976036093027214,0.005478901179593944,0.005432788750994669,0.0
0.04605922041145106,0.00591826360117764,0.005778611376300916,0.0
0.04824108704165369,0.006392859244017244,0.006146447242624829,0.0
0.0505263106533568,0.006905513520162324,0.0065376975965727386,0.0
0.05291978735958442,0.007459278416269169,0.006953852880705812,0.0
0.05542664520663107,0.00805745066300459,0.0073964984112832415,0.0
0.05805225516094899,0.00870359136148516,0.00786732041742054,0.0
0.06080224261649424,0.009401547183594093,0.008368112464668781,0.0
0.06368249944718586,0.01015547327238758,0.008900782287484893,0.0
0.06669919663030122,0.010969857978923834,0.009467359056620973,0.0
0.0698587974678525,0.011849549582780517,0.010070001109117155,0.0
0.07316807143427195,0.012799785155336026,0.010711004170344986,0.0
0.07663410868007459,0.01382622173764656,0.011392810099422706,0.0
0.08026433522257174,0.01493497001853009,0.012118016191317325,0.0
0.08406652885618325,0.01613263071335351,0.012889385071069508,0.0
0.08804883581643465,0.017426333860096507,0.013709855217832414,0.0
0.09221978823334327,0.01882378126663385,0.014582552158815315,0.0
0.09658832241158703,0.020333292361937653,0.015510800375774524,0.0
0.1011637979766207,0.02196385372416545,0.01649813596940853,0.0
0.10595601792776159,0.023725172580490346,0.017548320129901752,0.0
0.11097524964120721,0.025627734597173407,0.018665353464931773,0.0
0.11623224686798524,0.027682866303920646,0.01985349123972192,0.0
0.12173827277396614,0.029902802524155562,0.02111725958719508,0.0
0.12750512407130135,0.03230075921263993,0.022461472749980102,0.0
0.13354515629298988,0.03489101213406772,0.02389125141995336,0.0
0.13987131026472385,0.03768898185102954,0.025412042245178672,0.0
0.14649713983072857,0.04071132552730654,0.027029638578555705,0.0
0.15343684089300125,0.0439760360930272,0.028750202547218,0.0
0.16070528182616392,0.0475025493620467,0.030580288526752004,0.0
0.16831803533309567,0.051311859739251696,0.032526868109660996,0.0
0.1762914118095948,0.05542664520663106,0.034597356663189555,0.0
0.18464249428955434,0.05987140233219225,0.036799641577678496,0.0
0.1933891750455231,0.06467259210547333,0.0391421123130613,0.0
0.20255019392306675,0.0698587974678525,0.0416336923579612,0.0
0.21214517849106299,0.07546089347548214,0.04428387322313597,0.0
0.22219468609395238,0.08151223110787849,0.047102750598765605,0.0
0.23272024789604084,0.08804883581643459,0.05010106281332175,0.0
0.24374441501222205,0.09510962199487803,0.05329023174052588,0.0
0.2552908068239518,0.10273662464847891,0.05668240631022787,0.0
0.26738416158399464,0.11097524964120714,0.06029050878895752,0.0
0.2800503894183631,0.11987454401063583,0.0641282840064514,0.0
0.29331662783900436,0.12948748795985626,0.06821035171567999,0.0
0.30721129988617574,0.13987131026472382,0.072552262285838,0.0
0.3217641750250737,0.15108782897414666,0.07717055594045553,0.0
0.33700643292719284,0.16320381943171214,0.08208282576629496,0.0
0.352970730273065,0.1762914118095948,0.08730778473306108,0.0
0.3696912707195028,0.19042852052138456,0.09286533697923158,0.0
0.3872038781812555,0.20569930807026257,0.09877665363556712,0.0
0.40554607358408296,0.2221946860939524,0.10506425347514566,0.0
0.42475715525368984,0.24001285658931865,0.11175208869715086,0.0
0.4448782831127585,0.25925989653869036,0.11886563617120462,0.0
0.4659525668664682,0.28005038941836313,0.12643199448983014,0.0
0.48802515836544313,0.3025081073488458,0.1344799871987631,0.0
0.5111433483440168,0.3267667479478976,0.14304027259835875,0.0
0.5353566677410724,0.3529707302730648,0.1521454605343758,0.0
0.5607169938205459,0.3812760545922078,0.16183023662304546,0.0
0.5872786613189482,0.4118512311004883,0.1721314943836508,0.0
0.6150985788580501,0.4448782831127584,0.18308847578196916,0.0
0.6442363508721374,0.48055383070365465,0.19474292071996685,0.0
0.6747544053110693,0.5190902612466357,0.2071392260412174,0.0
0.7067181273927491,0.5607169938205457,0.22032461465776604,0.0
0.7401959996915645,0.605681845011088,0.23434931544271503,0.0
0.775259748862946,0.6542525042382498,0.24926675457382122,0.0
0.8119844993184013,0.7067181273927493,0.265133759057017,0.0
0.8504489341802677,0.7633910582688972,0.28201077320516044,0.0
0.890735463861044,0.8246086880421037,0.2999620888966824,0.0
0.9329304026284686,0.8907354638610443,0.3190560904912788,0.0
0.9771241535346497,0.9621650585122603,0.3393655153356446,0.0
1.0234114021054528,1.0393227140738626,0.36096773085162487,0.0
1.0718913192051276,1.1226677735108133,0.38394502926233415,0.0
1.1226677735108135,1.2126964152831492,0.40838494107898193,0.0
1.175849554052157,1.309944607247102,0.43438056854261475,0.0
1.231550603292826,1.4149912974345766,0.4620309402909964,0.0
1.289890261253308,1.528461860706678,0.49144138860170816,0.0
1.3509935211980264,1.6510318218002609,0.5227239506485531,0.0
1.414991297434576,1.7834308769319096,0.5559977952998184,0.0
1.4820207057988586,1.9264472379012123,0.5913896770842643,0.0
1.552225357427048,2.0809323245550724,0.6290344190541876,0.0
1.625755666443795,2.247805833548728,0.6690754263849962,0.0
1.7027691722258995,2.428061213579347,0.7116652326678174,0.0
1.7834308769319094,2.6227715796879663,0.7569660809762134,0.0
1.8679135990207827,2.833096101839325,0.8051505419205214,0.0
1.9563983435170649,3.0602869058128555,0.8564021710442798,0.0
2.049074689815848,3.3056965274878487,0.9109162080670303,0.0
2.1461411978584035,3.570785964900461,0.9689003206372225,0.0
2.247805833548725,3.8571333760089113,1.0305753954285046,0.0
2.354286414322418,4.166443473947234,1.096176379593012,0.0
2.4658110758226037,4.500557675700501,1.165953175777136,0.0
2.5826187606826774,4.8614650646195745,1.2401715941092657,0.0
2.704959730463134,5.251314232038592,1.319114364786033,0.0
2.833096101839324,5.672426068491977,1.4030822151144622,0.0
2.9673024081888695,6.127307580680861,1.4923950151129084,0.0
3.107866187782014,6.618666816445655,1.5873929960349196,0.0
3.2550885998350596,7.149428986597584,1.6884380464578805,0.0
3.409285069746811,7.722753879587342,1.7959150908738089,0.0
3.5707859649004625,8.342054672685764,1.9102335560339692,0.0
3.739937302478798,9.011018251665023,2.0318289306332145,0.0
3.9171014908092605,9.733627159949783,2.161164424275614,0.0
4.102658105827195,10.514183307908155,2.2987327320410564,0.0
4.297004704320839,11.357333583431048,2.445057911374835,0.0
4.500557675700498,12.268097516267668,2.6006973784501297,0.0
4.7137531341167245,13.25189716081096,2.766244031608334,0.0
4.937047852839004,14.314589375234796,2.9423285099664143,0.0
5.17092024289676,15.46250068915004,3.1296215957952565,0.0
5.415871378079471,16.70246496735737,3.3288367698207297,0.0
5.672426068491977,18.04186409392072,3.5407329291817238,0.0
5.941133984965034,19.48867191876572,3.7661172783990082,0.0
6.222570836730231,21.05150172843091,4.005848404367918,0.0
6.517339604882427,22.7396575235793,4.260839547088816,0.0
6.826071834272386,24.56318940854096,4.532062078594969,0.0
7.149428986597577,26.532953422637583,4.820549203330616,0.0
7.488103857590023,28.660676169482514,5.1273998940754995,0.0
7.842822061337682,30.959024629014937,5.453783078409612,0.0
8.21434358491943,33.44168156787973,5.80094209166613,0.0
8.603464416684501,36.1234269970943,6.170199413335812,0.0
9.01101825166502,39.02022616194466,6.562961704965911,0.0
9.437878277775381,42.149324587940775,6.980725168745017,0.0
9.884959046625585,45.52935074866951,7.4250812471872045,0.0
10.353218432956627,49.18042696675741,7.89772268562789,0.0
10.843659686896109,53.124289208170616,8.400449980626158,0.0
11.357333583431052,57.38441648302394,8.935178238838306,0.0
11.895340673703195,61.98617062326153,9.50394447249107,0.0
12.458833642950081,66.95694726934717,10.108915359246046,0.0
13.049019780144029,72.32633896483541,10.752395496016154,0.0
13.667163564620074,78.1263113297739,11.436836178176423,0.0
14.314589375234785,84.39139336175074,12.164844737612912,0.0
14.992684327860456,91.15888299750823,12.93919447518259,0.0
15.702901247293775,98.46906915889085,13.762835225420956,0.0
16.446761779946645,106.36547160503783,14.63890459374326,0.0
17.225859653987875,114.89510001873104,15.570739908946555,0.0
18.04186409392072,124.10873386931846,16.56189093654481,0.0
18.896523396912094,134.0612247183233,17.616133401367886,0.0
19.791668678535572,144.8118227674534,18.737483370937532,0.0
20.72921779595372,156.42452959305334,19.930212554413238,0.0
21.711179456945054,168.96847916693284,21.198864575388086,0.0
22.739657523579275,182.51834943190428,22.548272280524788,0.0
23.81685551976158,197.15480688226566,23.983576149968194,0.0
24.945081352303166,212.96498679594666,25.510243879667033,0.0
26.126752255633292,230.043011977292,27.13409121020312,0.0
27.36439997074672,248.4905530987112,28.861304081473644,0.0
28.660676169482503,268.41743397707955,30.69846219762341,0.0
30.01835813575589,289.94228538828764,32.65256409199638,0.0
31.440354715915,313.1932513122892,34.73105378758916,0.0
32.929712550971516,338.30875181314667,36.941849154568544,0.0
34.489622604057594,365.438307095726,39.29337207287848,0.0
36.123426997094306,394.743427644902,41.79458051483935,0.0
37.83462617131929,426.3985757465453,44.4550026699561,0.0
39.626886387014785,460.5922041145109,47.28477324193093,0.0
41.50404757850477,497.52787780689954,50.294672056152535,0.0
43.470131581250264,537.4254861106945,53.49616512473378,0.0
45.52935074866948,580.5225516094898,56.901448325532755,0.0
47.68611697714469,627.075644227597,60.52349386154977,0.0
49.9450511585514,677.3619086687482,64.3760996776835,0.0
52.31099308056263,731.6807143427201,68.47394202309724,0.0
54.78901179593945,790.3554376023822,72.83263135942752,0.0
57.38441648302393,853.7353869013683,77.4687718278136,0.0
60.10276782070382,922.1978823334327,82.40002450128456,0.0
62.94988990221888,996.1505019335926,87.645174663458,0.0
65.93188271333548,1076.0335081140033,93.22420336984615,0.0
69.0551352016233,1162.3224686798535,99.15836356437636,0.0
72.32633896483533,1255.5310880289915,105.4702610410867,0.0
75.75250258771912,1356.2142653902813,112.18394055941629,0.0
79.34096665797492,1464.9713983072863,119.32497744113839,0.0
83.09941949353396,1582.449951033958,126.92057499787177,0.0
87.03591361485165,1709.3493090860436,134.99966816031193,0.0
91.15888299750827,1846.424942895546,143.5930337039518,0.0
95.47716114208056,1994.4929053557196,152.73340749118896,0.0
100.0,2154.4346900318847,162.45560917644718,0.0
