N,E_fermion,E_no_exclusion,E_supercollapse
205,-205.0,-570.1814561300976,-840.5
206,-206.0,-574.8246112419499,-848.72
207,-207.0,-579.4828171260223,-856.98
208,-208.0,-584.156049506707,-865.28
209,-209.0,-588.8442842642611,-873.62
210,-210.0,-593.5474974330631,-882.0
211,-211.0,-598.265665199898,-890.4200000000001
212,-212.0,-602.9987639022688,-898.88
213,-213.0,-607.7467700267358,-907.38
214,-214.0,-612.5096602072804,-915.9200000000001
215,-215.0,-617.2874112236954,-924.5
216,-216.0,-622.0800000000003,-933.12
217,-217.0,-626.8874036028805,-941.78
218,-218.0,-631.7095992401512,-950.48
219,-219.0,-636.5465642592443,-959.22
220,-220.0,-641.3982761457187,-968.0
221,-221.0,-646.2647125217927,-976.82
222,-222.0,-651.1458511448998,-985.6800000000001
223,-223.0,-656.041669906264,-994.58
224,-224.0,-660.9521468294992,-1003.52
225,-225.0,-665.8772600692272,-1012.5
226,-226.0,-670.8169879097175,-1021.52
227,-227.0,-675.771308763546,-1030.58
228,-228.0,-680.7402011702754,-1039.68
229,-229.0,-685.7236437951526,-1048.82
230,-230.0,-690.721615427827,-1058.0
231,-231.0,-695.7340949810858,-1067.22
232,-232.0,-700.7610614896091,-1076.48
233,-233.0,-705.8024941087418,-1085.78
234,-234.0,-710.8583721132835,-1095.1200000000001
235,-235.0,-715.9286748962959,-1104.5
236,-236.0,-721.0133819679263,-1113.92
237,-237.0,-726.1124729542491,-1123.38
238,-238.0,-731.2259275961221,-1132.88
239,-239.0,-736.3537257480602,-1142.42
240,-240.0,-741.495847377124,-1152.0
241,-241.0,-746.6522725618235,-1161.6200000000001
242,-242.0,-751.8229814910387,-1171.28
243,-243.0,-757.0079544629527,-1180.98
244,-244.0,-762.207171884002,-1190.72
245,-245.0,-767.4206142678386,-1200.5
246,-246.0,-772.6482622343079,-1210.32
247,-247.0,-777.8900965084409,-1220.18
248,-248.0,-783.1460979194582,-1230.08
249,-249.0,-788.4162473997883,-1240.02
250,-250.0,-793.7005259841001,-1250.0
251,-251.0,-798.9989148083466,-1260.02
252,-252.0,-804.3113951088224,-1270.08
253,-253.0,-809.6379482212332,-1280.18
254,-254.0,-814.9785555797774,-1290.32
255,-255.0,-820.3331987162417,-1300.5
256,-256.0,-825.7018592591044,-1310.72
257,-257.0,-831.0845189326553,-1320.98
258,-258.0,-836.4811595561233,-1331.28
259,-259.0,-841.891763042817,-1341.6200000000001
260,-260.0,-847.3163113992765,-1352.0
261,-261.0,-852.7547867244347,-1362.42
262,-262.0,-858.207171208791,-1372.88
263,-263.0,-863.6734471335948,-1383.38
264,-264.0,-869.1535968700383,-1393.92
265,-265.0,-874.6476028784624,-1404.5
266,-266.0,-880.1554477075687,-1415.1200000000001
267,-267.0,-885.6771139936449,-1425.78
268,-268.0,-891.2125844597977,-1436.48
269,-269.0,-896.7618419151963,-1447.22
270,-270.0,-902.3248692543247,-1458.0
271,-271.0,-907.9016494562435,-1468.82
272,-272.0,-913.492165583861,-1479.68
273,-273.0,-919.0964007832132,-1490.58
274,-274.0,-924.7143382827517,-1501.52
275,-275.0,-930.3459613926418,-1512.5
276,-276.0,-935.9912535040675,-1523.52
277,-277.0,-941.6501980885466,-1534.58
278,-278.0,-947.3227786972528,-1545.68
279,-279.0,-953.0089789603462,-1556.82
280,-280.0,-958.7087825863116,-1568.0
281,-281.0,-964.4221733613064,-1579.22
282,-282.0,-970.1491351485128,-1590.48
283,-283.0,-975.8896518875016,-1601.78
284,-284.0,-981.6437075936003,-1613.1200000000001
285,-285.0,-987.4112863572709,-1624.5
286,-286.0,-993.1923723434934,-1635.92
287,-287.0,-998.9869497911574,-1647.38
288,-288.0,-1004.7950030124604,-1658.88
289,-289.0,-1010.6165163923132,-1670.42
290,-290.0,-1016.4514743877526,-1682.0
291,-291.0,-1022.2998615273591,-1693.6200000000001
292,-292.0,-1028.1616624106841,-1705.28
293,-293.0,-1034.0368617076817,-1716.98
294,-294.0,-1039.9254441581468,-1728.72
295,-295.0,-1045.82739457116,-1740.5
296,-296.0,-1051.7426978245408,-1752.32
297,-297.0,-1057.6713388643027,-1764.18
298,-298.0,-1063.6133027041185,-1776.08
299,-299.0,-1069.5685744247892,-1788.02
300,-300.0,-1075.5371391737199,-1800.0
