model,mu_hat,Sigma_hat,n_params,chi2_min,loglike_max,AIC,BIC,delta_BIC,delta_AIC
GR_no_residual,0.0,0.0,0,1.472331831912788,2.117453847066674,-4.234907694133348,-4.234907694133348,0.0,0.0
weyl_only_sigma,0.0,0.048873060899711065,1,0.028632775250666893,2.8393033753977344,-3.6786067507954687,5.942042435261687,10.176950129395035,0.5563009433378792
growth_only_mu,0.14553567743166693,0.0,1,0.9196014500471246,2.3938190379995055,-2.787638075999011,6.833011110058145,11.067918804191493,1.447269618134337
growth_plus_weyl,0.038160085058011745,0.04493614741377215,2,1.0177471777101655e-31,2.853619763023068,-1.707239526046136,17.534058846068177,21.768966540201525,2.527668168087212
