Z_sem_sync,coordination_success,quotient_mismatch,false_coordination
0.0,0.9998766054240137,0.0006357939683952282,2.039908727992137e-05
0.012949640287769784,0.9998613547287704,0.0007051441763458586,2.3219297954022382e-05
0.025899280575539568,0.9998442194493218,0.0007820529456279802,2.642939754444304e-05
0.03884892086330935,0.999824966777775,0.0008673427312668562,3.00832844273658e-05
0.051798561151079135,0.9998033351670609,0.0009619251673846804,3.424230700827077e-05
0.06474820143884892,0.9997790307885106,0.0010668106649113335,3.897629322583382e-05
0.0776978417266187,0.9997517235541806,0.0011831190256481065,4.436472224210898e-05
0.09064748201438849,0.9997210426508156,0.0013120911764798184,5.049805793328272e-05
0.10359712230215827,0.9996865715259534,0.00145510213723624,5.747926649415413e-05
0.11654676258992805,0.9996478422595454,0.001613675346102143,6.542554353768232e-05
0.12949640287769784,0.9996043292465226,0.0017894984775603919,7.44702795583794e-05
0.14244604316546763,0.9995554421068787,0.001984440899599783,8.476529659152985e-05
0.1553956834532374,0.9995005177299863,0.002200572929279834,9.648339340305697e-05
0.1683453237410072,0.9994388113489046,0.0024401870586380136,0.00010982124165952222
0.18129496402877698,0.9993694865282846,0.0027058213362302977,0.00012500268133562277
0.19424460431654675,0.9992916039359945,0.003000285103141553,0.00014228247020942655
0.20719424460431654,0.9992041087536935,0.0033266872958520053,0.0001619505497766335
0.22014388489208633,0.9991058165651359,0.003688467541583551,0.0001843368984003506
0.2330935251798561,0.9989953975428875,0.004089430284259077,0.0002098170521321015
0.2460431654676259,0.9988713587342698,0.0045337821904510404,0.00023881838453840613
0.2589928057553957,0.9987320242256315,0.005026173093984215,0.0002718272492071879
0.2719424460431655,0.9985755129403713,0.005571740744321633,0.0003093971025695805
0.28489208633093527,0.9983997138005026,0.006176159626412497,0.0003521577404546345
0.297841726618705,0.9982022579539002,0.006845694116962847,0.0004008257996164794
0.3107913669064748,0.9979804877397916,0.007587256232437377,0.0004562166955761785
0.3237410071942446,0.9977314220336708,0.008408468205477313,0.0005192581907652523
0.3366906474820144,0.9974517175798474,0.009317730096356398,0.0005910058124267741
0.3496402877697842,0.9971376258857207,0.010324292601625746,0.000672660368323656
0.36258992805755397,0.9967849452171078,0.011438335159680246,0.0007655878403387265
0.3755395683453237,0.9963889671994149,0.012671049368433418,0.0008713419718536954
0.3884892086330935,0.995944417496217,0.014034727618726246,0.00099168990469282
0.4014388489208633,0.9954453900064256,0.015542856702867553,0.0011286412657301739
0.4143884892086331,0.9948852739957024,0.017210215974365894,0.001284481152278487
0.4273381294964029,0.9942566735597205,0.019052979405230357,0.0014618075193426514
0.44028776978417267,0.9935513188097104,0.021088820603228888,0.0016635735308895001
0.45323741007194246,0.9927599681787787,0.023337019504648757,0.0018931355014866298
0.4661870503597122,0.9918723012762297,0.025818569039524022,0.002154307123841206
0.479136690647482,0.9908768017734332,0.028556279567182163,0.0024514207515051894
0.4920863309352518,0.9897606298971295,0.03157487829221039,0.0027893965835235983
0.5050359712230216,0.9885094842449094,0.03490110018801958,0.0031738206778087943
0.5179856115107914,0.9871074528355002,0.03856376617332325,0.0036110328005849466
0.5309352517985612,0.9855368535786379,0.042593843406642615,0.004108225197543165
0.543884892086331,0.983778064713455,0.047024481592374365,0.004673553444410082
0.5568345323741007,0.9818093462412599,0.05189101814490174,0.005316260595002824
0.5697841726618705,0.9796066539918551,0.057230943962493286,0.0060468158861537455
0.5827338129496402,0.9771434487383255,0.06308382046347169,0.0068770692713482386
0.59568345323741,0.9743905037415993,0.0694911374955657,0.007820423025695522
0.6086330935251798,0.9713157152917773,0.07649610083045764,0.008892021577338947
0.6215827338129496,0.9678839222456311,0.08414333731025048,0.010108960553384151
0.6345323741007194,0.9640567422616649,0.09247850545980696,0.011490515755090637
0.6474820143884892,0.959792434419634,0.10154779968542478,0.013058392364070004
0.660431654676259,0.9550458001791501,0.1113973372372052,0.014836994087609254
0.6733812949640288,0.9497681371572927,0.1220724191269628,0.016853711127557965
0.6863309352517986,0.9439072629294826,0.13361665937440137,0.0191392247449874
