Delta_sem,policy_preservation,false_merging,proxy_meaning,unsupported_completion
0.0,0.9626731126558706,0.03557118927263617,0.022977369910025615,0.0012923497762873395
0.013445378151260505,0.9601808274214717,0.03844482943856611,0.024535969344768538,0.001419709407253065
0.02689075630252101,0.9575294758349869,0.041540619083313794,0.02619745678798601,0.0015596005878798238
0.040336134453781515,0.9547099116135292,0.04487406485781573,0.027968228321450583,0.0017132523078722858
0.05378151260504202,0.9517125997968224,0.04846147951212965,0.029855022530508445,0.0018820132485617735
0.06722689075630253,0.9485276195473539,0.052319976692085386,0.03186493106281983,0.002067363266581451
0.08067226890756303,0.9451446703032889,0.05646745590965173,0.03400540831534422,0.0022709259434556127
0.09411764705882353,0.9415530817608081,0.060922575985087594,0.036284280018383075,0.0024944822925498217
0.10756302521008404,0.9377418281949297,0.06570471512099521,0.038709750456442205,0.002739985721074769
0.12100840336134455,0.9336995476572867,0.07083391564709542,0.04129040803478145,0.003009578351145684
0.13445378151260506,0.9294145666143371,0.0763308113791606,0.04403522886800155,0.0033056088101699275
0.14789915966386555,0.9248749306083899,0.08221653547713222,0.0469535780331815,0.0036306516069362174
0.16134453781512606,0.9200684415347399,0.08851260667891192,0.050055208095360855,0.003987528215542423
0.17478991596638657,0.9149827021289308,0.09524079184228168,0.053350254478124436,0.004379329994512957
0.18823529411764706,0.9096051682463142,0.10242294286400248,0.05684922721741964,0.004809443072856904
0.20168067226890757,0.9039232094890457,0.11008080627952219,0.060562998603429515,0.005281575338077014
0.21512605042016808,0.897924178690692,0.1182358041963854,0.06450278618444277,0.00579978566285453
0.2285714285714286,0.8915954907028778,0.12690878569623446,0.06868013057954037,0.006368515506815554
0.2420168067226891,0.8849247108390653,0.1361197484690904,0.07310686752512044,0.006992623026836512
0.2554621848739496,0.8778996532149249,0.14588753123068934,0.07779509356562167,0.007677419823054512
0.26890756302521013,0.8705084890804753,0.15622947842473436,0.08275712479334368,0.00842871043725802
0.2823529411764706,0.8627398650643083,0.16716107982495232,0.0880054480483011,0.009252834704629693
0.2957983193277311,0.854583031043623,0.17869558891468726,0.09355266400910384,0.010156713037698812
0.3092436974789916,0.8460279771151978,0.1908436253098905,0.09941142164262913,0.011147894691433262
0.3226890756302521,0.8370655788728387,0.2036127679659241,0.10559434353655361,0.01223460901903218
0.33613445378151263,0.8276877498986712,0.2170071474149887,0.112113941717487,0.013425819677291024
0.34957983193277314,0.8178876000531102,0.23102704674852576,0.11898252366126345,0.014731281676259967
0.36302521008403366,0.807659597807545,0.24566852240179055,0.12621208833342773,0.016161601087883233
0.3764705882352941,0.7969997345129903,0.26092305691758455,0.13381421225924153,0.01772829712969538
0.3899159663865546,0.7859056881476011,0.2767772566566256,0.14179992581515688,0.01944386621949756
0.40336134453781514,0.7743769837486343,0.2932126077756354,0.15017958015833593,0.021321847452052872
0.41680672268907565,0.7624151474247238,0.31020530361057463,0.15896270546703894,0.0233768887758639
0.43025210084033616,0.7500238505783913,0.32772615579824504,0.1681578614507724,0.025624812943604438
0.44369747899159667,0.7372090407638251,0.3457405999891109,0.177772481401602,0.028082682070429944
0.4571428571428572,0.7239790554786931,0.36420880482988527,0.18781271139172645,0.030768859357148036
