update_speed,epsilon,throughput_burden,failure_boundary
0.5,0.001,39.86313713864835,240.0
0.6089385474860335,0.001,48.548401654890164,240.0
0.717877094972067,0.001,57.23366617113198,240.0
0.8268156424581006,0.001,65.9189306873738,240.0
0.9357541899441341,0.001,74.60419520361562,240.0
1.0446927374301676,0.001,83.28945971985743,240.0
1.1536312849162011,0.001,91.97472423609926,240.0
1.2625698324022347,0.001,100.65998875234109,240.0
1.3715083798882681,0.001,109.3452532685829,240.0
1.4804469273743015,0.001,118.03051778482471,240.0
1.589385474860335,0.001,126.71578230106653,240.0
1.6983240223463687,0.001,135.40104681730836,240.0
1.8072625698324023,0.001,144.08631133355019,240.0
1.9162011173184357,0.001,152.771575849792,240.0
2.0251396648044695,0.001,161.45684036603382,240.0
2.1340782122905027,0.001,170.14210488227562,240.0
2.2430167597765363,0.001,178.82736939851745,240.0
2.35195530726257,0.001,187.51263391475928,240.0
2.460893854748603,0.001,196.19789843100105,240.0
2.5698324022346366,0.001,204.88316294724288,240.0
2.67877094972067,0.001,213.5684274634847,240.0
2.787709497206704,0.001,222.25369197972654,240.0
2.8966480446927374,0.001,230.93895649596837,240.0
3.005586592178771,0.001,239.62422101221017,240.0
3.1145251396648046,0.001,248.309485528452,240.0
3.2234636871508378,0.001,256.9947500446938,240.0
3.3324022346368714,0.001,265.6800145609356,240.0
3.441340782122905,0.001,274.36527907717743,240.0
3.5502793296089385,0.001,283.05054359341926,240.0
3.659217877094972,0.001,291.7358081096611,240.0
3.7681564245810053,0.001,300.42107262590287,240.0
3.877094972067039,0.001,309.1063371421447,240.0
3.9860335195530725,0.001,317.7916016583865,240.0
4.094972067039106,0.001,326.47686617462836,240.0
4.20391061452514,0.001,335.1621306908702,240.0
4.312849162011172,0.001,343.84739520711196,240.0
4.421787709497206,0.001,352.5326597233538,240.0
4.5307262569832405,0.001,361.2179242395957,240.0
4.639664804469273,0.001,369.90318875583745,240.0
4.748603351955307,0.001,378.5884532720792,240.0
4.85754189944134,0.001,387.27371778832105,240.0
4.966480446927374,0.001,395.9589823045629,240.0
5.075418994413408,0.001,404.6442468208047,240.0
5.184357541899441,0.001,413.32951133704654,240.0
5.293296089385475,0.001,422.01477585328837,240.0
5.402234636871508,0.001,430.7000403695302,240.0
5.511173184357542,0.001,439.38530488577203,240.0
5.620111731843576,0.001,448.07056940201386,240.0
5.729050279329609,0.001,456.7558339182557,240.0
5.837988826815642,0.001,465.4410984344974,240.0
5.9469273743016755,0.001,474.12636295073924,240.0
6.055865921787709,0.001,482.81162746698107,240.0
6.164804469273743,0.001,491.4968919832229,240.0
6.273743016759776,0.001,500.1821564994647,240.0
6.38268156424581,0.001,508.86742101570655,240.0
6.4916201117318435,0.001,517.5526855319483,240.0
6.600558659217877,0.001,526.2379500481902,240.0
6.709497206703911,0.001,534.923214564432,240.0
6.818435754189944,0.001,543.6084790806739,240.0
6.927374301675977,0.001,552.2937435969156,240.0
7.036312849162011,0.001,560.9790081131574,240.0
7.145251396648044,0.001,569.6642726293993,240.0
7.254189944134078,0.001,578.3495371456411,240.0
7.363128491620111,0.001,587.0348016618829,240.0
7.472067039106145,0.001,595.7200661781247,240.0
7.581005586592179,0.001,604.4053306943665,240.0
7.689944134078212,0.001,613.0905952106084,240.0
7.798882681564246,0.001,621.7758597268502,240.0
7.907821229050279,0.001,630.4611242430921,240.0
8.016759776536313,0.001,639.1463887593338,240.0
8.125698324022345,0.001,647.8316532755755,240.0
8.234636871508378,0.001,656.5169177918174,240.0
8.343575418994412,0.001,665.2021823080592,240.0
8.452513966480446,0.001,673.887446824301,240.0
8.561452513966481,0.001,682.572711340543,240.0
8.670391061452513,0.001,691.2579758567847,240.0
8.779329608938546,0.001,699.9432403730265,240.0
8.88826815642458,0.001,708.6285048892684,240.0
8.997206703910614,0.001,717.3137694055101,240.0
9.106145251396647,0.001,725.999033921752,240.0
9.21508379888268,0.001,734.6842984379938,240.0
9.324022346368714,0.001,743.3695629542357,240.0
9.432960893854748,0.001,752.0548274704774,240.0
9.541899441340782,0.001,760.7400919867192,240.0
9.650837988826815,0.001,769.4253565029611,240.0
9.759776536312849,0.001,778.1106210192029,240.0
9.868715083798882,0.001,786.7958855354448,240.0
9.977653631284916,0.001,795.4811500516865,240.0
10.08659217877095,0.001,804.1664145679284,240.0
10.195530726256983,0.001,812.8516790841702,240.0
10.304469273743017,0.001,821.5369436004121,240.0
10.41340782122905,0.001,830.2222081166539,240.0
10.522346368715084,0.001,838.9074726328957,240.0
10.631284916201118,0.001,847.5927371491375,240.0
10.740223463687151,0.001,856.2780016653793,240.0
10.849162011173185,0.001,864.9632661816212,240.0
10.958100558659218,0.001,873.648530697863,240.0
11.06703910614525,0.001,882.3337952141047,240.0
11.175977653631284,0.001,891.0190597303465,240.0
11.284916201117317,0.001,899.7043242465884,240.0
11.393854748603351,0.001,908.3895887628302,240.0
11.502793296089385,0.001,917.0748532790719,240.0
11.611731843575418,0.001,925.7601177953138,240.0
11.720670391061452,0.001,934.4453823115556,240.0
11.829608938547485,0.001,943.1306468277975,240.0
11.938547486033519,0.001,951.8159113440393,240.0
12.047486033519553,0.001,960.5011758602811,240.0
12.156424581005586,0.001,969.1864403765229,240.0
12.26536312849162,0.001,977.8717048927648,240.0
12.374301675977653,0.001,986.5569694090066,240.0
12.483240223463687,0.001,995.2422339252485,240.0
12.59217877094972,0.001,1003.9274984414902,240.0
12.701117318435754,0.001,1012.612762957732,240.0
12.810055865921788,0.001,1021.2980274739739,240.0
12.918994413407821,0.001,1029.9832919902158,240.0
13.027932960893855,0.001,1038.6685565064574,240.0
13.136871508379889,0.001,1047.3538210226993,240.0
13.245810055865922,0.001,1056.0390855389412,240.0
13.354748603351954,0.001,1064.7243500551829,240.0
13.463687150837988,0.001,1073.4096145714248,240.0
13.572625698324021,0.001,1082.0948790876664,240.0
13.681564245810055,0.001,1090.7801436039083,240.0
13.790502793296088,0.001,1099.4654081201502,240.0
13.899441340782122,0.001,1108.150672636392,240.0
14.008379888268156,0.001,1116.8359371526337,240.0
14.11731843575419,0.001,1125.5212016688756,240.0
14.226256983240223,0.001,1134.2064661851175,240.0
14.335195530726256,0.001,1142.8917307013594,240.0
14.44413407821229,0.001,1151.576995217601,240.0
14.553072625698324,0.001,1160.262259733843,240.0
14.662011173184357,0.001,1168.9475242500848,240.0
14.77094972067039,0.001,1177.6327887663265,240.0
14.879888268156424,0.001,1186.3180532825684,240.0
14.988826815642458,0.001,1195.0033177988103,240.0
15.097765363128492,0.001,1203.6885823150521,240.0
15.206703910614525,0.001,1212.3738468312938,240.0
15.315642458100559,0.001,1221.0591113475357,240.0
15.424581005586592,0.001,1229.7443758637776,240.0
15.533519553072626,0.001,1238.4296403800195,240.0
15.642458100558658,0.001,1247.1149048962611,240.0
15.751396648044691,0.001,1255.8001694125028,240.0
15.860335195530725,0.001,1264.4854339287447,240.0
15.969273743016759,0.001,1273.1706984449866,240.0
16.07821229050279,0.001,1281.8559629612282,240.0
16.187150837988824,0.001,1290.54122747747,240.0
16.296089385474858,0.001,1299.2264919937118,240.0
16.40502793296089,0.001,1307.9117565099536,240.0
16.51396648044693,0.001,1316.5970210261958,240.0
16.622905027932962,0.001,1325.2822855424376,240.0
16.731843575418996,0.001,1333.9675500586795,240.0
16.840782122905026,0.001,1342.652814574921,240.0
16.94972067039106,0.001,1351.3380790911629,240.0
17.058659217877093,0.001,1360.0233436074047,240.0
17.167597765363126,0.001,1368.7086081236464,240.0
17.27653631284916,0.001,1377.3938726398883,240.0
17.385474860335194,0.001,1386.0791371561302,240.0
17.494413407821227,0.001,1394.7644016723718,240.0
17.60335195530726,0.001,1403.4496661886137,240.0
17.712290502793294,0.001,1412.1349307048556,240.0
17.821229050279328,0.001,1420.8201952210975,240.0
17.93016759776536,0.001,1429.5054597373392,240.0
18.039106145251395,0.001,1438.190724253581,240.0
