tau,vmax_label,vmax,causal_reach,demand_radius,prediction_burden
0.02,relativistic upper bound,1.0,0.02,0.55,25.281000000000002
0.026622073578595317,relativistic upper bound,1.0,0.026622073578595317,0.55,24.653200847865236
0.03324414715719064,relativistic upper bound,1.0,0.03324414715719064,0.55,24.03329503025694
0.039866220735785954,relativistic upper bound,1.0,0.039866220735785954,0.55,23.421282547175096
0.04648829431438127,relativistic upper bound,1.0,0.04648829431438127,0.55,22.8171633986197
0.05311036789297659,relativistic upper bound,1.0,0.05311036789297659,0.55,22.220937584590782
0.059732441471571904,relativistic upper bound,1.0,0.059732441471571904,0.55,21.632605105088313
0.06635451505016722,relativistic upper bound,1.0,0.06635451505016722,0.55,21.05216596011231
0.07297658862876254,relativistic upper bound,1.0,0.07297658862876254,0.55,20.479620149662757
0.07959866220735785,relativistic upper bound,1.0,0.07959866220735785,0.55,19.914967673739675
0.08622073578595318,relativistic upper bound,1.0,0.08622073578595318,0.55,19.358208532343042
0.0928428093645485,relativistic upper bound,1.0,0.0928428093645485,0.55,18.809342725472874
0.09946488294314382,relativistic upper bound,1.0,0.09946488294314382,0.55,18.268370253129163
0.10608695652173913,relativistic upper bound,1.0,0.10608695652173913,0.55,17.73529111531191
0.11270903010033445,relativistic upper bound,1.0,0.11270903010033445,0.55,17.210105312021124
0.11933110367892977,relativistic upper bound,1.0,0.11933110367892977,0.55,16.692812843256792
0.12595317725752508,relativistic upper bound,1.0,0.12595317725752508,0.55,16.183413709018918
0.1325752508361204,relativistic upper bound,1.0,0.1325752508361204,0.55,15.681907909307505
0.13919732441471572,relativistic upper bound,1.0,0.13919732441471572,0.55,15.188295444122554
0.14581939799331103,relativistic upper bound,1.0,0.14581939799331103,0.55,14.702576313464062
0.15244147157190635,relativistic upper bound,1.0,0.15244147157190635,0.55,14.224750517332023
0.15906354515050167,relativistic upper bound,1.0,0.15906354515050167,0.55,13.754818055726446
0.16568561872909698,relativistic upper bound,1.0,0.16568561872909698,0.55,13.292778928647333
0.1723076923076923,relativistic upper bound,1.0,0.1723076923076923,0.55,12.838633136094678
0.17892976588628762,relativistic upper bound,1.0,0.17892976588628762,0.55,12.39238067806848
0.18555183946488293,relativistic upper bound,1.0,0.18555183946488293,0.55,11.954021554568744
0.19217391304347825,relativistic upper bound,1.0,0.19217391304347825,0.55,11.523555765595468
0.19879598662207357,relativistic upper bound,1.0,0.19879598662207357,0.55,11.10098331114865
0.20541806020066888,relativistic upper bound,1.0,0.20541806020066888,0.55,10.68630419122829
0.2120401337792642,relativistic upper bound,1.0,0.2120401337792642,0.55,10.279518405834388
0.21866220735785952,relativistic upper bound,1.0,0.21866220735785952,0.55,9.88062595496695
0.22528428093645483,relativistic upper bound,1.0,0.22528428093645483,0.55,9.489626838625972
0.23190635451505015,relativistic upper bound,1.0,0.23190635451505015,0.55,9.106521056811449
0.23852842809364547,relativistic upper bound,1.0,0.23852842809364547,0.55,8.731308609523385
0.24515050167224078,relativistic upper bound,1.0,0.24515050167224078,0.55,8.363989496761786
0.25177257525083613,relativistic upper bound,1.0,0.25177257525083613,0.55,8.00456371852664
0.2583946488294314,relativistic upper bound,1.0,0.2583946488294314,0.55,7.653031274817958
0.26501672240802676,relativistic upper bound,1.0,0.26501672240802676,0.55,7.309392165635733
0.2716387959866221,relativistic upper bound,1.0,0.2716387959866221,0.55,6.973646390979967
0.2782608695652174,relativistic upper bound,1.0,0.2782608695652174,0.55,6.645793950850664
0.28488294314381274,relativistic upper bound,1.0,0.28488294314381274,0.55,6.325834845247817
0.29150501672240803,relativistic upper bound,1.0,0.29150501672240803,0.55,6.0137690741714325
0.2981270903010034,relativistic upper bound,1.0,0.2981270903010034,0.55,5.709596637621504
0.30474916387959866,relativistic upper bound,1.0,0.30474916387959866,0.55,5.413317535598037
0.311371237458194,relativistic upper bound,1.0,0.311371237458194,0.55,5.124931768101029
0.3179933110367893,relativistic upper bound,1.0,0.3179933110367893,0.55,4.844439335130482
0.32461538461538464,relativistic upper bound,1.0,0.32461538461538464,0.55,4.571840236686391
0.33123745819397993,relativistic upper bound,1.0,0.33123745819397993,0.55,4.307134472768763
0.3378595317725753,relativistic upper bound,1.0,0.3378595317725753,0.55,4.050322043377592
0.34448160535117056,relativistic upper bound,1.0,0.34448160535117056,0.55,3.801402948512882
0.3511036789297659,relativistic upper bound,1.0,0.3511036789297659,0.55,3.56037718817463
0.3577257525083612,relativistic upper bound,1.0,0.3577257525083612,0.55,3.327244762362839
0.36434782608695654,relativistic upper bound,1.0,0.36434782608695654,0.55,3.1020056710775057
0.3709698996655518,relativistic upper bound,1.0,0.3709698996655518,0.55,2.8846599143186333
0.37759197324414717,relativistic upper bound,1.0,0.37759197324414717,0.55,2.675207492086219
0.38421404682274246,relativistic upper bound,1.0,0.38421404682274246,0.55,2.473648404380266
0.3908361204013378,relativistic upper bound,1.0,0.3908361204013378,0.55,2.2799826512007706
0.3974581939799331,relativistic upper bound,1.0,0.3974581939799331,0.55,2.094210232547736
0.40408026755852844,relativistic upper bound,1.0,0.40408026755852844,0.55,1.9163311484211596
0.4107023411371237,relativistic upper bound,1.0,0.4107023411371237,0.55,1.7463453988210438
0.41732441471571907,relativistic upper bound,1.0,0.41732441471571907,0.55,1.5842529837473862
0.42394648829431436,relativistic upper bound,1.0,0.42394648829431436,0.55,1.4300539032001893
0.4305685618729097,relativistic upper bound,1.0,0.4305685618729097,0.55,1.2837481571794507
0.437190635451505,relativistic upper bound,1.0,0.437190635451505,0.55,1.1453357456851727
0.44381270903010034,relativistic upper bound,1.0,0.44381270903010034,0.55,1.014816668717353
0.4504347826086957,relativistic upper bound,1.0,0.4504347826086957,0.55,0.8921909262759926
0.45705685618729097,relativistic upper bound,1.0,0.45705685618729097,0.55,0.7774585183610929
0.4636789297658863,relativistic upper bound,1.0,0.4636789297658863,0.55,0.6706194449726516
0.4703010033444816,relativistic upper bound,1.0,0.4703010033444816,0.55,0.5716737061106705
0.47692307692307695,relativistic upper bound,1.0,0.47692307692307695,0.55,0.48062130177514817
0.48354515050167224,relativistic upper bound,1.0,0.48354515050167224,0.55,0.39746223196608593
0.4901672240802676,relativistic upper bound,1.0,0.4901672240802676,0.55,0.3221964966834825
0.49678929765886287,relativistic upper bound,1.0,0.49678929765886287,0.55,0.25482409592733907
0.5034113712374582,relativistic upper bound,1.0,0.5034113712374582,0.55,0.19534502969765505
0.5100334448160535,relativistic upper bound,1.0,0.5100334448160535,0.55,0.14375929799442996
0.5166555183946488,relativistic upper bound,1.0,0.5166555183946488,0.55,0.10006690081766438
0.5232775919732442,relativistic upper bound,1.0,0.5232775919732442,0.55,0.0642678381673583
0.5298996655518394,relativistic upper bound,1.0,0.5298996655518394,0.55,0.036362110043512114
0.5365217391304348,relativistic upper bound,1.0,0.5365217391304348,0.55,0.016349716446124898
0.5431438127090301,relativistic upper bound,1.0,0.5431438127090301,0.55,0.004230657375197181
0.5497658862876255,relativistic upper bound,1.0,0.5497658862876255,0.55,4.93283072896285e-06
0.5563879598662207,relativistic upper bound,1.0,0.5563879598662207,0.55,0.0
0.563010033444816,relativistic upper bound,1.0,0.563010033444816,0.55,0.0
0.5696321070234114,relativistic upper bound,1.0,0.5696321070234114,0.55,0.0
0.5762541806020067,relativistic upper bound,1.0,0.5762541806020067,0.55,0.0
0.582876254180602,relativistic upper bound,1.0,0.582876254180602,0.55,0.0
0.5894983277591973,relativistic upper bound,1.0,0.5894983277591973,0.55,0.0
0.5961204013377926,relativistic upper bound,1.0,0.5961204013377926,0.55,0.0
0.602742474916388,relativistic upper bound,1.0,0.602742474916388,0.55,0.0
0.6093645484949832,relativistic upper bound,1.0,0.6093645484949832,0.55,0.0
0.6159866220735786,relativistic upper bound,1.0,0.6159866220735786,0.55,0.0
