speed,resource_budget,epsilon_min
0.5,120,0.0001
0.5652173913043478,120,0.0001
0.6304347826086957,120,0.0001
0.6956521739130435,120,0.0001
0.7608695652173914,120,0.0001
0.8260869565217391,120,0.0001
0.8913043478260869,120,0.0001
0.9565217391304348,120,0.0001
1.0217391304347827,120,0.0001
1.0869565217391304,120,0.000173594539389763
1.1521739130434783,120,0.0002983185401719715
1.2173913043478262,120,0.00048376050679171777
1.2826086956521738,120,0.000746843682581129
1.3478260869565217,120,0.0011055476547046524
1.4130434782608696,120,0.0015783409167150209
1.4782608695652173,120,0.0021836394228906637
1.5434782608695652,120,0.002939322406087302
1.608695652173913,120,0.00386232387823628
1.6739130434782608,120,0.004968307647884692
1.7391304347826086,120,0.0062714257868722685
1.8043478260869565,120,0.007784155120180339
1.8695652173913042,120,0.009517203094045606
1.934782608695652,120,0.011479472810044314
2.0,120,0.013678076630841014
2.0652173913043477,120,0.01611838817040107
2.1304347826086953,120,0.01880412336614393
2.1956521739130435,120,0.021737442462446032
2.2608695652173916,120,0.024919065953194125
2.3260869565217392,120,0.02834839873000715
2.391304347826087,120,0.03202365779803621
2.4565217391304346,120,0.03594199991845052
2.5217391304347827,120,0.040099646401769516
2.5869565217391304,120,0.04449200300835851
2.652173913043478,120,0.049113773519030776
2.717391304347826,120,0.05395906603160701
2.782608695652174,120,0.05902149143227628
2.8478260869565215,120,0.06429425379786674
2.9130434782608696,120,0.06977023272024799
2.9782608695652173,120,0.07544205771950044
3.043478260869565,120,0.08130217503922918
3.108695652173913,120,0.08734290720503407
3.1739130434782608,120,0.0935565057838031
3.2391304347826084,120,0.09993519781397696
3.3043478260869565,120,0.10647122639085424
3.369565217391304,120,0.11315688589095885
3.434782608695652,120,0.11998455230917482
3.5,120,0.12694670916471404
3.5652173913043477,120,0.134035969409363
3.6304347826086953,120,0.1412450937456621
3.6956521739130435,120,0.14856700573511303
3.760869565217391,120,0.15599480404824143
3.8260869565217392,120,0.1635217721801628
3.891304347826087,120,0.17114138592776712
3.9565217391304346,120,0.17884731889817906
4.021739130434783,120,0.1866334462930126
4.086956521739131,120,0.19449384718931148
4.1521739130434785,120,0.20242280551603012
4.217391304347826,120,0.21041480990449454
4.282608695652174,120,0.2184645525724888
4.3478260869565215,120,0.22656692738438633
4.413043478260869,120,0.23471702721402893
4.478260869565217,120,0.24291014072277298
4.543478260869565,120,0.251141748652178
4.608695652173913,120,0.259407519719128
4.673913043478261,120,0.2677033061906441
4.739130434782608,120,0.2760251392061865
4.804347826086956,120,0.2843692239067665
4.869565217391305,120,0.29273193442259854
4.934782608695652,120,0.3011098087642508
5.0,120,0.3094995436562217
5.065217391304348,120,0.317897989346495
5.130434782608695,120,0.32630214442087135
5.195652173913043,120,0.3347091506466465
5.260869565217392,120,0.34311628786647386
5.326086956521739,120,0.3515209689599557
5.391304347826087,120,0.3599207348876019
5.456521739130435,120,0.3683132498292392
5.521739130434782,120,0.3766962964267182
5.58695652173913,120,0.3850677711387992
5.6521739130434785,120,0.3934256797143887
5.717391304347826,120,0.4017681327888022
5.782608695652174,120,0.41009334160643846
5.8478260869565215,120,0.4183996138721227
5.913043478260869,120,0.42668534973241296
5.978260869565217,120,0.4349490378873315
6.043478260869565,120,0.4431892518322713
6.108695652173913,120,0.4514046462292252
6.173913043478261,120,0.459593953405974
6.239130434782608,120,0.4677559799814415
6.304347826086956,120,0.47588960361506877
6.369565217391304,120,0.4839937698777674
6.434782608695652,120,0.49206748924177707
6.5,120,0.5001098341865592
6.565217391304348,120,0.5081199364177186
6.630434782608695,120,0.5160969841958316
6.695652173913043,120,0.5240402197719821
6.760869565217391,120,0.5319489369267578
