model,n_seeds,logZ_mean,logZ_std,logZ_min,logZ_max,logZ_err_mean,chi2_best,prior_label_set,run_family_set,ndim,dlogz_from_best_max,display_name
g1dem34,6,-895.58,1.35,-896.92,-894.3,0.2,1767.17,medium; wide,legacy_exact_pilot,4,0.0,G1DE-M_{3/4}
g1demk,6,-896.36,1.43,-897.81,-894.98,0.2,1767.19,medium; wide,legacy_exact_pilot,5,0.68,G1DE-M_kappa
g1deconstsig,6,-897.45,1.45,-898.92,-896.0,0.21,1767.21,medium; wide,legacy_exact_pilot,5,1.7,G1DE-constSigma
g1de2,3,-900.95,0.19,-901.13,-900.76,0.25,1767.3,medium,legacy_exact_pilot,6,6.46,G1DE-2
g1de1,3,-901.75,0.04,-901.78,-901.71,0.24,1772.39,medium,legacy_exact_pilot,5,7.41,G1DE-1
cpl,6,-903.77,0.11,-903.93,-903.62,0.12,1774.56,medium; recovered,legacy_exact_pilot; legacy_recovered,5,9.32,CPL
lcdm,3,-906.22,0.07,-906.3,-906.18,0.22,1789.16,medium,legacy_exact_pilot,3,11.88,LambdaCDM
