Omega_m,s,q_BAO,sigma8_0,mu0,Sigma0,kappa_BW
0.3014409901169675,2.720358793946839,30.20265983813637,0.7273475249310095,0.0,-0.279641206053161,1.0
0.29766949678881327,2.577871629086169,30.458489962096795,0.7845785730302063,0.0,-0.42212837091383104,1.0
0.3070217299991215,2.634409820694376,30.37384200142441,0.7702652515274256,0.0,-0.3655901793056242,1.0
0.28218786099012133,2.4956946141834093,30.21625740898826,0.799630385371994,0.0,-0.5043053858165907,1.0
0.3015703571161367,2.6529916547300827,30.401965429376407,0.7753324287762375,0.0,-0.3470083452699173,1.0
0.3036200691009519,2.5349542188076573,30.730856808384313,0.7839123066641595,0.0,-0.46504578119234274,1.0
0.2833257630537527,2.632073945823037,30.055179422287114,0.7624114753471739,0.0,-0.3679260541769631,1.0
0.30807231143019675,2.640790683671981,30.495790323402623,0.7456981763124773,0.0,-0.3592093163280188,1.0
0.2999335371078715,2.6253406863983577,30.428378538084562,0.7677565896595118,0.0,-0.3746593136016423,1.0
0.28928050062178085,2.5948100059892445,30.04493121609673,0.7649409589551264,0.0,-0.4051899940107555,1.0
0.31389482509203154,2.687405287652106,30.521989426598005,0.7516043900636415,0.0,-0.3125947123478938,1.0
0.28595286815286286,2.5947654436089875,29.973784121799426,0.7486755480981062,0.0,-0.40523455639101247,1.0
0.3147043763262319,2.681349900622387,30.46248194199411,0.7854553322422806,0.0,-0.3186500993776131,1.0
0.30438099028373666,2.5844902837012325,30.434925924784995,0.788820559138326,0.0,-0.41550971629876754,1.0
0.3048782140619109,2.5630554523057247,30.64279623435195,0.780614942346805,0.0,-0.43694454769427526,1.0
0.28529771572157925,2.584281126497036,30.06126916674874,0.7542563347696,0.0,-0.4157188735029642,1.0
0.3017429587550908,2.72280746093479,30.2071221795695,0.7269316969742982,0.0,-0.27719253906521013,1.0
0.29766949678881327,2.577871629086169,30.458489962096795,0.7845785730302063,0.0,-0.42212837091383104,1.0
0.31757918787702816,2.693380895609602,30.440834893117962,0.7577814471097263,0.0,-0.3066191043903981,1.0
0.2833685656038995,2.501764717589131,30.228635908520797,0.7970775946805801,0.0,-0.4982352824108691,1.0
0.29867874867875527,2.6449174115649496,30.373804992452637,0.7808995816203241,0.0,-0.35508258843505036,1.0
0.3038982144659177,2.5411667206177437,30.711388749246947,0.7831833393114812,0.0,-0.45883327938225626,1.0
0.2833257630537527,2.632073945823037,30.055179422287114,0.7624114753471739,0.0,-0.3679260541769631,1.0
0.3117796086087351,2.6478283196884775,30.526497099584432,0.7356503373718921,0.0,-0.35217168031152246,1.0
0.2999335371078715,2.6253406863983577,30.428378538084562,0.7677565896595118,0.0,-0.3746593136016423,1.0
0.2960192664073011,2.618282689807777,30.139207750163788,0.7632360645538547,0.0,-0.3817173101922231,1.0
0.3071909261359713,2.668685979177986,30.456702328505838,0.764511265578743,0.0,-0.3313140208220142,1.0
0.28668658077662956,2.600715127296758,29.98462655981349,0.7476651841641215,0.0,-0.39928487270324187,1.0
0.3147043763262319,2.681349900622387,30.46248194199411,0.7854553322422806,0.0,-0.3186500993776131,1.0
0.30085060015621473,2.583523430671184,30.374149192046673,0.7821189615018954,0.0,-0.41647656932881594,1.0
0.3048782140619109,2.5630554523057247,30.64279623435195,0.780614942346805,0.0,-0.43694454769427526,1.0
0.2831805566736854,2.578684210509937,30.06995405456309,0.7485766283996709,0.0,-0.421315789490063,1.0
