model,seed,k,chi2,AIC,BIC,acceptance,derived_best,Delta_chi2,Delta_AIC,Delta_BIC
g1dem34,101,4,1767.138363326059,1775.138363326059,1796.9502926439209,0.5940124999999999,"{""Omega_m"": 0.2967368911394347, ""s"": 2.557173579007597, ""q_BAO"": 30.41896740608449, ""sigma8_0"": 0.7762668553074922, ""mu0"": 0.0, ""Sigma0"": -0.33211981574430216, ""kappa_BW"": 0.75}",0.0,0.0,0.0
g1dem1,101,4,1767.5048630358544,1775.5048630358544,1797.3167923537162,0.583125,"{""Omega_m"": 0.2996299607171836, ""s"": 2.6168641779426776, ""q_BAO"": 30.35504892465731, ""sigma8_0"": 0.7705497445327852, ""mu0"": 0.0, ""Sigma0"": -0.38313582205732244, ""kappa_BW"": 1.0}",0.36649970979533464,0.36649970979533464,0.36649970979533464
g1demk,101,5,1767.1554043469398,1777.1554043469398,1804.4203159942672,0.543575,"{""Omega_m"": 0.2974420290575632, ""s"": 2.5503661252036127, ""q_BAO"": 30.458533543524503, ""sigma8_0"": 0.7751137495068576, ""mu0"": 0.0, ""Sigma0"": -0.34720081168068523, ""kappa_BW"": 0.7721856184388065}",0.017041020880697033,2.017041020880697,7.47002335034631
g1deconstsig,303,5,1767.1587378730487,1777.1587378730487,1804.423649520376,0.5505541666666667,"{""Omega_m"": 0.2976610124989004, ""s"": 2.5726368131320614, ""q_BAO"": 30.411346604428022, ""sigma8_0"": 0.7764575158448684, ""mu0"": 0.0, ""Sigma0"": -0.33342639906998206, ""kappa_BW"": 0.7801944793457739}",0.020374546989614828,2.020374546989615,7.473356876455227
g1dew,101,5,1767.1687615255526,1777.1687615255526,1804.43367317288,0.535625,"{""Omega_m"": 0.2964, ""s"": 2.5598, ""q_BAO"": 30.419, ""sigma8_0"": 0.7727, ""mu0"": 0.0, ""Sigma0"": -0.3303, ""kappa_BW"": 0.7503407542026352}",0.030398199493447464,2.0303981994934475,7.48338052895906
g1desplit,101,6,1767.1687615255526,1779.1687615255526,1811.8866555023453,0.4719444444444445,"{""Omega_m"": 0.2964, ""s_H"": 2.5598, ""s_Sigma"": 2.5598, ""q_BAO"": 30.419, ""sigma8_0"": 0.7727, ""mu0"": 0.0, ""Sigma0"": -0.3303, ""kappa_BW"": 0.7503407542026352}",0.030398199493447464,4.0303981994934475,14.936362858424445
