parameter,mean,std,q16,q50,q84
Omega_m,0.2963675660551722,0.008560804377828874,0.28793896688940807,0.29608030149139936,0.3049651214114569
s,2.5554052779445566,0.09152194231527164,2.465172841244849,2.5550190676144338,2.6455944180606146
q_BAO,30.426881913746275,0.2404167682408811,30.187805343943133,30.426458093968122,30.664555591832684
sigma8_0,0.7769959006373335,0.027143651162171958,0.7499214887804581,0.7768474898451291,0.8039008041407131
