model,ndim,n_runs,logZ_mean,logZ_run_std,logZ_dynesty_err_mean,chi2_best,logl_best,ncall_total,logZ_total_err,Delta_logZ,Bayes_factor
g1dem34,4,3,-894.2582768269735,0.2650300206933658,0.0,1767.1520719632892,-883.5760359816446,29750,0.2650300206933658,0.0,157068.80061486957
g1demk,5,3,-895.2270116293442,0.06033742707241144,0.0,1767.2572189344328,-883.6286094672164,39701,0.06033742707241144,0.9687348023707045,59617.49835042485
g1deconstsig,5,3,-896.1784210118843,0.09482776392110558,0.0,1767.2111286949532,-883.6055643474766,42724,0.09482776392110558,1.9201441849107823,23024.059742265505
g1de2,6,3,-900.9534329719045,0.1883066165193009,0.24917547811320953,1767.2986061555905,-883.6493030777953,979366,0.3123264329477952,6.695156144930934,194.27662857345638
cpl,5,3,-903.6925298356995,0.06219150034909021,0.0,1774.5617288613253,-887.2808644306626,43363,0.06219150034909021,9.434253008725932,12.555843818282732
lcdm,3,3,-906.2227160357903,0.06570645988298898,0.21534112730894037,1789.1566427735793,-894.5783213867896,575553,0.22514248817368993,11.96443920881677,1.0
