parameter,mean,std,q16,q50,q84
Omega_m,0.2975095026242639,0.008988873439031816,0.2885069378610552,0.29748765401109534,0.3064386397562022
s,2.591327369514062,0.11748519153764261,2.472499060575349,2.59279682172472,2.7110272576343903
q_BAO,30.371503823397532,0.2602739525768038,30.113584982053503,30.36799479516806,30.628341376435703
sigma8_0,0.7745146108433416,0.027571261174903803,0.7472348948197685,0.7740247369029849,0.8016930707821215
kappa,0.9189743482633157,0.41396248055084955,0.5402752758968,0.8513809560926757,1.2990356098505706
