Omega_m,s,q_BAO,sigma8_0,mu0,Sigma0,kappa_BW
0.2977491574686321,2.6930299097036445,30.160491682625256,0.7826540883121419,0.0,-0.24562061486383233,0.8001451041262846
0.30900495811796674,2.638254214989131,30.387795220068167,0.7972650959238071,0.0,-0.4167402519890545,1.1520251769527403
0.30564427420616497,2.533923350142617,30.835172637882852,0.761431663815628,0.0,-0.2907987906077827,0.6239291127259121
0.29779967475267216,2.4692719595938715,30.67268783424,0.8056966011543104,0.0,-0.38348796450102063,0.7225696313455843
0.2988609943200666,2.640058642779056,30.39150694154927,0.7822434530897746,0.0,-0.22890771914362695,0.635958370860717
0.3024537551164782,2.6340514384612335,30.309084867281925,0.7781976143219689,0.0,-0.18122810795339722,0.4952283654056635
0.30877613465061704,2.708809314783391,30.299886118426965,0.7592769213996835,0.0,-0.3851948464490189,1.3228268141973107
0.2863798182002735,2.5096725546593226,30.386667156890482,0.7640075856795403,0.0,-0.21473810400834673,0.43794836705326096
0.2983337665561789,2.7416197157644207,29.98101254975143,0.7599889098881343,0.0,-0.29924753684135563,1.1581670703965763
0.30573552263221365,2.629650008925757,30.550390289604334,0.7357016308877322,0.0,-0.4316920792153222,1.1656327517739347
0.30793275511107204,2.682286844281542,30.287793908276157,0.7577700725488252,0.0,-0.36958922620254075,1.1632795795527358
0.284055208427223,2.655677862575375,29.983795146551934,0.7919564004435339,0.0,-0.5042721179590783,1.464535860897029
0.3078087678101699,2.639214399141733,30.42902278797847,0.8160445468782415,0.0,-0.3852759974989397,1.0678807485177149
0.304703516212717,2.7110909798334037,30.25807007375731,0.7258270948081943,0.0,-0.39225590703597135,1.3577142963891582
0.28244486053796986,2.696099979118326,29.79873424300381,0.8260496556791505,0.0,-0.3656797175842512,1.2032895441183005
0.2994135234421668,2.560201547282134,30.48414059128945,0.7578992751467102,0.0,-0.19011500069568332,0.43227755696003667
0.28514447720440983,2.6095493247455273,30.01577590413222,0.7244743325393622,0.0,-0.23373266454335082,0.5986227694215605
0.29185683873276025,2.3966268923364216,30.73902124291656,0.8566502459474162,0.0,-0.3030901461180218,0.5023262426985977
0.30549741366042454,2.6211145948249244,30.499705867570786,0.7171444255458334,0.0,-0.32821682129519214,0.8662693701372041
0.30060439365913005,2.6448112188249353,30.299063884254746,0.7705303356629596,0.0,-0.318823543943794,0.8976171569637863
0.2892442791384495,2.7417704537320544,29.960221703725324,0.8021184571995792,0.0,-0.24230938198768445,0.9383487888572519
0.29958345930586616,2.759532256385707,29.87647157580388,0.7740678444451535,0.0,-0.25008059266147886,1.039975627927065
0.3019038647487877,2.5968366537182517,30.475609802494006,0.7997024085759449,0.0,-0.4949945569677509,1.2277766853880285
0.30786663740463655,2.7166104116832193,30.17257419584537,0.7401621926234176,0.0,-0.14489519913678522,0.5112933047307912
0.3112457796006253,2.6711367679760007,30.592396431745318,0.757901239282108,0.0,-0.3189958313293522,0.9699954274793269
0.2895613195971048,2.5085846645237635,30.13930672044237,0.7831347356018363,0.0,-0.39188373706831775,0.797459315526933
0.30430671700621537,2.6802961677568278,30.442719324860906,0.7636131975676657,0.0,-0.5055277981828777,1.5812378432747862
0.2870872700782497,2.40952105510179,30.533558961689245,0.7697196015970084,0.0,-0.4066923891425319,0.6887500268322688
0.2888251050948486,2.509948869692739,30.356555517142066,0.7755244550574849,0.0,-0.2357173180789296,0.48100555942220813
0.3057124075125273,2.5497196604265957,30.521360694664345,0.7392637503501549,0.0,-0.3318172915884609,0.736912679560526
0.28588865266671476,2.5038665818681904,30.248610026325736,0.8182043281591328,0.0,-0.5145248412393013,1.037069510811718
0.30879686358138037,2.6364877625468672,30.528303274243324,0.7303153744833903,0.0,-0.2312288487623962,0.6360964637186617
0.2696616945085466,2.491217679902989,29.99058867915318,0.8098858013121449,0.0,-0.17776022538973427,0.349383652631326
0.30834683807602586,2.7711146243874603,30.07715673290427,0.7591239168636161,0.0,-0.4584820257392253,2.0031075577119872
0.2976290753018506,2.4072120905750904,30.72868963406299,0.8185926095928839,0.0,-0.35200046378359917,0.593805066174664
0.28124757686679985,2.4144635429408163,30.523356055601102,0.7709565353661487,0.0,-0.2207513896801598,0.37700707960844726
0.3146738227094752,2.768942124593135,30.414109244942843,0.7941112997574005,0.0,-0.24238553210819144,1.049025191984388
0.30224894132450275,2.545775729142948,30.558496700926568,0.7830458318677322,0.0,-0.20971770225512448,0.4617051877466151
0.295659682038186,2.739910095957349,29.99093709910828,0.7778258407309863,0.0,-0.2722541878199137,1.0467695346424046
0.2992927377173976,2.8296434485839335,29.902233386426666,0.7818800172242408,0.0,-0.38860280119056845,2.281114509306267
0.2789634396005417,2.5244619500834755,30.15817681854891,0.8110752288699387,0.0,-0.044854020298518836,0.09432267366700198
