parameter,mean,std,q16,q50,q84
Omega_m,0.29669820076542236,0.009023038838828646,0.28761840825559376,0.2967548955403518,0.30561813205538474
s,2.5615777603443832,0.11586425786989671,2.447402895686234,2.5604262933681756,2.6774368548743763
q_BAO,30.419148169492036,0.258032005956587,30.16129457554867,30.417419449478125,30.675023927306285
sigma8_0,0.7767616542916562,0.02738459557803005,0.7496346242216774,0.7765393683400446,0.8040997079877606
Sigma0,-0.3355361486348275,0.11199424069607362,-0.44780110767640546,-0.33543898106509423,-0.22366507355294368
