Omega_m,s_H,s_Sigma,q_BAO,sigma8_0,mu0,Sigma0,kappa_BW
0.30575584270816447,2.5125782817245637,1.382176919002694,30.7797483330665,0.7734717753250495,0.0,-0.5931393084109648,1.2168914231183041
0.31274227121795434,2.6088102418255312,2.821817517534744,30.65246103819884,0.7627623122639551,0.0,-0.5550537835088831,1.4188862870518502
0.3093390646185033,2.7107776806231723,3.1161422371957035,30.291006952432117,0.7646677585682795,0.0,-0.3598883209500587,1.2443310797226552
0.3011863928297075,2.5706004652578,3.947907174580264,30.543623808757005,0.7489808515147162,0.0,-0.47438039567802315,1.1047529335653066
0.2953041405211571,2.6472735411776895,2.1407440618824003,30.335038167185616,0.7795641315996134,0.0,-0.2497313808975464,0.7080029712864583
0.29306783768459305,2.530090995161435,1.5464225465403647,30.456222673699482,0.754958595241036,0.0,-0.26547851449027327,0.5649572827008862
0.3029912623401939,2.788118760163377,1.212698924999132,30.184304938214858,0.7687834435775011,0.0,-0.4696757994997697,2.216693652830833
0.3048489323162833,2.4772514827314804,2.8815861690889664,30.76662820462411,0.7319731772791357,0.0,-0.3165809217043346,0.6056084546323388
0.2998366718449509,2.5145985957960004,1.3650591372704708,30.60304694725502,0.7665876930149967,0.0,-0.11458164997016138,0.2360554563249804
0.2943409351856215,2.6852285608936217,1.0701018862921945,30.082293839826367,0.780597299272836,0.0,-0.17165412040740624,0.545329401214813
0.305443698295985,2.6908149827506773,3.077197221935428,30.25491664900835,0.7101854295213559,0.0,-0.3050635737364904,0.9866699766065675
0.29472884048258025,2.584875277012185,3.052105295412755,30.337882707201047,0.7628537875359895,0.0,-0.2237042604586539,0.538884455853573
0.2965099988226841,2.412958149367405,1.4086891044492156,31.01951319001308,0.7564945165930588,0.0,-0.30875589661740144,0.525952104240416
0.3087068621575188,2.607210461403889,2.2727262684465352,30.508418697167112,0.7826815607050532,0.0,-0.3532940714822896,0.8994487804970976
0.29239486013808075,2.583701754220157,4.4593644819333464,30.314148348472123,0.7825109618907622,0.0,-0.49152605940902616,1.1807065352587793
0.29720030856055435,2.60814328665093,3.0524735199150337,30.38008885112606,0.7562095291855792,0.0,-0.0938105805725668,0.2394002128247307
0.3015194078654151,2.5304300004054907,1.9886202469210004,30.635098063843646,0.8216355111803667,0.0,-0.5123661350634059,1.0911389899394182
0.2988480950157827,2.6707076879573717,4.444616965088631,30.382532537565545,0.7739845710916847,0.0,-0.3792764403024801,1.1517925758721665
0.30268092556731707,2.5312086030544583,2.028050641069453,30.66606200219731,0.7672104557922889,0.0,-0.41124343832554144,0.877241862809429
0.31274227121795434,2.6088102418255312,2.821817517534744,30.65246103819884,0.7627623122639551,0.0,-0.5550537835088831,1.4188862870518502
0.3093390646185033,2.7107776806231723,3.1161422371957035,30.291006952432117,0.7646677585682795,0.0,-0.3598883209500587,1.2443310797226552
0.3011863928297075,2.5706004652578,3.947907174580264,30.543623808757005,0.7489808515147162,0.0,-0.47438039567802315,1.1047529335653066
0.2953041405211571,2.6472735411776895,2.1407440618824003,30.335038167185616,0.7795641315996134,0.0,-0.2497313808975464,0.7080029712864583
0.29306783768459305,2.530090995161435,1.5464225465403647,30.456222673699482,0.754958595241036,0.0,-0.26547851449027327,0.5649572827008862
0.3029912623401939,2.788118760163377,1.212698924999132,30.184304938214858,0.7687834435775011,0.0,-0.4696757994997697,2.216693652830833
0.3027159252166944,2.486818255486937,2.6398502714459426,30.71042823153902,0.736134765079973,0.0,-0.30732865773384827,0.5988690381522821
0.29962545416644565,2.510237958232817,1.3261363400287745,30.609982922738027,0.7666303690131776,0.0,-0.10912901221870702,0.22282047793034856
0.2972667944791105,2.673077853540345,1.3486291329125157,30.172951876464005,0.7777614909164482,0.0,-0.23261564327916678,0.7115322280800995
0.30514779044655593,2.689544290810947,3.0498682351259365,30.25725487584855,0.7122101433189462,0.0,-0.3034487863314801,0.9774302013131735
0.29472884048258025,2.584875277012185,3.052105295412755,30.337882707201047,0.7628537875359895,0.0,-0.2237042604586539,0.538884455853573
0.29547586358642214,2.4481486004531496,1.4500686331708414,30.85028271305315,0.7560330767224271,0.0,-0.29575398764353605,0.5359304839788261
0.3084104179017928,2.5586470515568887,1.8772424882443484,30.610364619291005,0.7911283613690613,0.0,-0.3502019807420855,0.7934737537778681
0.288620357579094,2.589326581022148,4.678950415709756,30.215626766121087,0.7969065731973132,0.0,-0.49888727319258347,1.2148029313275055
0.29602282865020013,2.5715487095775513,3.4265565652175285,30.41989777259147,0.7536528637113948,0.0,-0.017385563014367444,0.040577688533101286
0.3015194078654151,2.5304300004054907,1.9886202469210004,30.635098063843646,0.8216355111803667,0.0,-0.5123661350634059,1.0911389899394182
0.2988480950157827,2.6707076879573717,4.444616965088631,30.382532537565545,0.7739845710916847,0.0,-0.3792764403024801,1.1517925758721665
0.30268092556731707,2.5312086030544583,2.028050641069453,30.66606200219731,0.7672104557922889,0.0,-0.41124343832554144,0.877241862809429
0.31179541700054375,2.61034513503507,2.9749548340361125,30.635539548327582,0.7624035511426653,0.0,-0.5577776679251405,1.4314659409560866
0.3093390646185033,2.7107776806231723,3.1161422371957035,30.291006952432117,0.7646677585682795,0.0,-0.3598883209500587,1.2443310797226552
0.30011514757158814,2.6292793763389875,4.864036683673795,30.426798268834585,0.7579779210084321,0.0,-0.5913791487974834,1.5952151325097073
0.29050935166899816,2.5594223139212082,2.719605771294698,30.429056972003966,0.7862885108879728,0.0,-0.11254257717690241,0.2554432072548849
0.29306783768459305,2.530090995161435,1.5464225465403647,30.456222673699482,0.754958595241036,0.0,-0.26547851449027327,0.5649572827008862
0.30285337688442965,2.794421476827855,1.0952328336017285,30.17964061903955,0.7724006629715946,0.0,-0.48030412722869087,2.3363536220488306
0.30257399949478464,2.4965206236766475,2.4999953488512814,30.694058591212297,0.7537648457985959,0.0,-0.34816403914313676,0.6915159895636586
0.29962545416644565,2.510237958232817,1.3261363400287745,30.609982922738027,0.7666303690131776,0.0,-0.10912901221870702,0.22282047793034856
0.2972667944791105,2.673077853540345,1.3486291329125157,30.172951876464005,0.7777614909164482,0.0,-0.23261564327916678,0.7115322280800995
0.30514779044655593,2.689544290810947,3.0498682351259365,30.25725487584855,0.7122101433189462,0.0,-0.3034487863314801,0.9774302013131735
0.294623859677467,2.582687804610758,3.016616593504726,30.336744788895185,0.7625701151846456,0.0,-0.21973944290208366,0.5265588816476471
0.29587558108880035,2.4541294803827105,1.4381306104374096,30.82713536148811,0.7570538818174702,0.0,-0.27777696855704315,0.5088697018329419
0.3084104179017928,2.5586470515568887,1.8772424882443484,30.610364619291005,0.7911283613690613,0.0,-0.3502019807420855,0.7934737537778681
0.288620357579094,2.589326581022148,4.678950415709756,30.215626766121087,0.7969065731973132,0.0,-0.49888727319258347,1.2148029313275055
0.29602234722687765,2.5714400962593267,3.424816915923425,30.420276585356135,0.7536549587081905,0.0,-0.01763057510149174,0.04113911485326498
0.302046408670862,2.532587943668615,1.9801024580596271,30.633206534861404,0.8193024290287553,0.0,-0.4999643769044702,1.0696437332587898
0.2988480950157827,2.6707076879573717,4.444616965088631,30.382532537565545,0.7739845710916847,0.0,-0.3792764403024801,1.1517925758721665
0.30268092556731707,2.5312086030544583,2.028050641069453,30.66606200219731,0.7672104557922889,0.0,-0.41124343832554144,0.877241862809429
0.3128841817640656,2.619301051184014,3.122463540692851,30.637825927817456,0.7620254061621117,0.0,-0.5979152471596477,1.570572361755207
0.3093390646185033,2.7107776806231723,3.1161422371957035,30.291006952432117,0.7646677585682795,0.0,-0.3598883209500587,1.2443310797226552
0.30011514757158814,2.6292793763389875,4.864036683673795,30.426798268834585,0.7579779210084321,0.0,-0.5913791487974834,1.5952151325097073
0.2930088797285582,2.5927799678810564,3.2366757544601734,30.415111330017176,0.7826004200708093,0.0,-0.19249572450267008,0.47270691351069044
0.2878403659772831,2.520361472827751,1.4337067020742023,30.403703954678146,0.7426349556434209,0.0,-0.23661182345742607,0.4933127971441157
0.30285337688442965,2.794421476827855,1.0952328336017285,30.17964061903955,0.7724006629715946,0.0,-0.48030412722869087,2.3363536220488306
0.30470354468403205,2.391970924616391,1.7580706637812022,30.99290956312672,0.7616314801934975,0.0,-0.3324362924945954,0.5467440718765949
0.29962545416644565,2.510237958232817,1.3261363400287745,30.609982922738027,0.7666303690131776,0.0,-0.10912901221870702,0.22282047793034856
0.2972667944791105,2.673077853540345,1.3486291329125157,30.172951876464005,0.7777614909164482,0.0,-0.23261564327916678,0.7115322280800995
0.29935751058361765,2.654433660409156,3.620606704974861,30.24267073520069,0.7418829930785098,0.0,-0.37191940387928285,1.076260507084229
0.294623859677467,2.582687804610758,3.016616593504726,30.336744788895185,0.7625701151846456,0.0,-0.21973944290208366,0.5265588816476471
0.29601486695236834,2.4550109551792167,1.4602108595526666,30.82436818396272,0.7569854901174555,0.0,-0.2792405862823625,0.5123783476678678
0.3081328638079024,2.554884053234759,1.79998847762922,30.60866090876006,0.7929339203146544,0.0,-0.33483375091999784,0.7522393959446099
0.288620357579094,2.589326581022148,4.678950415709756,30.215626766121087,0.7969065731973132,0.0,-0.49888727319258347,1.2148029313275055
0.29602234722687765,2.5714400962593267,3.424816915923425,30.420276585356135,0.7536549587081905,0.0,-0.01763057510149174,0.04113911485326498
0.30156553755553256,2.5543783142241576,2.2734832710622275,30.5633647708876,0.8054570658704486,0.0,-0.47706535768055564,1.0705613593511922
0.2988480950157827,2.6707076879573717,4.444616965088631,30.382532537565545,0.7739845710916847,0.0,-0.3792764403024801,1.1517925758721665
0.30826906686229794,2.535293037740641,2.2518479910798463,30.76485166241989,0.7764642421063117,0.0,-0.47700013250768253,1.0264535960222232
0.3128841817640656,2.619301051184014,3.122463540692851,30.637825927817456,0.7620254061621117,0.0,-0.5979152471596477,1.570572361755207
0.3154594259567868,2.78218740903891,3.124444556763241,30.214851365664053,0.7689843657663389,0.0,-0.5172723720668317,2.374850644695911
0.30011514757158814,2.6292793763389875,4.864036683673795,30.426798268834585,0.7579779210084321,0.0,-0.5913791487974834,1.5952151325097073
0.2977358639327267,2.599087531993871,3.2095124273602003,30.46808000359803,0.7777070219441691,0.0,-0.28891748837007575,0.7206497962185077
0.2878403659772831,2.520361472827751,1.4337067020742023,30.403703954678146,0.7426349556434209,0.0,-0.23661182345742607,0.4933127971441157
0.3025797442223522,2.784277571253687,1.1826541306097245,30.191425726913025,0.7716706868989093,0.0,-0.4607368495024649,2.1357855656459614
