parameter,mean,std,q16,q50,q84
Omega_m,0.3075014676128103,0.007868315591701095,0.2997102942046551,0.30736261439091045,0.31530954368558956
q_BAO,29.74937692265114,0.1989467920305973,29.549394448586344,29.747955050675444,29.946864606769886
sigma8_0,0.7471661578176391,0.024903763276962875,0.7222853420978912,0.7476550447260178,0.7715482228633356
