parameter,mean,std,q16,q50,q84
Omega_m,0.30463329831410807,0.02947387385440251,0.28841578713561455,0.3118362761928388,0.32611442315774386
w0,-0.7981292308470294,0.06352938783496717,-0.8614749765222839,-0.8009465940332796,-0.7348030181913067
wa,-0.47372236276461327,0.5422251520931191,-0.9952142984239889,-0.5153088005406385,0.06112840738270031
q_BAO,30.37032176448734,0.2555504518296905,30.112700787748647,30.37222061298202,30.626105625683643
sigma8_0,0.7680366093913228,0.04936001398888283,0.7300117895532786,0.7593720689339981,0.7968588379972581
