parameter,mean,std,q16,q50,q84
Omega_m,0.2978940770898887,0.009212505006712501,0.28878309989668594,0.29790794783390734,0.3070461518259353
s,2.5944681314367575,0.11466058187701017,2.4804120569189396,2.5956205147179143,2.710208583486394
q_BAO,30.37105030332265,0.25596418471237026,30.116229688192107,30.368434718002675,30.623561854679277
sigma8_0,0.7740615251612104,0.027543715286445565,0.7468726859931677,0.7735336795047617,0.8017805340255597
kappa,0.9178925498499965,0.4220254045001749,0.5316727057363082,0.8423090298237346,1.3100625992415071
