Omega_m,s,q_BAO,sigma8_0,mu0,Sigma0,kappa_BW
0.3090732683668099,2.5665138744231024,30.74144730595844,0.7487120999786248,0.0,-0.19602351346097036,0.45220250867336487
0.30058791082611735,2.569225498005532,30.421951040821735,0.7361310238470534,0.0,-0.26465454817380385,0.6143691117939065
0.28325305317736743,2.4572507432896358,30.42425270506909,0.82519360513824,0.0,-0.4435918649455954,0.8173053384434504
0.2973431386037924,2.61123224888994,30.22344099704931,0.7983207785999918,0.0,-0.3301520671813921,0.8492269902498322
0.2848248615178148,2.607864366038431,30.253395880029018,0.7937433802127273,0.0,-0.4199469296496067,1.070922643288172
0.28069265395572957,2.4290350894681945,30.56862455988777,0.7973343325748544,0.0,-0.44813351051132283,0.7848704924684853
0.2968730835525536,2.6361496426171347,30.195002319869467,0.7631867269393351,0.0,-0.1729245238144661,0.4752627565307143
0.3129888052085267,2.5867231831897994,30.682817614578806,0.7527452666512593,0.0,-0.44013612505340655,1.0649910838224959
0.28317898102242894,2.632578171275046,29.933677666958232,0.8084151212929892,0.0,-0.32117945424058914,0.8741436385398285
0.30261480038012306,2.67166130617641,30.469980393182524,0.775781658318955,0.0,-0.37755101794879464,1.1498828041011984
0.30561903574173405,2.7066695931287525,30.121253643616246,0.7368180284847617,0.0,-0.17710918564655215,0.6037873384339978
0.3026884131014213,2.41208137693715,30.795807432547466,0.7972663022010771,0.0,-0.19939090633651338,0.33914711750030413
0.3135929201735421,2.770707283124103,30.16111245991319,0.7779822921828505,0.0,-0.5114829512742567,2.230698638156454
0.2883058580982777,2.4934979998968174,30.23894378201534,0.7488925993872149,0.0,-0.48042417494515927,0.9485138752606883
0.2983963995751121,2.4935525963619276,30.50700313134825,0.8225572124652699,0.0,-0.3776353082849003,0.7456555321878471
0.3044245780107603,2.7680915683083462,30.20261469886529,0.7542237870614037,0.0,-0.3280216685750796,1.4144447710776566
0.3090732683668099,2.5665138744231024,30.74144730595844,0.7487120999786248,0.0,-0.19602351346097036,0.45220250867336487
0.30058791082611735,2.569225498005532,30.421951040821735,0.7361310238470534,0.0,-0.26465454817380385,0.6143691117939065
0.28325305317736743,2.4572507432896358,30.42425270506909,0.82519360513824,0.0,-0.4435918649455954,0.8173053384434504
0.2973431386037924,2.61123224888994,30.22344099704931,0.7983207785999918,0.0,-0.3301520671813921,0.8492269902498322
0.2848248615178148,2.607864366038431,30.253395880029018,0.7937433802127273,0.0,-0.4199469296496067,1.070922643288172
0.28544455693807885,2.4810325684324175,30.470112184039245,0.7976158556600892,0.0,-0.4144626364033672,0.7986293767056822
0.2968730835525536,2.6361496426171347,30.195002319869467,0.7631867269393351,0.0,-0.1729245238144661,0.4752627565307143
0.3129888052085267,2.5867231831897994,30.682817614578806,0.7527452666512593,0.0,-0.44013612505340655,1.0649910838224959
0.28317898102242894,2.632578171275046,29.933677666958232,0.8084151212929892,0.0,-0.32117945424058914,0.8741436385398285
0.29868944106557715,2.6637678726759595,30.361665901106967,0.7823724824819869,0.0,-0.36616592331475106,1.0890271736640507
0.30561903574173405,2.7066695931287525,30.121253643616246,0.7368180284847617,0.0,-0.17710918564655215,0.6037873384339978
0.3026884131014213,2.41208137693715,30.795807432547466,0.7972663022010771,0.0,-0.19939090633651338,0.33914711750030413
0.3135929201735421,2.770707283124103,30.16111245991319,0.7779822921828505,0.0,-0.5114829512742567,2.230698638156454
