kind,bin1,bin2,theta_arcmin,value
xip,src0,src0,6.016752640915019,1.1462893455770007e-06
xip,src0,src0,12.247448713915889,9.586741333269764e-07
xip,src0,src0,24.930391683376275,7.375012132883407e-07
xip,src0,src0,50.747257163882935,5.016744055394339e-07
xip,src0,src0,103.2989831192456,2.8770259346353624e-07
xip,src0,src0,210.27106704526625,1.3016627380979432e-07
xip,src0,src1,6.016752640915019,1.9824635413506126e-06
xip,src0,src1,12.247448713915889,1.6312398515185665e-06
xip,src0,src1,24.930391683376275,1.2263981672383759e-06
xip,src0,src1,50.747257163882935,8.072705084078187e-07
xip,src0,src1,103.2989831192456,4.421034956858383e-07
xip,src0,src1,210.27106704526625,1.8758681809038916e-07
xip,src0,src2,6.016752640915019,2.555742995395661e-06
xip,src0,src2,12.247448713915889,2.072063885720224e-06
xip,src0,src2,24.930391683376275,1.527275253713492e-06
xip,src0,src2,50.747257163882935,9.789641494032226e-07
xip,src0,src2,103.2989831192456,5.180126507366733e-07
xip,src0,src2,210.27106704526625,2.1037672307112213e-07
xip,src0,src3,6.016752640915019,3.314991728716783e-06
xip,src0,src3,12.247448713915889,2.6532824901314823e-06
xip,src0,src3,24.930391683376275,1.9228723913103005e-06
xip,src0,src3,50.747257163882935,1.2053594320735309e-06
xip,src0,src3,103.2989831192456,6.200145867661384e-07
xip,src0,src3,210.27106704526625,2.4298835580703e-07
xip,src0,src4,6.016752640915019,3.792017675834315e-06
xip,src0,src4,12.247448713915889,3.0151367096728366e-06
xip,src0,src4,24.930391683376275,2.167293489864341e-06
xip,src0,src4,50.747257163882935,1.3449808439032934e-06
xip,src0,src4,103.2989831192456,6.838000755943537e-07
xip,src0,src4,210.27106704526625,2.6443948297042254e-07
xip,src1,src1,6.016752640915019,3.8028238637592927e-06
xip,src1,src1,12.247448713915889,3.0725645192327974e-06
xip,src1,src1,24.930391683376275,2.2505935219048474e-06
xip,src1,src1,50.747257163882935,1.4261574568062602e-06
xip,src1,src1,103.2989831192456,7.392748269386152e-07
xip,src1,src1,210.27106704526625,2.8952035763195274e-07
xip,src1,src2,6.016752640915019,5.289538792397095e-06
xip,src1,src2,12.247448713915889,4.204928263735625e-06
xip,src1,src2,24.930391683376275,3.0119608820038518e-06
xip,src1,src2,50.747257163882935,1.8499876452635457e-06
xip,src1,src2,103.2989831192456,9.189276732468028e-07
xip,src1,src2,210.27106704526625,3.3932592719690245e-07
xip,src1,src3,6.016752640915019,7.1407087121783465e-06
xip,src1,src3,12.247448713915889,5.610949330746749e-06
xip,src1,src3,24.930391683376275,3.955480851405544e-06
xip,src1,src3,50.747257163882935,2.375869216465618e-06
xip,src1,src3,103.2989831192456,1.1443524285033657e-06
xip,src1,src3,210.27106704526625,4.0453264765108813e-07
xip,src1,src4,6.016752640915019,8.201086102354016e-06
xip,src1,src4,12.247448713915889,6.4150761326070355e-06
xip,src1,src4,24.930391683376275,4.495226353575693e-06
xip,src1,src4,50.747257163882935,2.6782054587450537e-06
xip,src1,src4,103.2989831192456,1.2761399129703695e-06
xip,src1,src4,210.27106704526625,4.4451016271603417e-07
xip,src2,src2,6.016752640915019,8.314919943155767e-06
xip,src2,src2,12.247448713915889,6.457320834195537e-06
xip,src2,src2,24.930391683376275,4.478672989883286e-06
xip,src2,src2,50.747257163882935,2.6291218237220156e-06
xip,src2,src2,103.2989831192456,1.2269327125033738e-06
xip,src2,src2,210.27106704526625,4.1499476745433865e-07
xip,src2,src3,6.016752640915019,1.2419909841616328e-05
xip,src2,src3,12.247448713915889,9.479729536303513e-06
xip,src2,src3,24.930391683376275,6.419692585644272e-06
xip,src2,src3,50.747257163882935,3.643244665400389e-06
xip,src2,src3,103.2989831192456,1.6215380996563367e-06
xip,src2,src3,210.27106704526625,5.116800456052489e-07
xip,src2,src4,6.016752640915019,1.487599126007834e-05
xip,src2,src4,12.247448713915889,1.127289504269829e-05
xip,src2,src4,24.930391683376275,7.560227588588889e-06
xip,src2,src4,50.747257163882935,4.2334137669619204e-06
xip,src2,src4,103.2989831192456,1.8501928244522625e-06
xip,src2,src4,210.27106704526625,5.687768225684673e-07
xip,src3,src3,6.016752640915019,2.0514818768983745e-05
xip,src3,src3,12.247448713915889,1.529772377328536e-05
xip,src3,src3,24.930391683376275,1.0031163180270814e-05
xip,src3,src3,50.747257163882935,5.437531207949521e-06
xip,src3,src3,103.2989831192456,2.267918566855089e-06
xip,src3,src3,210.27106704526625,6.485829444135803e-07
xip,src3,src4,6.016752640915019,2.5950641215881702e-05
xip,src3,src4,12.247448713915889,1.9136288559590252e-05
xip,src3,src4,24.930391683376275,1.2359952799404753e-05
xip,src3,src4,50.747257163882935,6.560490756189319e-06
xip,src3,src4,103.2989831192456,2.6581677067981127e-06
xip,src3,src4,210.27106704526625,7.280985285745368e-07
xip,src4,src4,6.016752640915019,3.439338436773373e-05
xip,src4,src4,12.247448713915889,2.4967979292188984e-05
xip,src4,src4,24.930391683376275,1.579140682233718e-05
xip,src4,src4,50.747257163882935,8.142869913188236e-06
xip,src4,src4,103.2989831192456,3.1719026703754086e-06
xip,src4,src4,210.27106704526625,8.198883768431056e-07
xim,src0,src0,50.747257163882935,7.625309936690991e-08
xim,src0,src0,103.2989831192456,8.331674370956659e-08
xim,src0,src0,210.27106704526625,7.740014881573909e-08
xim,src0,src1,50.747257163882935,1.403360848460198e-07
xim,src0,src1,103.2989831192456,1.4890278281841676e-07
xim,src0,src1,210.27106704526625,1.3288891459719478e-07
xim,src0,src2,50.747257163882935,1.8976775914556868e-07
xim,src0,src2,103.2989831192456,1.9572133468226493e-07
xim,src0,src2,210.27106704526625,1.6861714851513e-07
xim,src0,src3,50.747257163882935,2.5544522625100595e-07
xim,src0,src3,103.2989831192456,2.571254153294024e-07
xim,src0,src3,210.27106704526625,2.1508617165482543e-07
xim,src0,src4,50.747257163882935,2.9712048977291754e-07
xim,src0,src4,103.2989831192456,2.952608884463901e-07
xim,src0,src4,210.27106704526625,2.4351015105875746e-07
xim,src1,src1,50.747257163882935,2.8651943940120915e-07
xim,src1,src1,103.2989831192456,2.9460269854332674e-07
xim,src1,src1,210.27106704526625,2.516288819626957e-07
xim,src1,src2,50.747257163882935,4.178470019299196e-07
xim,src1,src2,103.2989831192456,4.1724585912662403e-07
xim,src1,src2,210.27106704526625,3.430454365178149e-07
xim,src1,src3,50.747257163882935,5.817311949926963e-07
xim,src1,src3,103.2989831192456,5.691174552806135e-07
xim,src1,src3,210.27106704526625,4.556412904221407e-07
xim,src1,src4,50.747257163882935,6.754828383168629e-07
xim,src1,src4,103.2989831192456,6.554946936943356e-07
xim,src1,src4,210.27106704526625,5.19587512968925e-07
xim,src2,src2,50.747257163882935,6.974894196271186e-07
xim,src2,src2,103.2989831192456,6.68580546003122e-07
xim,src2,src2,210.27106704526625,5.210125841275022e-07
xim,src2,src3,50.747257163882935,1.0834484065819262e-06
xim,src2,src3,103.2989831192456,1.0084039623110954e-06
xim,src2,src3,210.27106704526625,7.56102676314628e-07
xim,src2,src4,50.747257163882935,1.3168783681795692e-06
xim,src2,src4,103.2989831192456,1.2106517508069602e-06
xim,src2,src4,210.27106704526625,8.937860622481191e-07
xim,src3,src3,50.747257163882935,1.8751040844594095e-06
xim,src3,src3,103.2989831192456,1.6788092083001703e-06
xim,src3,src3,210.27106704526625,1.1963691713922048e-06
xim,src3,src4,50.747257163882935,2.4188764390004803e-06
xim,src3,src4,103.2989831192456,2.1257862099178977e-06
xim,src3,src4,210.27106704526625,1.4798135535713876e-06
xim,src4,src4,50.747257163882935,3.2872152004198612e-06
xim,src4,src4,103.2989831192456,2.8152704037988265e-06
xim,src4,src4,210.27106704526625,1.8980945173708018e-06
