kind,bin1,bin2,theta_arcmin,value
xip,src0,src0,6.016752640915019,1.9050316058570937e-06
xip,src0,src0,12.247448713915889,1.545878711104772e-06
xip,src0,src0,24.930391683376275,1.1394896132640174e-06
xip,src0,src0,50.747257163882935,7.288761099558556e-07
xip,src0,src0,103.2989831192456,3.830485980466022e-07
xip,src0,src0,210.27106704526625,1.5308491662869642e-07
xip,src0,src1,6.016752640915019,2.5252417649803617e-06
xip,src0,src1,12.247448713915889,2.009322202045238e-06
xip,src0,src1,24.930391683376275,1.4420520777975222e-06
xip,src0,src1,50.747257163882935,8.891731246930917e-07
xip,src0,src1,103.2989831192456,4.449760622214296e-07
xip,src0,src1,210.27106704526625,1.6665893317351015e-07
xip,src0,src2,6.016752640915019,3.1594398359229787e-06
xip,src0,src2,12.247448713915889,2.48914582434981e-06
xip,src0,src2,24.930391683376275,1.7631786024848298e-06
xip,src0,src2,50.747257163882935,1.068260550707659e-06
xip,src0,src2,103.2989831192456,5.223417339155211e-07
xip,src0,src2,210.27106704526625,1.895218311409558e-07
xip,src0,src3,6.016752640915019,4.297329800979537e-06
xip,src0,src3,12.247448713915889,3.3410201577284674e-06
xip,src0,src3,24.930391683376275,2.3265678790894746e-06
xip,src0,src3,50.747257163882935,1.3787946737975555e-06
xip,src0,src3,103.2989831192456,6.55707910926058e-07
xip,src0,src3,210.27106704526625,2.2949251276168234e-07
xip,src0,src4,6.016752640915019,4.681302036788681e-06
xip,src0,src4,12.247448713915889,3.615292958127749e-06
xip,src0,src4,24.930391683376275,2.4972053027318326e-06
xip,src0,src4,50.747257163882935,1.4655418993452462e-06
xip,src0,src4,103.2989831192456,6.892629844015708e-07
xip,src0,src4,210.27106704526625,2.3815249648100497e-07
xip,src1,src1,6.016752640915019,4.141509023032243e-06
xip,src1,src1,12.247448713915889,3.1908180895482076e-06
xip,src1,src1,24.930391683376275,2.190214313466383e-06
xip,src1,src1,50.747257163882935,1.268685113811158e-06
xip,src1,src1,103.2989831192456,5.830248640443556e-07
xip,src1,src1,210.27106704526625,1.9431930994739575e-07
xip,src1,src2,6.016752640915019,5.4930804797003124e-06
xip,src1,src2,12.247448713915889,4.181277955172583e-06
xip,src1,src2,24.930391683376275,2.823158783555611e-06
xip,src1,src2,50.747257163882935,1.598010159044519e-06
xip,src1,src2,103.2989831192456,7.111615194670805e-07
xip,src1,src2,210.27106704526625,2.2606538348264596e-07
xip,src1,src3,6.016752640915019,8.082273156734414e-06
xip,src1,src3,12.247448713915889,6.061959590548777e-06
xip,src1,src3,24.930391683376275,4.0105157709607685e-06
xip,src1,src3,50.747257163882935,2.205523080713644e-06
xip,src1,src3,103.2989831192456,9.425105753922314e-07
xip,src1,src3,210.27106704526625,2.8202476096465643e-07
xip,src1,src4,6.016752640915019,8.995297516226098e-06
xip,src1,src4,12.247448713915889,6.707093196764668e-06
xip,src1,src4,24.930391683376275,4.4023906118537596e-06
xip,src1,src4,50.747257163882935,2.3948724004026566e-06
xip,src1,src4,103.2989831192456,1.0084793764731421e-06
xip,src1,src4,210.27106704526625,2.953976709279864e-07
xip,src2,src2,6.016752640915019,7.937866758249431e-06
xip,src2,src2,12.247448713915889,5.914872242240827e-06
