kind,bin1,bin2,theta_arcmin,value
xip,src0,src0,6.016752640915019,9.99201300495247e-07
xip,src0,src0,12.247448713915889,8.302884414536336e-07
xip,src0,src0,24.930391683376275,6.331257652882185e-07
xip,src0,src0,50.747257163882935,4.2545945783463804e-07
xip,src0,src0,103.2989831192456,2.400051125150741e-07
xip,src0,src0,210.27106704526625,1.0621244969443037e-07
xip,src0,src1,6.016752640915019,1.7620139189154388e-06
xip,src0,src1,12.247448713915889,1.4362067375280133e-06
xip,src0,src1,24.930391683376275,1.065698006591711e-06
xip,src0,src1,50.747257163882935,6.88678182366847e-07
xip,src0,src1,103.2989831192456,3.6769976320286395e-07
xip,src0,src1,210.27106704526625,1.5068734951971326e-07
xip,src0,src2,6.016752640915019,2.331157515568852e-06
xip,src0,src2,12.247448713915889,1.8688953013385705e-06
xip,src0,src2,24.930391683376275,1.356773338643095e-06
xip,src0,src2,50.747257163882935,8.518498481536911e-07
xip,src0,src2,103.2989831192456,4.385410136198851e-07
xip,src0,src2,210.27106704526625,1.7177305974724364e-07
xip,src0,src3,6.016752640915019,3.06390074369394e-06
xip,src0,src3,12.247448713915889,2.421476953826552e-06
xip,src0,src3,24.930391683376275,1.7256146360067273e-06
xip,src0,src3,50.747257163882935,1.0576667600971161e-06
xip,src0,src3,103.2989831192456,5.28491498788606e-07
xip,src0,src3,210.27106704526625,1.9954282466526836e-07
xip,src0,src4,6.016752640915019,3.3959433760034654e-06
xip,src0,src4,12.247448713915889,2.6624913645076696e-06
xip,src0,src4,24.930391683376275,1.8789479449192527e-06
xip,src0,src4,50.747257163882935,1.138251866872323e-06
xip,src0,src4,103.2989831192456,5.613380303037235e-07
xip,src0,src4,210.27106704526625,2.0889061991765917e-07
xip,src1,src1,6.016752640915019,3.557481287065414e-06
xip,src1,src1,12.247448713915889,2.8379847050182536e-06
xip,src1,src1,24.930391683376275,2.04169397842253e-06
xip,src1,src1,50.747257163882935,1.2605878098226026e-06
xip,src1,src1,103.2989831192456,6.296146979518031e-07
xip,src1,src1,210.27106704526625,2.3368118356765423e-07
xip,src1,src2,6.016752640915019,5.099445044089376e-06
xip,src1,src2,12.247448713915889,3.997638430813096e-06
xip,src1,src2,24.930391683376275,2.807971059067475e-06
xip,src1,src2,50.747257163882935,1.6769195399296962e-06
xip,src1,src2,103.2989831192456,8.003996842919207e-07
xip,src1,src2,210.27106704526625,2.789750134903725e-07
xip,src1,src3,6.016752640915019,6.93833750147916e-06
xip,src1,src3,12.247448713915889,5.375932060921757e-06
xip,src1,src3,24.930391683376275,3.716095932013015e-06
xip,src1,src3,50.747257163882935,2.170068399528299e-06
xip,src1,src3,103.2989831192456,1.0041767055191788e-06
xip,src1,src3,210.27106704526625,3.347233510306888e-07
xip,src1,src4,6.016752640915019,7.683841418029938e-06
xip,src1,src4,12.247448713915889,5.92528071152605e-06
xip,src1,src4,24.930391683376275,4.0702146982484375e-06
xip,src1,src4,50.747257163882935,2.3569320615062784e-06
xip,src1,src4,103.2989831192456,1.078579358866325e-06
xip,src1,src4,210.27106704526625,3.5400051779837317e-07
xip,src2,src2,6.016752640915019,8.437010870526847e-06
xip,src2,src2,12.247448713915889,6.440596405789138e-06
xip,src2,src2,24.930391683376275,4.361494054802061e-06
xip,src2,src2,50.747257163882935,2.474371509958264e-06
xip,src2,src2,103.2989831192456,1.100455558380774e-06
xip,src2,src2,210.27106704526625,3.469667979047187e-07
xip,src2,src3,6.016752640915019,1.2801698366671553e-05
xip,src2,src3,12.247448713915889,9.596405172546673e-06
xip,src2,src3,24.930391683376275,6.337459466041675e-06
xip,src2,src3,50.747257163882935,3.469421091807158e-06
xip,src2,src3,103.2989831192456,1.4673247752137508e-06
xip,src2,src3,210.27106704526625,4.2887513740381724e-07
xip,src2,src4,6.016752640915019,1.4820535336227464e-05
xip,src2,src4,12.247448713915889,1.1025507434728851e-05
xip,src2,src4,24.930391683376275,7.206948822707165e-06
xip,src2,src4,50.747257163882935,3.889816722276172e-06
xip,src2,src4,103.2989831192456,1.613408837994832e-06
xip,src2,src4,210.27106704526625,4.5808368433263387e-07
xip,src3,src3,6.016752640915019,2.1639435634814135e-05
xip,src3,src3,12.247448713915889,1.5817544367646976e-05
xip,src3,src3,24.930391683376275,1.0088254921586926e-05
xip,src3,src3,50.747257163882935,5.254700226361137e-06
xip,src3,src3,103.2989831192456,2.070261685578247e-06
xip,src3,src3,210.27106704526625,5.413224595026276e-07
xip,src3,src4,6.016752640915019,2.6581275555862354e-05
xip,src3,src4,12.247448713915889,1.91951979630938e-05
xip,src3,src4,24.930391683376275,1.2042756326817194e-05
xip,src3,src4,50.747257163882935,6.130156376262113e-06
xip,src3,src4,103.2989831192456,2.3390818937972635e-06
xip,src3,src4,210.27106704526625,5.815115214529359e-07
xip,src4,src4,6.016752640915019,3.4519243857829864e-05
xip,src4,src4,12.247448713915889,2.4486566084837943e-05
xip,src4,src4,24.930391683376275,1.4999744935127054e-05
xip,src4,src4,50.747257163882935,7.3874563409512e-06
xip,src4,src4,103.2989831192456,2.6939490606775885e-06
xip,src4,src4,210.27106704526625,6.235558746763807e-07
xim,src0,src0,50.747257163882935,6.812954672596192e-08
xim,src0,src0,103.2989831192456,7.353244776999562e-08
xim,src0,src0,210.27106704526625,6.724317194770033e-08
xim,src0,src1,50.747257163882935,1.2882418781195007e-07
xim,src0,src1,103.2989831192456,1.3435432707817244e-07
xim,src0,src1,210.27106704526625,1.1720451342768221e-07
xim,src0,src2,50.747257163882935,1.789998515865981e-07
xim,src0,src2,103.2989831192456,1.8085582988941782e-07
xim,src0,src2,210.27106704526625,1.5178763542311795e-07
xim,src0,src3,50.747257163882935,2.4426216324969796e-07
xim,src0,src3,103.2989831192456,2.402618118511259e-07
xim,src0,src3,210.27106704526625,1.9531518341527453e-07
xim,src0,src4,50.747257163882935,2.7569414032989703e-07
xim,src0,src4,103.2989831192456,2.67051112915769e-07
xim,src0,src4,210.27106704526625,2.135338250082697e-07
xim,src1,src1,50.747257163882935,2.785956576750749e-07
xim,src1,src1,103.2989831192456,2.801992996799035e-07
xim,src1,src1,210.27106704526625,2.3220019831916305e-07
xim,src1,src2,50.747257163882935,4.182852077911403e-07
xim,src1,src2,103.2989831192456,4.077866997794188e-07
xim,src1,src2,210.27106704526625,3.2457236277947047e-07
xim,src1,src3,50.747257163882935,5.854210162138151e-07
xim,src1,src3,103.2989831192456,5.592276903389549e-07
xim,src1,src3,210.27106704526625,4.335675520950443e-07
xim,src1,src4,50.747257163882935,6.551074431397499e-07
xim,src1,src4,103.2989831192456,6.205446957397601e-07
xim,src1,src4,210.27106704526625,4.7621942645653614e-07
xim,src2,src2,50.747257163882935,7.360845655299203e-07
xim,src2,src2,103.2989831192456,6.853858648945234e-07
xim,src2,src2,210.27106704526625,5.137773709287819e-07
xim,src2,src3,50.747257163882935,1.1588667278734396e-06
xim,src2,src3,103.2989831192456,1.046714398717278e-06
xim,src2,src3,210.27106704526625,7.540067086806211e-07
xim,src2,src4,50.747257163882935,1.3603099417231778e-06
xim,src2,src4,103.2989831192456,1.2130693485342036e-06
xim,src2,src4,210.27106704526625,8.599443194156616e-07
xim,src3,src3,50.747257163882935,2.0490223008222185e-06
xim,src3,src3,103.2989831192456,1.7757773050046074e-06
xim,src3,src3,210.27106704526625,1.2118817335329344e-06
xim,src3,src4,50.747257163882935,2.564860814651423e-06
xim,src3,src4,103.2989831192456,2.179189662070146e-06
xim,src3,src4,210.27106704526625,1.4504761166808037e-06
xim,src4,src4,50.747257163882935,3.4150568919839555e-06
xim,src4,src4,103.2989831192456,2.819068026863669e-06
xim,src4,src4,210.27106704526625,1.8107280896382864e-06
