residual_hysteresis_bits,task_relevance,task_loss,regime
0.0,0.12,0.0,"benign, low task relevance"
0.12121212121212122,0.12,0.014545454545454545,"benign, low task relevance"
0.24242424242424243,0.12,0.02909090909090909,"benign, low task relevance"
0.36363636363636365,0.12,0.04363636363636363,"benign, low task relevance"
0.48484848484848486,0.12,0.05818181818181818,"benign, low task relevance"
0.6060606060606061,0.12,0.07272727272727272,"benign, low task relevance"
0.7272727272727273,0.12,0.08727272727272727,"benign, low task relevance"
0.8484848484848485,0.12,0.10181818181818182,"benign, low task relevance"
0.9696969696969697,0.12,0.11636363636363636,"benign, low task relevance"
1.0909090909090908,0.12,0.1309090909090909,"benign, low task relevance"
1.2121212121212122,0.12,0.14545454545454545,"benign, low task relevance"
1.3333333333333335,0.12,0.16,"benign, low task relevance"
1.4545454545454546,0.12,0.17454545454545453,"benign, low task relevance"
1.5757575757575757,0.12,0.1890909090909091,"benign, low task relevance"
1.696969696969697,0.12,0.20363636363636364,"benign, low task relevance"
1.8181818181818183,0.12,0.2181818181818182,"benign, low task relevance"
1.9393939393939394,0.12,0.23272727272727273,"benign, low task relevance"
2.0606060606060606,0.12,0.24727272727272726,"benign, low task relevance"
2.1818181818181817,0.12,0.2618181818181818,"benign, low task relevance"
2.303030303030303,0.12,0.27636363636363637,"benign, low task relevance"
2.4242424242424243,0.12,0.2909090909090909,"benign, low task relevance"
2.5454545454545454,0.12,0.3054545454545454,"benign, low task relevance"
2.666666666666667,0.12,0.32,"benign, low task relevance"
2.787878787878788,0.12,0.33454545454545453,"benign, low task relevance"
2.909090909090909,0.12,0.34909090909090906,"benign, low task relevance"
3.0303030303030303,0.12,0.36363636363636365,"benign, low task relevance"
3.1515151515151514,0.12,0.3781818181818182,"benign, low task relevance"
3.272727272727273,0.12,0.39272727272727276,"benign, low task relevance"
3.393939393939394,0.12,0.4072727272727273,"benign, low task relevance"
3.515151515151515,0.12,0.4218181818181818,"benign, low task relevance"
3.6363636363636367,0.12,0.4363636363636364,"benign, low task relevance"
3.757575757575758,0.12,0.4509090909090909,"benign, low task relevance"
3.878787878787879,0.12,0.46545454545454545,"benign, low task relevance"
4.0,0.12,0.48,"benign, low task relevance"
4.121212121212121,0.12,0.4945454545454545,"benign, low task relevance"
4.242424242424242,0.12,0.509090909090909,"benign, low task relevance"
4.363636363636363,0.12,0.5236363636363636,"benign, low task relevance"
4.484848484848485,0.12,0.5381818181818182,"benign, low task relevance"
4.606060606060606,0.12,0.5527272727272727,"benign, low task relevance"
4.7272727272727275,0.12,0.5672727272727273,"benign, low task relevance"
4.848484848484849,0.12,0.5818181818181818,"benign, low task relevance"
4.96969696969697,0.12,0.5963636363636363,"benign, low task relevance"
5.090909090909091,0.12,0.6109090909090908,"benign, low task relevance"
5.212121212121212,0.12,0.6254545454545454,"benign, low task relevance"
5.333333333333334,0.12,0.64,"benign, low task relevance"
5.454545454545455,0.12,0.6545454545454545,"benign, low task relevance"
5.575757575757576,0.12,0.6690909090909091,"benign, low task relevance"
5.696969696969697,0.12,0.6836363636363636,"benign, low task relevance"
5.818181818181818,0.12,0.6981818181818181,"benign, low task relevance"
5.9393939393939394,0.12,0.7127272727272727,"benign, low task relevance"
6.0606060606060606,0.12,0.7272727272727273,"benign, low task relevance"
6.181818181818182,0.12,0.7418181818181818,"benign, low task relevance"
6.303030303030303,0.12,0.7563636363636363,"benign, low task relevance"
6.424242424242425,0.12,0.770909090909091,"benign, low task relevance"
6.545454545454546,0.12,0.7854545454545455,"benign, low task relevance"
6.666666666666667,0.12,0.8,"benign, low task relevance"
6.787878787878788,0.12,0.8145454545454546,"benign, low task relevance"
6.909090909090909,0.12,0.8290909090909091,"benign, low task relevance"
7.03030303030303,0.12,0.8436363636363636,"benign, low task relevance"
7.151515151515151,0.12,0.8581818181818182,"benign, low task relevance"
7.272727272727273,0.12,0.8727272727272728,"benign, low task relevance"
7.3939393939393945,0.12,0.8872727272727273,"benign, low task relevance"
7.515151515151516,0.12,0.9018181818181819,"benign, low task relevance"
