perturbation_strength,unprotected_residual_hysteresis,protected_residual_hysteresis,topological_protection_marker
0.0,0.0,0.0,1
0.008403361344537815,0.19915970792574544,0.0012605042016806721,1
0.01680672268907563,0.39336134219385777,0.0025210084033613443,1
0.025210084033613446,0.5827283338670268,0.003781512605042017,1
0.03361344537815126,0.7673810411961455,0.0050420168067226885,1
0.04201680672268907,0.9474368261178441,0.006302521008403361,1
0.05042016806722689,1.123010128847624,0.007563025210084034,1
0.058823529411764705,1.2942125406160008,0.008823529411764706,1
0.06722689075630252,1.461152874593881,0.010084033613445377,1
0.07563025210084033,1.6239372350522538,0.01134453781512605,1
0.08403361344537814,1.7826690848001556,0.012605042016806721,1
0.09243697478991596,1.9374493109437694,0.013865546218487393,1
0.10084033613445378,2.088376289008453,0.015126050420168067,1
0.1092436974789916,2.235545945464451,0.01638655462184874,1
0.11764705882352941,2.379051818696036,0.01764705882352941,1
0.12605042016806722,2.518985118452817,0.018907563025210083,1
0.13445378151260504,2.6554347838210175,0.020168067226890754,1
0.14285714285714285,2.7884875397515554,0.021428571428571425,1
0.15126050420168066,2.918227952180863,0.0226890756302521,1
0.15966386554621848,3.044738481779473,0.02394957983193277,1
0.1680672268907563,3.1680995363625337,0.025210084033613443,1
0.1764705882352941,3.2883895219955717,0.026470588235294114,1
0.18487394957983191,3.4056848928279777,0.027731092436974785,1
0.19327731092436973,3.5200601996858802,0.028991596638655456,1
0.20168067226890757,3.6315881374553163,0.030252100840336135,1
0.21008403361344538,3.740339591285786,0.031512605042016806,1
0.2184873949579832,3.8463836816435837,0.03277310924369748,1
0.226890756302521,3.949787808243518,0.03403361344537815,1
0.23529411764705882,4.0506176928869575,0.03529411764705882,1
0.24369747899159663,4.148937421233425,0.03655462184873949,1
0.25210084033613445,4.24480948353229,0.037815126050420166,1
0.26050420168067223,4.338294814340444,0.03907563025210083,1
0.2689075630252101,4.429452831251213,0.04033613445378151,1
0.2773109243697479,4.518341472659101,0.04159663865546218,1
0.2857142857142857,4.6050172345844,0.04285714285714285,1
0.29411764705882354,4.68953520658104,0.04411764705882353,1
0.3025210084033613,4.771949106750512,0.0453781512605042,1
0.31092436974789917,4.852311315884139,0.046638655462184875,1
0.31932773109243695,4.93067291075535,0.04789915966386554,1
0.3277310924369748,5.007083696583168,0.04915966386554622,1
0.3361344537815126,5.081592238687504,0.050420168067226885,1
0.3445378151260504,5.154245893356407,0.05168067226890756,1
0.3529411764705882,5.225090837944861,0.05294117647058823,1
0.36134453781512604,5.294172100224284,0.0542016806722689,1
0.36974789915966383,5.361533587001366,0.05546218487394957,1
0.37815126050420167,5.427218112024454,0.056722689075630245,1
0.38655462184873945,5.491267423195186,0.05798319327731091,1
0.3949579831932773,5.553722229102718,0.059243697478991594,1
0.40336134453781514,5.614622224897361,0.06050420168067227,1
0.4117647058823529,5.674006117520111,0.06176470588235294,1
0.42016806722689076,5.731911650304082,0.06302521008403361,1
0.42857142857142855,5.788375626963484,0.06428571428571428,1
0.4369747899159664,5.843433934985411,0.06554621848739496,1
0.4453781512605042,5.897121568439271,0.06680672268907563,1
0.453781512605042,5.949472650218395,0.0680672268907563,1
0.4621848739495798,6.000520453727926,0.06932773109243696,1
0.47058823529411764,6.050297424032808,0.07058823529411765,1
0.4789915966386554,6.09883519847927,0.07184873949579831,1
0.48739495798319327,6.1461646268029675,0.07310924369747898,1
0.49579831932773105,6.192315790736509,0.07436974789915965,1
0.5042016806722689,6.237318023128871,0.07563025210084033,1
0.5126050420168067,6.281199926588825,0.076890756302521,1
0.5210084033613445,6.32398939166424,0.07815126050420167,1
0.5294117647058824,6.365713614568816,0.07941176470588235,1
0.5378151260504201,6.4063991144675025,0.08067226890756302,1
0.5462184873949579,6.44607175033161,0.08193277310924368,1
0.5546218487394958,6.4847567373743,0.08319327731092437,1
0.5630252100840336,6.522478663076924,0.08445378151260503,1
0.5714285714285714,6.559261502816381,0.0857142857142857,1
0.5798319327731092,6.595128635103439,0.08697478991596637,1
0.5882352941176471,6.630102856441694,0.08823529411764706,1
0.5966386554621849,6.664206395816618,0.08949579831932773,1
0.6050420168067226,6.697460928823897,0.0907563025210084,1
0.6134453781512604,6.729887591446061,0.09201680672268907,1
0.6218487394957983,6.761506993486119,0.10286239599418234,0
0.6302521008403361,6.7923392316667925,0.5540010398564785,0
0.6386554621848739,6.82240390240362,0.9793675513093474,0
0.6470588235294117,6.851720114260094,1.380434211253494,0
0.6554621848739496,6.880306500092715,1.7585891938104101,0
0.6638655462184874,6.908181228893701,2.1151413710782307,0
0.6722689075630252,6.935362017338873,2.4513248434070416,0
0.680672268907563,6.961866141048054,2.7683032108737597,0
0.6890756302521008,6.987710445565141,3.0671736007410866,0
0.6974789915966386,7.012911357064832,3.3489704648404244,0
0.7058823529411764,7.037484892792806,3.6146691600222125,0
0.7142857142857143,7.061446671245994,3.8651893240664066,0
0.7226890756302521,7.084811922099417,4.101398058737791,0
0.7310924369747899,7.107595495885892,4.324112931003382,0
0.7394957983193277,7.1298118734347655,4.534104802799677,0
0.7478991596638656,7.151475175075664,4.732100499144222,0
0.7563025210084033,7.172599169613123,4.918785323826334,0
0.7647058823529411,7.193197283077794,5.094805431384356,0
0.7731092436974789,7.213282607259784,5.26077006357926,0
0.7815126050420168,7.232867908029565,5.417253658105588,0
0.7899159663865546,7.251965633451728,5.564797836838338,0
0.7983193277310924,7.270587921696749,5.703913280497572,0
0.8067226890756303,7.2887466087557975,5.8350814962193205,0
0.8151260504201681,7.306453235963471,5.958756484150718,0
0.8235294117647058,7.323719057333267,6.0753663088378085,0
0.8319327731092436,7.340555046710423,6.185314580844892,0
0.8403361344537815,7.356971904746706,6.288981853733623,0
0.8487394957983193,7.372980065701542,6.386726941237081,0
0.8571428571428571,7.388589704073855,6.478888159187836,0
0.8655462184873949,7.403810741068786,6.565784496498558,0
0.8739495798319328,7.418652850903436,6.647716719248194,0
0.8823529411764706,7.433125466955628,6.72496841169516,0
0.8907563025210083,7.447237787759586,6.7978069578207405,0
0.8991596638655461,7.46099878285236,6.866484466799985,0
0.907563025210084,7.474417198474703,6.931238645603368,0
0.9159663865546218,7.487501563130024,6.992293621749453,0
0.9243697478991596,7.500260193004953,7.049860719056296,0
0.9327731092436974,7.5127011972549536,7.1041391890766,0
0.9411764705882353,7.524832483158361,7.155316900748277,0
0.9495798319327731,7.53666176114211,7.203570990647448,0
0.9579831932773109,7.548196549682331,7.249068476094536,0
0.9663865546218487,7.559444180082969,7.291966833235523,0
0.9747899159663865,7.570411801135427,7.332414542099254,0
0.9831932773109243,7.581106383662204,7.370551600517327,0
0.9915966386554621,7.5915347249474285,7.406510008685354,0
1.0,7.601703453057088,7.4404142260427575,0
