x,theta_stable,theta_drift,dimensionless_ratio,extra_bits_drift,extra_bits_stable
0.0,2.0,2.0,1.0,0.0596895679887548,0.0
0.055865921787709494,2.0,2.059689567988755,1.0,0.1191189424465513,0.0
0.11173184357541899,2.0,2.118858748915593,1.0,0.17777128217933114,0.0
0.16759776536312848,2.0,2.1769942474543145,1.0,0.2351403308594353,0.0
0.22346368715083798,2.0,2.2335968462758014,1.0,0.2907372986067358,0.0
0.27932960893854747,2.0,2.2881881829489155,1.0,0.3440974838424835,0.0
0.33519553072625696,2.0,2.3403172167472968,1.0,0.39478653701685484,0.0
0.39106145251396646,2.0,2.389566289297658,1.0,0.4424062732035483,0.0
0.44692737430167595,2.0,2.4355566891206837,1.0,0.4865999473473266,0.0
0.5027932960893855,2.0,2.4779536375852147,1.0,0.5270569140406773,0.0
0.5586592178770949,2.0,2.516470622507385,1.0,0.5635166029717418,0.0
0.6145251396648044,2.0,2.5508730154473436,1.0,0.5957717514875975,0.0
0.6703910614525139,2.0,2.5809809195390967,1.0,0.623670846899492,0.0
0.7262569832402235,2.0,2.6066712062711326,1.0,0.6471197430510476,0.0
0.7821229050279329,2.0,2.627878711842208,1.0,0.6660824280974194,0.0
0.8379888268156424,2.0,2.644596576363876,1.0,0.6805809332154504,0.0
0.8938547486033519,2.0,2.65687572207827,1.0,0.6906943848894216,0.0
0.9497206703910615,2.0,2.6648234797118184,1.0,0.6965572162991165,0.0
1.005586592178771,2.0,2.6686013848976597,1.0,0.6983565659823461,0.0
1.0614525139664803,2.0,2.6684221790782776,1.0,0.7003842278025916,0.0
1.1173184357541899,2.0,2.6645460612571688,1.0,0.7059571932298021,0.0
1.1731843575418994,2.0,2.6572762482238566,1.0,0.7147532682281177,0.0
1.2290502793296088,2.0,2.6469539112605376,1.0,0.7264151089927562,0.0
1.2849162011173183,2.0,2.6339525666945796,1.0,0.7405560616990814,0.0
1.3407821229050279,2.0,2.618672005847887,1.0,0.7567664166321517,0.0
1.3966480446927374,2.0,2.601531856828439,1.0,0.7746199815025188,0.0
1.452513966480447,2.0,2.582964876107153,1.0,0.7936808739958101,0.0
1.5083798882681563,2.0,2.563410071841856,1.0,0.8135104303549161,0.0
1.5642458100558658,2.0,2.543305763388941,1.0,0.8336741251032818,0.0
1.6201117318435754,2.0,2.523082682345125,1.0,0.8537483969112734,0.0
1.6759776536312847,2.0,2.503157219772958,1.0,0.8733272770863401,0.0
1.7318435754189943,2.0,2.4839249219949915,1.0,0.8920287202092685,0.0
1.7877094972067038,2.0,2.465754333527101,1.0,0.9095005409972248,0.0
1.8435754189944134,2.0,2.448981280419079,1.0,0.9254258674806028,0.0
1.899441340782123,2.0,2.433903680560345,1.0,0.9395280279442026,0.0
1.9553072625698322,2.0,2.4207769594918793,1.0,0.9515747976927007,0.0
2.011173184357542,2.0,2.409810141063349,1.0,0.9613819414257649,0.0
2.067039106145251,2.0,2.401162672025751,1.0,0.968815997702617,0.0
2.1229050279329607,2.0,2.3949420285096448,1.0,0.9737962634778934,0.0
2.17877094972067,2.0,2.391202140475198,1.0,0.9762959488266447,0.0
2.2346368715083798,2.0,2.389942657812142,1.0,0.9763424845629918,0.0
2.2905027932960893,2.0,2.391109069002504,1.0,0.978667990821652,0.0
2.346368715083799,2.0,2.3945936703294626,1.0,0.9832321416789085,0.0
2.4022346368715084,2.0,2.400237370717017,1.0,0.9898514588202367,0.0
2.4581005586592175,2.0,2.407832304612119,1.0,0.9982953799941323,0.0
2.513966480446927,2.0,2.417125213064808,1.0,1.0082899984419418,0.0
2.5698324022346366,2.0,2.427821541507738,1.0,1.0195224878396725,0.0
2.625698324022346,2.0,2.4395901918602694,1.0,1.031646145409903,0.0
2.6815642458100557,2.0,2.452068856648199,1.0,1.0442859764738899,0.0
2.7374301675977653,2.0,2.464869853988243,1.0,1.0570447354848145,0.0
2.793296089385475,2.0,2.4775863746700484,1.0,1.0695093316371427,0.0
2.8491620111731844,2.0,2.4897990462928994,1.0,1.0812575015891448,0.0
2.905027932960894,2.0,2.5010827145740526,1.0,1.0918646477497433,0.0
2.960893854748603,2.0,2.5110133386140965,1.0,1.1009107380287648,0.0
3.0167597765363126,2.0,2.5191748951320956,1.0,1.1079871619699757,0.0
3.072625698324022,2.0,2.5251661864965183,1.0,1.1127034387938697,0.0
