form_stability_strength,L_raw,L_law,L_data,compression_ratio,prediction_error,ood_stability,latent_constraint_preservation,compression_to_error_ratio
0.02,14000,1168.7257519999998,320,9.404015468390986,0.5052,0.3007856927824093,0.18366000000000005,0.846903410337805
0.02657718120805369,14000,1142.996901511538,320,9.569398257464176,0.4987759920724291,0.30757983948711776,0.1945808134768705,0.8718856505844718
0.033154362416107384,14000,1117.7517842193013,320,9.73742488353231,0.49239524345750196,0.3143533595656347,0.20542808612224672,0.897631846977587
0.03973154362416108,14000,1092.9841067122668,320,9.908108614593845,0.48605775415521824,0.3211061759603291,0.21620181793612903,0.9241642843324026
0.046308724832214765,14000,1068.687618246606,320,10.081460953527312,0.4797635241655782,0.3278382107967309,0.22690200891851708,0.9515057656533125
0.05288590604026845,14000,1044.8561107456826,320,10.257491533192585,0.4735125534885816,0.3345493853691892,0.23752865906941134,0.9796796146375801
0.05946308724832215,14000,1021.4834188000543,320,10.436208009580083,0.4673048421242286,0.3412396201261737,0.24808176838881135,1.0087096775206554
0.06604026845637584,14000,998.5634196674722,320,10.6176159532248,0.4611403900725192,0.3479088346552157,0.25856133687671734,1.0386203242242704
0.07261744966442953,14000,976.0900332728811,320,10.80171873912745,0.4550191973334535,0.3545569476674707,0.2689673645331292,1.0694364487688282
0.07919463087248323,14000,954.0572222084179,320,10.988517435451417,0.4489412639070312,0.36118387698189425,0.279299851358047,1.1011834689121776
0.08577181208053691,14000,932.4589917334145,320,11.178010691291277,0.44290658979325265,0.36778953950901583,0.2895587973514706,1.1338873249777246
0.0923489932885906,14000,911.2893897743944,320,11.370194623836708,0.4369151749921175,0.3743738512343009,0.2997442025134003,1.1675744778359778
0.0989261744966443,14000,890.542506925076,320,11.56506270528384,0.430967019503626,0.3809367272010836,0.30985606684383593,1.202271906005049
0.10550335570469799,14000,870.2124764463705,320,11.762605649875173,0.425062123327778,0.3874780814930592,0.31989439034277745,1.238007101837431
0.11208053691275167,14000,850.2934742663829,320,11.962811301478139,0.4192004864645737,0.3939978272163195,0.3298591730102248,1.2748080667624557
0.11865771812080537,14000,830.7797189804103,320,12.16566452214155,0.4133821089140129,0.400495876480918,0.3397504148461782,1.312703305556307
0.12523489932885906,14000,811.6654718509449,320,12.371147082098112,0.40760699067609574,0.4069721403819453,0.3495681158506373,1.351721819614277
0.13181208053691273,14000,792.9450368076704,320,12.579237551709715,0.40187513175082207,0.413426528980102,0.3593122760236025,1.391893099203155
