time,q1_exp,q2_exp
0.0,1.0,0.35
0.10810810810810811,0.9924609943783127,0.34437009557017073
0.21621621621621623,0.9849788253623892,0.3388307506371672
0.32432432432432434,0.9775530644607392,0.3333805085115256
0.43243243243243246,0.9701832864122719,0.3280179359352749
0.5405405405405406,0.9628690691619428,0.32274162270503076
0.6486486486486487,0.9556099938365821,0.3175501813011527
0.7567567567567568,0.9484056447209075,0.31244224652286573
0.8648648648648649,0.9412556092337165,0.3074164751292518
0.972972972972973,0.9341594779042588,0.30247154548601557
1.0810810810810811,0.9271168443487862,0.29760615721793265
1.1891891891891893,0.9201273052472796,0.2928190308668878
1.2972972972972974,0.9131904603203523,0.28810890755541413
1.4054054054054055,0.9063059123063261,0.28347454865564414
1.5135135135135136,0.8994732669384802,0.27891473546358625
1.6216216216216217,0.8926921329224735,0.27442826887864025
1.7297297297297298,0.885962121913935,0.2700139690882682
1.837837837837838,0.8792828484962237,0.2656706752577373
1.945945945945946,0.8726539301583575,0.2613972452248537
2.0540540540540544,0.8660749872731061,0.2571925551996064
2.1621621621621623,0.8595456430752514,0.2530554994686425
2.27027027027027,0.8530655236400102,0.24898499010449632
2.3783783783783785,0.8466342578616205,0.24497995667949543
2.486486486486487,0.8402514774320886,0.24103934598426896
2.5945945945945947,0.8339168168200971,0.2371621217507833
2.7027027027027026,0.8276299132500707,0.23334726437983352
2.810810810810811,0.821390406681402,0.2295937706729176
2.9189189189189193,0.8151979397878307,0.22590065356842431
3.027027027027027,0.8090521579369824,0.22226694188206378
3.135135135135135,0.8029527091700572,0.21869168005147396
3.2432432432432434,0.7968992441816751,0.2151739278849351
3.3513513513513518,0.790891416299871,0.2117127603141261
3.4594594594594597,0.7849288814662421,0.20830726715085787
3.5675675675675675,0.7790112982162434,0.20495655284772007
3.675675675675676,0.7731383276596332,0.20165973626257747
3.783783783783784,0.7673096334610652,0.19841595042685495
3.891891891891892,0.7615248818208274,0.19522434231754945
4.0,0.7557837414557255,0.19208407263290922
4.108108108108109,0.7500858835801109,0.1889943155717216
4.216216216216217,0.7444309818870521,0.1859542586161508
4.324324324324325,0.7388187125296474,0.1829631023180689
4.4324324324324325,0.7332487541024786,0.18002006008882376
4.54054054054054,0.7277207876232048,0.17712435799238896
4.648648648648649,0.7222344965142947,0.1742752345418403
4.756756756756757,0.7167895665848969,0.17147194049910705
4.864864864864865,0.7113856860128466,0.16871373867794323
4.972972972972974,0.7060225453268077,0.16599990375006893
5.081081081081082,0.700699837388551,0.16332972205442967
5.1891891891891895,0.6954172573753633,0.16070249140952392
5.297297297297297,0.6901745027625921,0.15811752092874945
5.405405405405405,0.6849712733063197,0.15557413083871977
5.513513513513514,0.679807271026169,0.15307165230050335
5.621621621621622,0.6746822001882388,0.15060942723373796
5.72972972972973,0.6695957672881673,0.14818680814357438
5.837837837837839,0.6645476810343237,0.1458031579504036
5.9459459459459465,0.6595376523311267,0.14345784982232337
6.054054054054054,0.6545653942624879,0.14115026701029917
6.162162162162162,0.649630622075381,0.13887980268597672
6.27027027027027,0.6447330531635346,0.13664585978210358
6.378378378378379,0.6398724070512469,0.1344478508355176
6.486486486486487,0.635048405377325,0.13228519783266077
6.594594594594595,0.6302607718791418,0.1301573320575781
6.7027027027027035,0.625509232376816,0.12806369394236172
6.810810810810811,0.6207935147575098,0.1260037329200006
6.918918918918919,0.6161133489598459,0.12397690727959682
7.027027027027027,0.611468466958441,0.12198268402391131
7.135135135135135,0.6068586027485569,0.12002053872920079
7.243243243243244,0.6022834923308662,0.1180899554073093
7.351351351351352,0.5977428736963343,0.11619042636997802
7.45945945945946,0.5932364868112141,0.11432145209533778
