availability_coordinate,promotion_strength_eta,mismatch_over_H,epsilon_over_H
0.0,0.0,1.0,0.1
0.002004008016032064,0.008381511293162891,0.9916184887068371,0.1
0.004008016032064128,0.016692772854768223,0.9833072271452318,0.1
0.0060120240480961915,0.024934373483734618,0.9750656265162654,0.1
0.008016032064128256,0.03310689704395564,0.9668931029560444,0.1
0.01002004008016032,0.04121092250566305,0.958789077494337,0.1
0.012024048096192383,0.049247023986442984,0.950752976013557,0.1
0.014028056112224447,0.05721577079190876,0.9427842292080912,0.1
0.01603206412825651,0.06511772745603217,0.9348822725439678,0.1
0.018036072144288574,0.07295345378113727,0.9270465462188627,0.1
0.02004008016032064,0.0807235048775582,0.9192764951224418,0.1
0.022044088176352703,0.08842843120296617,0.9115715687970338,0.1
0.024048096192384766,0.09606877860136465,0.9039312213986354,0.1
0.026052104208416832,0.10364508834175978,0.8963549116582402,0.1
0.028056112224448895,0.11115789715650537,0.8888421028434946,0.1
0.03006012024048096,0.11860773727932672,0.8813922627206733,0.1
0.03206412825651302,0.1259951364830263,0.8740048635169737,0.1
0.03406813627254509,0.13332061811687312,0.8666793818831269,0.1
0.03607214428857715,0.14058470114367794,0.8594152988563221,0.1
0.038076152304609215,0.14778790017655907,0.8522120998234409,0.1
0.04008016032064128,0.15493072551539933,0.8450692744846007,0.1
0.04208416833667334,0.16201368318299691,0.8379863168170031,0.1
0.044088176352705406,0.16903727496091459,0.8309627250390854,0.1
0.04609218436873747,0.17600199842502706,0.8239980015749729,0.1
0.04809619238476953,0.1829083469807713,0.8170916530192287,0.1
0.0501002004008016,0.18975680989810106,0.8102431901018989,0.1
0.052104208416833664,0.19654787234614834,0.8034521276538517,0.1
0.05410821643286573,0.20328201542759483,0.7967179845724052,0.1
0.05611222444889779,0.20995971621275444,0.7900402837872456,0.1
0.058116232464929855,0.21658144777337085,0.7834185522266292,0.1
0.06012024048096192,0.22314767921613154,0.7768523207838685,0.1
0.06212424849699398,0.22965887571590138,0.7703411242840986,0.1
0.06412825651302605,0.2361154985486763,0.7638845014513237,0.1
0.06613226452905811,0.24251800512426258,0.7574819948757374,0.1
0.06813627254509018,0.24886684901868106,0.7511331509813189,0.1
0.07014028056112225,0.25516248000630004,0.7448375199937,0.1
0.0721442885771543,0.2614053440916986,0.7385946559083014,0.1
0.07414829659318636,0.26759588354126373,0.7324041164587363,0.1
0.07615230460921843,0.27373453691452165,0.7262654630854783,0.1
0.0781563126252505,0.2798217390952067,0.7201782609047933,0.1
0.08016032064128256,0.28585792132207066,0.7141420786779293,0.1
0.08216432865731463,0.2918435112194325,0.7081564887805675,0.1
0.08416833667334668,0.29777893282747336,0.7022210671725266,0.1
0.08617234468937875,0.3036646066322767,0.6963353933677233,0.1
0.08817635270541081,0.30950094959561725,0.6904990504043828,0.1
0.09018036072144288,0.3152883751844998,0.6847116248155002,0.1
0.09218436873747494,0.3210272934004509,0.6789727065995491,0.1
0.09418837675350701,0.3267181108085643,0.6732818891914357,0.1
0.09619238476953906,0.3323612305663043,0.6676387694336957,0.1
0.09819639278557113,0.3379570524520662,0.6620429475479338,0.1
0.1002004008016032,0.34350597289349805,0.656494027106502,0.1
0.10220440881763526,0.3490083849955852,0.6509916150044148,0.1
0.10420841683366733,0.35446467856849895,0.645535321431501,0.1
0.1062124248496994,0.35987524015521255,0.6401247598447874,0.1
0.10821643286573146,0.36524045305888486,0.6347595469411151,0.1
0.11022044088176351,0.37056069737001474,0.6294393026299853,0.1
0.11222444889779558,0.37583634999336846,0.6241636500066315,0.1
0.11422845691382764,0.38106778467468083,0.6189322153253192,0.1
0.11623246492985971,0.3862553720271322,0.6137446279728678,0.1
0.11823647294589178,0.3913994795576049,0.6086005204423951,0.1
0.12024048096192384,0.3965004716927175,0.6034995283072825,0.1
0.1222444889779559,0.4015587098046435,0.5984412901953565,0.1
0.12424849699398796,0.4065745522367109,0.5934254477632891,0.1
0.12625250501002003,0.411548354328789,0.588451645671211,0.1
0.1282565130260521,0.41648046844246256,0.5835195315575374,0.1
0.13026052104208416,0.4213712439859931,0.5786287560140069,0.1
0.13226452905811623,0.4262210274390734,0.5737789725609266,0.1
0.1342685370741483,0.43103016237737213,0.5689698376226279,0.1
0.13627254509018036,0.43579898949687523,0.5642010105031248,0.1
0.13827655310621242,0.440527846638021,0.559472153361979,0.1
0.1402805611222445,0.44521706880963463,0.5547829311903654,0.1
0.14228456913827653,0.4498669882126606,0.5501330117873394,0.1
0.1442885771543086,0.45447793426369787,0.5455220657363021,0.1
0.14629258517034066,0.4590502336183362,0.5409497663816638,0.1
0.14829659318637273,0.46358421019429796,0.536415789805702,0.1
0.1503006012024048,0.4680801851943853,0.5319198148056147,0.1
0.15230460921843686,0.4725384771292357,0.5274615228707643,0.1
0.15430861723446893,0.47695940183988583,0.5230405981601142,0.1
0.156312625250501,0.4813432725201474,0.5186567274798526,0.1
0.15831663326653306,0.4856903997387948,0.5143096002612052,0.1
0.16032064128256512,0.4900010914615661,0.5099989085384339,0.1
0.1623246492985972,0.4942756530729817,0.5057243469270183,0.1
0.16432865731462926,0.49851438739797793,0.5014856126020221,0.1
0.16633266533066132,0.5027175947233604,0.4972824052766396,0.1
0.16833667334669336,0.5068855728190778,0.49311442718092224,0.1
0.17034068136272543,0.5110186169593163,0.4889813830406837,0.1
0.1723446893787575,0.5151170199434181,0.4848829800565819,0.1
0.17434869739478956,0.5191810721166248,0.4808189278833752,0.1
0.17635270541082163,0.5232110613906458,0.47678893860935423,0.1
0.1783567134268537,0.5272072732640551,0.47279272673594486,0.1
0.18036072144288576,0.5311699908425178,0.4688300091574822,0.1
0.18236472945891782,0.5350994948588448,0.4649005051411552,0.1
0.1843687374749499,0.5389960636928826,0.46100393630711745,0.1
0.18637274549098196,0.5428599733912332,0.45714002660876685,0.1
0.18837675350701402,0.5466914976868114,0.45330850231318864,0.1
0.1903807615230461,0.5504909080182361,0.4495090919817639,0.1
0.19238476953907813,0.5542584735490605,0.44574152645093945,0.1
0.1943887775551102,0.5579944611868408,0.4420055388131592,0.1
0.19639278557114226,0.5616991356020438,0.43830086439795624,0.1
0.19839679358717432,0.5653727592467983,0.4346272407532017,0.1
0.2004008016032064,0.5690155923734874,0.4309844076265126,0.1
0.20240480961923846,0.5726278930531862,0.4273721069468138,0.1
0.20440881763527052,0.5762099171939437,0.42379008280605635,0.1
0.2064128256513026,0.579761918558913,0.420238081441087,0.1
0.20841683366733466,0.5832841487843285,0.41671585121567145,0.1
0.21042084168336672,0.5867768573973328,0.41322314260266724,0.1
0.2124248496993988,0.5902402918336532,0.40975970816634677,0.1
0.21442885771543085,0.5936746974551326,0.40632530254486743,0.1
0.21643286573146292,0.5970803175671102,0.4029196824328898,0.1
0.21843687374749496,0.600457393435659,0.39954260656434104,0.1
0.22044088176352702,0.6038061643046777,0.3961938356953223,0.1
0.2224448897795591,0.6071268674128396,0.3928731325871604,0.1
0.22444889779559116,0.6104197380103992,0.38958026198960083,0.1
0.22645290581162322,0.6136850093758583,0.38631499062414165,0.1
0.2284569138276553,0.6169229128324927,0.3830770871675073,0.1
0.23046092184368736,0.620133677764739,0.37986632223526096,0.1
0.23246492985971942,0.6233175316344461,0.37668246836555386,0.1
0.2344689378757515,0.6264746999969886,0.37352530000301143,0.1
0.23647294589178355,0.6296054065172458,0.37039459348275416,0.1
0.23847695390781562,0.632709872985448,0.367290127014552,0.1
0.24048096192384769,0.6357883193328876,0.3642116806671124,0.1
0.24248496993987975,0.6388409636475008,0.36115903635249924,0.1
0.2444889779559118,0.6418680221893172,0.35813197781068284,0.1
0.24649298597194386,0.6448697094057801,0.35513029059421986,0.1
0.24849699398797592,0.6478462379469399,0.35215376205306015,0.1
0.250501002004008,0.6507978186805172,0.3492021813194828,0.1
0.25250501002004005,0.6537246607068437,0.34627533929315635,0.1
0.2545090180360721,0.656626971373673,0.343373028626327,0.1
0.2565130260521042,0.6595049562908721,0.34049504370912786,0.1
0.25851703406813625,0.6623588193449861,0.3376411806550139,0.1
0.2605210420841683,0.665188762713683,0.334811237286317,0.1
0.2625250501002004,0.6679949868800761,0.3320050131199239,0.1
0.26452905811623245,0.6707776906469274,0.3292223093530726,0.1
0.2665330661322645,0.6735370711507314,0.32646292884926864,0.1
0.2685370741482966,0.6762733238756805,0.3237266761243195,0.1
0.27054108216432865,0.6789866426675145,0.3210133573324855,0.1
0.2725450901803607,0.6816772197472529,0.3183227802527471,0.1
0.2745490981963928,0.6843452457248123,0.31565475427518774,0.1
0.27655310621242485,0.6869909096125103,0.3130090903874897,0.1
0.2785571142284569,0.6896143988384558,0.31038560116154423,0.1
0.280561122244489,0.6922158992598263,0.3077841007401737,0.1
0.282565130260521,0.6947955951760361,0.30520440482396394,0.1
0.28456913827655306,0.6973536693417911,0.3026463306582089,0.1
0.2865731462925851,0.6998903029800372,0.3001096970199628,0.1
0.2885771543086172,0.7024056757947976,0.2975943242052024,0.1
0.29058116232464926,0.7048999659839047,0.2951000340160953,0.1
0.2925851703406813,0.7073733502516233,0.2926266497483767,0.1
0.2945891783567134,0.7098260038211698,0.2901739961788302,0.1
0.29659318637274545,0.7122581004471249,0.2877418995528751,0.1
0.2985971943887775,0.7146698124277434,0.2853301875722566,0.1
0.3006012024048096,0.7170613106171606,0.2829386893828394,0.1
0.30260521042084165,0.7194327644374956,0.2805672355625044,0.1
0.3046092184368737,0.7217843418908542,0.27821565810914584,0.1
0.3066132264529058,0.7241162095712307,0.2758837904287693,0.1
0.30861723446893785,0.72642853267631,0.27357146732369,0.1
0.3106212424849699,0.7287214750191706,0.2712785249808294,0.1
0.312625250501002,0.73099519903989,0.26900480096011004,0.1
0.31462925851703405,0.7332498658170522,0.2667501341829478,0.1
0.3166332665330661,0.7354856350791592,0.2645143649208408,0.1
0.3186372745490982,0.7377026652159471,0.2622973347840529,0.1
0.32064128256513025,0.7399011132896062,0.26009888671039383,0.1
0.3226452905811623,0.7420811350459084,0.25791886495409155,0.1
0.3246492985971944,0.7442428849252409,0.25575711507475907,0.1
0.32665330661322645,0.7463865160735468,0.2536134839264532,0.1
0.3286573146292585,0.7485121803531747,0.2514878196468253,0.1
0.3306613226452906,0.7506200283536374,0.2493799716463626,0.1
0.33266533066132264,0.7527102094022801,0.24728979059771994,0.1
0.33466933867735466,0.7547828715748587,0.24521712842514132,0.1
0.3366733466933867,0.7568381617060309,0.2431618382939691,0.1
0.3386773547094188,0.7588762253997581,0.24112377460024192,0.1
0.34068136272545085,0.76089720703962,0.23910279296037995,0.1
0.3426853707414829,0.7629012497990443,0.23709875020095572,0.1
0.344689378757515,0.7648884956514483,0.23511150434855166,0.1
0.34669338677354705,0.7668590853802983,0.23314091461970166,0.1
0.3486973947895791,0.7688131585890816,0.2311868414109184,0.1
0.3507014028056112,0.7707508537111979,0.2292491462888021,0.1
0.35270541082164325,0.7726723080197654,0.22732769198023461,0.1
