leakage_strength,I_over_H,mismatch_entropy_over_H,schematic_error_proxy,epsilon
0.0,0.0,1.0,1.0,0.08
0.0033333333333333335,0.013902455737138109,0.9860975442628619,0.9860975442628619,0.08
0.006666666666666667,0.02761163319875315,0.9723883668012469,0.9723883668012469,0.08
0.01,0.04113021942751549,0.9588697805724845,0.9588697805724845,0.08
0.013333333333333334,0.05446086410960371,0.9455391358903963,0.9455391358903963,0.08
0.016666666666666666,0.06760618009405173,0.9323938199059483,0.9323938199059483,0.08
0.02,0.08056874390487534,0.9194312560951247,0.9194312560951247,0.08
0.023333333333333334,0.09335109624607907,0.9066489037539209,0.9066489037539209,0.08
0.02666666666666667,0.10595574249964279,0.8940442575003572,0.8940442575003572,0.08
0.030000000000000002,0.11838515321658394,0.8816148467834161,0.8816148467834161,0.08
0.03333333333333333,0.13064176460119414,0.8693582353988059,0.8693582353988059,0.08
0.03666666666666667,0.1427279789885425,0.8572720210114575,0.8572720210114575,0.08
0.04,0.15464616531534126,0.8453538346846587,0.8453538346846587,0.08
0.043333333333333335,0.1663986595842647,0.8336013404157353,0.8336013404157353,0.08
0.04666666666666667,0.17798776532181348,0.8220122346781865,0.8220122346781865,0.08
0.05,0.18941575402981292,0.8105842459701871,0.8105842459701871,0.08
0.05333333333333334,0.20068486563063492,0.7993151343693651,0.7993151343693651,0.08
0.05666666666666667,0.2117973089062296,0.7882026910937704,0.7882026910937704,0.08
0.060000000000000005,0.22275526193105388,0.7772447380689461,0.7772447380689461,0.08
0.06333333333333334,0.23356087249898083,0.7664391275010192,0.7664391275010192,0.08
0.06666666666666667,0.24421625854427453,0.7557837414557255,0.7557837414557255,0.08
0.07,0.25472350855671144,0.7452764914432886,0.7452764914432886,0.08
0.07333333333333333,0.26508468199093127,0.7349153180090687,0.7349153180090687,0.08
0.07666666666666667,0.2753018096700972,0.7246981903299028,0.7246981903299028,0.08
0.08,0.28537689418394274,0.7146231058160573,0.7146231058160573,0.08
0.08333333333333334,0.29531191028128656,0.7046880897187134,0.7046880897187134,0.08
0.08666666666666667,0.3051088052570894,0.6948911947429106,0.6948911947429106,0.08
0.09000000000000001,0.3147694993341298,0.6852305006658702,0.6852305006658702,0.08
0.09333333333333334,0.324295886039374,0.675704113960626,0.675704113960626,0.08
0.09666666666666668,0.33368983257511375,0.6663101674248862,0.6663101674248862,0.08
0.1,0.34295318018494325,0.6570468198150567,0.6570468198150567,0.08
0.10333333333333335,0.3520877445146494,0.6479122554853506,0.6479122554853506,0.08
0.10666666666666667,0.36109531596808386,0.6389046840319161,0.6389046840319161,0.08
0.11,0.36997766005808774,0.6300223399419123,0.6300223399419123,0.08
0.11333333333333334,0.37873651775253836,0.6212634822474616,0.6212634822474616,0.08
0.11666666666666667,0.387373605815584,0.612626394184416,0.612626394184416,0.08
0.12000000000000001,0.3958906171441353,0.6041093828558647,0.6041093828558647,0.08
0.12333333333333334,0.4042892210996788,0.5957107789003212,0.5957107789003212,0.08
0.12666666666666668,0.4125710638354766,0.5874289361645234,0.5874289361645234,0.08
0.13,0.42073776861921797,0.579262231380782,0.579262231380782,0.08
0.13333333333333333,0.42879093615118513,0.5712090638488149,0.5712090638488149,0.08
0.1366666666666667,0.4367321448779954,0.5632678551220046,0.5632678551220046,0.08
0.14,0.44456295130198176,0.5554370486980182,0.5554370486980182,0.08
0.14333333333333334,0.4522848902862726,0.5477151097137274,0.5477151097137274,0.08
