time,environmental_distinguishability,friend_record_stability,wigner_boundary_access,friend_record_condition,wigner_record_condition,threshold
0.0,0.0,0.0019460609850855582,7.989233733874994e-07,0.0,0.0,0.72
0.02506265664160401,0.03326859812998895,0.0022163512939744937,8.527171443445807e-07,0.0022163512939744937,8.527171443445807e-07,0.72
0.05012531328320802,0.06543039663844308,0.0025240875463321765,9.101329987910888e-07,0.0025240875463321765,9.101329987910888e-07,0.72
0.07518796992481203,0.09652221719718179,0.0028744293114324315,9.714148211747234e-07,0.0028744293114324315,9.714148211747234e-07,0.72
0.10025062656641603,0.12657965647262215,0.0032732387220860545,1.0368229172632934e-06,0.0032732387220860545,1.0368229172632934e-06,0.72
0.12531328320802004,0.15563712687999132,0.003727173660951743,1.106635119822392e-06,0.003727173660951743,1.106635119822392e-06,0.72
0.15037593984962405,0.1837278959817037,0.004243792568679879,1.1811479687391122e-06,0.004243792568679879,1.1811479687391122e-06,0.72
0.17543859649122806,0.21088412457500894,0.0048316721006874865,1.2606779706042e-06,0.0048316721006874865,1.2606779706042e-06,0.72
0.20050125313283207,0.23713690351251737,0.005500538918859142,1.3455629431023845e-06,0.005500538918859142,1.3455629431023845e-06,0.72
0.22556390977443608,0.2625162892977584,0.006261416941512243,1.4361634499208347e-06,0.006261416941512243,1.4361634499208347e-06,0.72
0.2506265664160401,0.2870513384965242,0.007126791378386346,1.5328643322701143e-06,0.007126791378386346,1.5328643322701143e-06,0.72
0.2756892230576441,0.31077014100339684,0.008110790832596993,1.63607634352229e-06,0.008110790832596993,1.63607634352229e-06,0.72
0.3007518796992481,0.33369985220154375,0.009229388639548681,1.7462378939086514e-06,0.009229388639548681,1.7462378939086514e-06,0.72
0.3258145363408521,0.3558667240526028,0.010500624409631967,1.8638169126870335e-06,0.010500624409631967,1.8638169126870335e-06,0.72
0.3508771929824561,0.37729613515225,0.011944846416783228,1.9893128356874386e-06,0.011944846416783228,1.9893128356874386e-06,0.72
0.37593984962406013,0.39801261978586067,0.013584974990954167,2.1232587266770627e-06,0.013584974990954167,2.1232587266770627e-06,0.72
0.40100250626566414,0.41803989601752967,0.015446786383085507,2.2662235415541846e-06,0.015446786383085507,2.2662235415541846e-06,0.72
0.42606516290726815,0.43740089284460903,0.017559215620851422,2.4188145449866315e-06,0.017559215620851422,2.4188145449866315e-06,0.72
0.45112781954887216,0.4561177764488523,0.019954675596983988,2.5816798897581224e-06,0.019954675596983988,2.5816798897581224e-06,0.72
0.47619047619047616,0.47421197557422023,0.02266938795463693,2.7555113697763508e-06,0.02266938795463693,2.7555113697763508e-06,0.72
0.5012531328320802,0.4917042060604022,0.02574371917329996,2.9410473584341687e-06,0.02574371917329996,2.9410473584341687e-06,0.72
0.5263157894736842,0.5086144945601424,0.02922251252714936,3.1390759448022462e-06,0.02922251252714936,3.1390759448022462e-06,0.72
0.5513784461152882,0.5249622014675225,0.033155403200466636,3.3504382809712458e-06,0.033155403200466636,3.3504382809712458e-06,0.72
0.5764411027568922,0.5407660430834542,0.03759709972971129,3.5760321547583373e-06,0.03759709972971129,3.5760321547583373e-06,0.72
