time,reflex,preference,goal,commitment
0,0.34999925466936554,0.5799694257982189,0.819999329202429,0.939986411465875
1,0.3761743530300989,0.5855010148901489,0.8216636378817722,0.9399808370954005
2,0.3994675983447178,0.5909595038997836,0.8233161353430932,0.9399731629897677
3,0.41731448542785216,0.5962757552961765,0.8249452051639888,0.9399626757583861
4,0.42774994823976176,0.6013818298087155,0.8265393184535501,0.9399484496143544
5,0.42962462356066256,0.606211680553345,0.8280870795176918,0.9399292938954451
6,0.42273128984529956,0.6107017953544177,0.8295772569014046,0.9399036912004137
7,0.40782755185632147,0.6147917763986533,0.8309987951032693,0.9398697255961407
8,0.3865522604588186,0.61842484766376,0.8323408013565529,0.9398250007105453
9,0.36124485148604524,0.6215482823089027,0.833592500957597,0.9397665480304479
10,0.33468747044438063,0.6241137444263927,0.8347431537908983,0.9396907263888421
11,0.3097982450286318,0.6260775422455022,0.8357819240891081,0.9395931144615189
12,0.28930943989158964,0.6274007930372721,0.8366976952607594,0.9394683990973807
13,0.27546588665100546,0.6280495035484044,0.8374788220526338,0.939310263464936
14,0.2697768444963008,0.6279945737078214,0.8381128136627966,0.9391112802769406
15,0.2728485598033123,0.6272117354703755,0.8385859439858387,0.938862816703461
16,0.2843159055929462,0.6256814428077312,0.8388827892537836,0.9385549589264175
17,0.30288057265892865,0.6233887327954498,0.8389856991927851,0.938176465529311
18,0.3264515555650847,0.620323081200065,0.83887421561098,0.937714759937236
19,0.35237242058769896,0.6164782786255946,0.8385244620726702,0.9371559727908174
20,0.3777102991380491,0.6118523547989391,0.8379085397781516,0.9364850453101273
21,0.3995747706836895,0.6064475786214041,0.8369939774450466,0.9356859042375502
22,0.4154315306206304,0.6002705598801658,0.8357432960211633,0.9347417177106775
23,0.42337634098812615,0.5933324747494921,0.834113761229548,0.9336352393025418
24,0.4223391687829507,0.5856494312619336,0.8320574066842857,0.9323492444133968
25,0.41219614192289405,0.5772429827683095,0.8295214157766119,0.930867059199225
26,0.39377714464221814,0.5681407871655778,0.826448949732375,0.929173177341071
27,0.3687684080714131,0.5583773976699345,0.8227805002646238,0.9272539543408628
28,0.33952105535250265,0.5479951576597631,0.8184558264920768,0.9250983629041839
29,0.30878695308867765,0.5370451583117504,0.8134165062872294,0.9226987866536089
30,0.2794112544815278,0.5255882042763124,0.8076090918994888,0.9200518232978162
31,0.25401580610671104,0.5136957204880069,0.8009888096984811,0.9171590629089345
32,0.2347085996362284,0.5014505234560607,0.7935236866976656,0.914027802611332
