time,threat_load,goal_hysteresis,risk_weight_alpha,ranking_diversity
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.032,1.0
2,0.0,0.0,0.06144,1.0
3,0.0,0.0,0.08852480000000001,1.0
4,0.0,0.0,0.11344281600000002,1.0
5,0.0,0.0,0.13636739072000004,1.0
6,0.0,0.0,0.15745799946240005,1.0
7,0.0,0.0,0.17686135950540804,1.0
8,0.0,0.0,0.1947124507449754,1.0
9,0.0,0.0,0.21113545468537737,1.0
10,0.0,0.0,0.22624461831054718,1.0
11,0.0,0.0,0.24014504884570342,1.0
12,0.0,0.0,0.25293344493804715,0.9973645839538605
13,0.0,0.0,0.2646987693430034,0.9924375516264783
14,0.0,0.0,0.2755228677955631,0.9873153146520088
15,0.0,0.0,0.28548103837191807,0.9820347521379421
16,0.0,0.0,0.29464255530216465,0.9766455370481102
17,0.0,0.0,0.3030711508779915,0.9712080871015195
18,0.0,0.0,0.31082545880775225,0.9657912716950268
19,0.0,0.0,0.3179594221031321,0.9604699340952197
20,0.0,0.0,0.3245226683348815,0.9553222936087234
21,0.0,0.0,0.33056085486809106,0.9504272960831421
22,0.0,0.0,0.3361159864786438,0.9458619828142129
23,0.0,0.0,0.34122670756035234,0.9416989476927643
24,0.0,0.0,0.3459285709555242,0.9380039502262947
25,0.0,0.0,0.3502542852790823,0.9348337479770802
26,0.022727272727272728,0.0,0.3578703060931194,0.9312160242685114
27,0.045454545454545456,0.0,0.3685134088783971,0.9272656431607469
28,0.06818181818181818,0.0,0.3819414270772163,0.9230773020764209
29,0.09090909090909091,0.0,0.39793156745649355,0.9187252582601788
30,0.11363636363636365,0.0,0.4162788602417923,0.9142634336390355
31,0.13636363636363635,0.0,0.43679473324063073,0.9097259102230089
32,0.1590909090909091,0.0,0.45930570003592575,0.9051278161585893
33,0.18181818181818182,0.0,0.4836521531239608,0.9004665906138832
34,0.20454545454545456,0.0,0.5096872536013167,0.8957236041567451
35,0.2272727272727273,0.0,0.5372759096768478,0.8908661004979811
36,0.25,0.0,0.5662938369027,0.8858494157032656
37,0.2727272727272727,0.0,0.5966266935868476,0.8806194224944781
38,0.29545454545454547,0.0,0.6281692853726271,0.875115140293308
39,0.3181818181818182,0.0,0.6608248334519079,0.8692714463952221
40,0.34090909090909094,0.0,0.6945043013212099,0.8630218202414857
41,0.36363636363636365,0.0,0.7291257753973313,0.8563010512713409
42,0.38636363636363635,0.0,0.7646138951837266,0.8490478413229323
43,0.4090909090909091,0.0,0.800899329023574,0.841207234992969
44,0.4318181818181818,0.0,0.8379182917925972,0.8327328156904489
45,0.4545454545454546,0.0,0.8756121011764622,0.8235886112060854
46,0.4772727272727273,0.0,0.9139267694459815,0.8137506602948528
47,0.5,0.0,0.952812627890303,0.8032082008189997
48,0.5227272727272727,0.0,0.9922239812954424,0.7919644501697438
49,0.5454545454545454,0.0,1.0321187900645343,0.7800369596935904
50,0.5681818181818182,0.08,1.0782183777684626,0.7658447363867243
51,0.5909090909090909,0.1568,1.1297959620924403,0.7496268728665866
52,0.6136363636363636,0.230528,1.1861921193068634,0.7316172308963395
53,0.6363636363636364,0.30130688,1.2468090269404961,0.7120446892896557
54,0.6590909090909091,0.3692546048,1.3111051817854018,0.6911329188049227
55,0.6818181818181819,0.434484420608,1.3785905546172548,0.6690997420670991
56,0.7045454545454546,0.49710504378368003,1.448822146127572,0.6461561437953748
57,0.7272727272727273,0.5572208420323328,1.5213999114273307,0.6225050023911113
58,0.75,0.6149320083510394,1.595963023114419,0.5983396180653563
