t,memory+external,channel,causal-boundary,thermodynamic,Cacc,active_bottleneck
0.0,5.0,4.597774639159028,5.199997437513112,4.89999908229332,4.597774639159028,channel
0.1,5.0,4.597729797285307,5.1999973726435185,4.899999063754421,4.597729797285307,channel
0.2,5.0,4.59768405416157,5.199997306131747,4.899999044841011,4.59768405416157,channel
0.30000000000000004,5.0,4.597637391769005,5.199997237936226,4.899999025545526,4.597637391769005,channel
0.4,5.0,4.597589791732408,5.199997168014331,4.899999005860247,4.597589791732408,channel
0.5,5.0,4.597541235313289,5.19999709632236,4.899998985777298,4.597541235313289,channel
0.6000000000000001,5.0,4.597491703402862,5.199997022815501,4.899998965288647,4.597491703402862,channel
0.7000000000000001,5.0,4.597441176514885,5.199996947447813,4.899998944386099,4.597441176514885,channel
0.8,5.0,4.597389634778394,5.199996870172187,4.8999989230612915,4.597389634778394,channel
0.9,5.0,4.597337057930283,5.199996790940324,4.899998901305694,4.597337057930283,channel
1.0,5.0,4.597283425307762,5.199996709702703,4.899998879110605,4.597283425307762,channel
1.1,5.0,4.59722871584067,5.199996626408548,4.899998856467146,4.59722871584067,channel
1.2000000000000002,5.0,4.597172908043653,5.199996541005797,4.899998833366259,4.597172908043653,channel
1.3,5.0,4.597115980008199,5.199996453441071,4.899998809798704,4.597115980008199,channel
1.4000000000000001,5.0,4.5970579093945245,5.199996363659641,4.899998785755052,4.5970579093945245,channel
1.5,5.0,4.596998673423328,5.199996271605389,4.899998761225687,4.596998673423328,channel
1.6,5.0,4.5969382488673745,5.199996177220781,4.899998736200796,4.5969382488673745,channel
1.7000000000000002,5.0,4.59687661204295,5.199996080446822,4.89999871067037,4.59687661204295,channel
1.8,5.0,4.596813738801147,5.199995981223027,4.899998684624196,4.596813738801147,channel
1.9000000000000001,5.0,4.596749604519011,5.199995879487378,4.899998658051853,4.596749604519011,channel
2.0,5.0,4.596684184090507,5.199995775176288,4.899998630942715,4.596684184090507,channel
2.1,5.0,4.596617451917349,5.19999566822456,4.899998603285936,4.596617451917349,channel
2.2,5.0,4.596549381899652,5.1999955585653455,4.8999985750704536,4.596549381899652,channel
2.3000000000000003,5.0,4.596479947426427,5.199995446130105,4.899998546284981,4.596479947426427,channel
2.4000000000000004,5.0,4.596409121365905,5.199995330848564,4.8999985169180045,4.596409121365905,channel
