t,R_target_bits,Cacc_bits,Delta_FDS_bits,Qdot_over_kBT
0.0,3.9828921423310435,4.597774639159028,0.0,0.0
0.1,3.9828921423310435,4.597729797285307,0.0,0.0
0.2,3.9828921423310435,4.59768405416157,0.0,0.0
0.30000000000000004,3.9828921423310435,4.597637391769005,0.0,0.0
0.4,3.9828921423310435,4.597589791732408,0.0,0.0
0.5,3.9828921423310435,4.597541235313289,0.0,0.0
0.6000000000000001,3.9828921423310435,4.597491703402862,0.0,0.0
0.7000000000000001,3.9828921423310435,4.597441176514885,0.0,0.0
0.8,3.9828921423310435,4.597389634778394,0.0,0.0
0.9,3.9828921423310435,4.597337057930283,0.0,0.0
1.0,3.9828921423310435,4.597283425307762,0.0,0.0
1.1,3.9828921423310435,4.59722871584067,0.0,0.0
1.2000000000000002,3.9828921423310435,4.597172908043653,0.0,0.0
1.3,3.9828921423310435,4.597115980008199,0.0,0.0
1.4000000000000001,3.9828921423310435,4.5970579093945245,0.0,0.0
1.5,3.9828921423310435,4.596998673423328,0.0,0.0
1.6,3.9828921423310435,4.5969382488673745,0.0,0.0
1.7000000000000002,3.9828921423310435,4.59687661204295,0.0,0.0
1.8,3.9828921423310435,4.596813738801147,0.0,0.0
1.9000000000000001,3.9828921423310435,4.596749604519011,0.0,0.0
2.0,3.9828921423310435,4.596684184090507,0.0,0.0
2.1,3.9828921423310435,4.596617451917349,0.0,0.0
2.2,3.9828921423310435,4.596549381899652,0.0,0.0
2.3000000000000003,3.9828921423310435,4.596479947426427,0.0,0.0
2.4000000000000004,3.9828921423310435,4.596409121365905,0.0,0.0
2.5,3.9828921423310435,4.596336876055693,0.0,0.0
2.6,3.9828921423310435,4.596263183292759,0.0,0.0
2.7,3.9828921423310435,4.596188014323241,0.0,0.0
2.8000000000000003,3.9828921423310435,4.5961113398320785,0.0,0.0
2.9000000000000004,3.9828921423310435,4.596033129932473,0.0,0.0
3.0,3.9828921423310435,4.595953354155153,0.0,0.0
3.1,3.9828921423310435,4.595871981437466,0.0,0.0
3.2,3.9828921423310435,4.595788980112284,0.0,0.0
3.3000000000000003,3.9828921423310435,4.595704317896713,0.0,0.0
3.4000000000000004,3.9828921423310435,4.595617961880617,0.0,0.0
3.5,3.9828921423310435,4.595529878514949,0.0,0.0
3.6,3.9828921423310435,4.59544003359988,0.0,0.0
3.7,3.9828921423310435,4.59534839227274,0.0,0.0
3.8000000000000003,3.9828921423310435,4.595254918995746,0.0,0.0
3.9000000000000004,3.9828921423310435,4.595159577543536,0.0,0.0
4.0,3.9828921423310435,4.595062330990494,0.0,0.0
4.1000000000000005,3.9828921423310435,4.5949631416978685,0.0,0.0
4.2,3.9828921423310435,4.594861971300679,0.0,0.0
4.3,3.9828921423310435,4.594758780694409,0.0,0.0
4.4,3.9828921423310435,4.5946535300214935,0.0,0.0
4.5,3.9828921423310435,4.594546178657574,0.0,0.0
4.6000000000000005,3.9828921423310435,4.594436685197549,0.0,0.0
4.7,3.9828921423310435,4.594325007441397,0.0,0.0
4.800000000000001,3.9828921423310435,4.594211102379773,0.0,0.0
4.9,3.9828921423310435,4.594094926179385,0.0,0.0
5.0,3.9828921423310435,4.593976434168144,0.0,0.0
5.1000000000000005,3.9828921423310435,4.593855580820075,0.0,0.0
5.2,3.9828921423310435,4.593732319740014,0.0,0.0
5.300000000000001,3.9828921423310435,4.59360660364805,0.0,0.0
5.4,3.9828921423310435,4.593478384363752,0.0,0.0
5.5,3.9828921423310435,4.593347612790146,0.0,0.0
5.6000000000000005,3.9828921423310435,4.593214238897463,0.0,0.0
5.7,3.9828921423310435,4.593078211706642,0.0,0.0
5.800000000000001,3.9828921423310435,4.59293947927259,0.0,0.0
5.9,3.9828921423310435,4.592797988667205,0.0,0.0
6.0,3.9828921423310435,4.592653685962156,0.0,0.0
6.1000000000000005,3.9828921423310435,4.592506516211409,0.0,0.0
6.2,3.9828921423310435,4.59235642343352,0.0,0.0
6.300000000000001,3.9828921423310435,4.5922033505936675,0.0,0.0
6.4,3.9828921423310435,4.592047239585453,0.0,0.0
6.5,3.9828921423310435,4.591888031212437,0.0,0.0
6.6000000000000005,3.9828921423310435,4.591725665169441,0.0,0.0
6.7,3.9828921423310435,4.591560080023591,0.0,0.0
6.800000000000001,3.9828921423310435,4.591391213195117,0.0,0.0
6.9,3.9828921423310435,4.591219000937904,0.0,0.0
7.0,3.9828921423310435,4.591043378319786,0.0,0.0
7.1000000000000005,3.9828921423310435,4.590864279202606,0.0,0.0
