t,S_res_observer_1_bits,S_res_observer_2_bits,entropy_gap_bits
0.0,0.4022253608409718,0.4022253608409718,0.0
0.1,0.4022702027146927,0.4022702027146927,0.0
0.2,0.40231594583842956,0.40231594583842956,0.0
0.30000000000000004,0.40236260823099457,0.40236260823099457,0.0
0.4,0.4024102082675922,0.4024102082675922,0.0
0.5,0.4024587646867106,0.4024587646867106,0.0
0.6000000000000001,0.40250829659713805,0.40250829659713805,0.0
0.7000000000000001,0.40255882348511474,0.40255882348511474,0.0
0.8,0.402610365221606,0.402610365221606,0.0
0.9,0.40266294206971676,0.40266294206971676,0.0
1.0,0.40271657469223765,0.40271657469223765,0.0
1.1,0.4027712841593303,0.4027712841593303,0.0
1.2000000000000002,0.4028270919563468,0.4028270919563468,0.0
1.3,0.40288401999180135,0.40288401999180135,0.0
1.4000000000000001,0.4029420906054755,0.4029420906054755,0.0
1.5,0.4030013265766721,0.4030013265766721,0.0
1.6,0.40306175113262555,0.40306175113262555,0.0
1.7000000000000002,0.4031233879570504,0.4031233879570504,0.0
1.8,0.4031862611988526,0.4031862611988526,0.0
1.9000000000000001,0.4032503954809892,0.4032503954809892,0.0
2.0,0.40331581590949295,0.40331581590949295,0.0
2.1,0.40338254808265095,0.40338254808265095,0.0
2.2,0.4034506181003481,0.4034506181003481,0.0
2.3000000000000003,0.4035200525735734,0.4035200525735734,0.0
2.4000000000000004,0.4035908786340947,0.4035908786340947,0.0
2.5,0.40366312394430715,0.40366312394430715,0.0
2.6,0.4037368167072408,0.4037368167072408,0.0
2.7,0.403811985676759,0.403811985676759,0.0
2.8000000000000003,0.40388866016792146,0.40388866016792146,0.0
2.9000000000000004,0.40396687006752696,0.40396687006752696,0.0
3.0,0.40404664584484706,0.40404664584484706,0.0
3.1,0.4041280185625338,0.4041280185625338,0.0
3.2,0.4042110198877156,0.4042110198877156,0.0
3.3000000000000003,0.40429568210328704,0.40429568210328704,0.0
3.4000000000000004,0.4043820381193832,0.4043820381193832,0.0
3.5,0.40447012148505124,0.40447012148505124,0.0
3.6,0.4045599664001198,0.4045599664001198,0.0
3.7,0.40465160772725994,0.40465160772725994,0.0
3.8000000000000003,0.4047450810042541,0.4047450810042541,0.0
3.9000000000000004,0.4048404224564637,0.4048404224564637,0.0
4.0,0.4049376690095059,0.4049376690095059,0.0
4.1000000000000005,0.40503685830213154,0.40503685830213154,0.0
4.2,0.40513802869932114,0.40513802869932114,0.0
4.3,0.40524121930559076,0.40524121930559076,0.0
4.4,0.40534646997850654,0.40534646997850654,0.0
4.5,0.4054538213424257,0.4054538213424257,0.0
4.6000000000000005,0.40556331480245067,0.40556331480245067,0.0
4.7,0.40567499255860273,0.40567499255860273,0.0
4.800000000000001,0.4057888976202273,0.4057888976202273,0.0
4.9,0.40590507382061514,0.40590507382061514,0.0
5.0,0.4060235658318563,0.4060235658318563,0.0
5.1000000000000005,0.40614441917992483,0.40614441917992483,0.0
5.2,0.40626768025998583,0.40626768025998583,0.0
5.300000000000001,0.40639339635194993,0.40639339635194993,0.0
5.4,0.40652161563624833,0.40652161563624833,0.0
5.5,0.40665238720985375,0.40665238720985375,0.0
5.6000000000000005,0.4067857611025367,0.4067857611025367,0.0
5.7,0.40692178829335823,0.40692178829335823,0.0
5.800000000000001,0.40706052072741006,0.40706052072741006,0.0
5.9,0.407202011332795,0.407202011332795,0.0
6.0,0.40734631403784416,0.40734631403784416,0.0
6.1000000000000005,0.40749348378859107,0.40749348378859107,0.0
6.2,0.4076435765664801,0.4076435765664801,0.0
6.300000000000001,0.40779664940633253,0.40779664940633253,0.0
6.4,0.4079527604145472,0.4079527604145472,0.0
6.5,0.40811196878756295,0.40811196878756295,0.0
6.6000000000000005,0.4082743348305593,0.4082743348305593,0.0
6.7,0.40843991997640927,0.40843991997640927,0.0
6.800000000000001,0.40860878680488266,0.40860878680488266,0.0
6.9,0.4087809990620963,0.4087809990620963,0.0
7.0,0.40895662168021385,0.40895662168021385,0.0
7.1000000000000005,0.40913572079739424,0.40913572079739424,0.0
7.2,0.4093183637779827,0.4093183637779827,0.0
7.300000000000001,0.409504619232961,0.409504619232961,0.0
7.4,0.40969455704062785,0.40969455704062785,0.0
7.5,0.4098882483675341,0.4098882483675341,0.0
7.6000000000000005,0.4100857656896588,0.4100857656896588,0.0
7.7,0.4102871828138239,0.4102871828138239,0.0
7.800000000000001,0.41049257489935,0.41049257489935,0.0
7.9,0.4107020184799488,0.4107020184799488,0.0
8.0,0.4109155914858471,0.4109155914858471,0.0
8.1,0.4111333732661464,0.4111333732661464,0.0
8.200000000000001,0.41135544461140494,0.41135544461140494,0.0
8.3,0.4115818877764479,0.4115818877764479,0.0
8.4,0.4118127865033925,0.4118127865033925,0.0
8.5,0.41204822604489877,0.41204822604489877,0.0
8.6,0.41228829318761573,0.41228829318761573,0.0
8.700000000000001,0.41253307627585034,0.41253307627585034,0.0
8.8,0.4127826652354223,0.4127826652354223,0.0
8.9,0.41303715159772025,0.41303715159772025,0.0
9.0,0.41329662852394566,0.41329662852394566,0.0
9.1,0.413561190829534,0.413561190829534,0.0
9.200000000000001,0.41383093500874857,0.41383093500874857,0.0
9.3,0.4141059592594445,0.4141059592594445,0.0
9.4,0.4143863635079823,0.4143863635079823,0.0
9.5,0.4146722494342976,0.4146722494342976,0.0
9.600000000000001,0.4149637204970942,0.4149637204970942,0.0
9.700000000000001,0.4152608819591812,0.4152608819591812,0.0
9.8,0.415563840912915,0.415563840912915,0.0
9.9,0.415872706305751,0.415872706305751,0.0
10.0,0.41618758896588304,0.41618758896588304,0.0
10.100000000000001,0.4165086016279691,0.4165086016279691,0.0
10.200000000000001,0.41683585895891984,0.41683585895891984,0.0
10.3,0.4171694775837329,0.4171694775837329,0.0
10.4,0.4175095761113736,0.4175095761113736,0.0
10.5,0.4178562751606698,0.4178562751606698,0.0
10.600000000000001,0.4182096973862075,0.4182096973862075,0.0
10.700000000000001,0.41856996750421605,0.41856996750421605,0.0
10.8,0.41893721231842207,0.41893721231842207,0.0
10.9,0.4193115607458431,0.4193115607458431,0.0
11.0,0.419693143842518,0.419693143842518,0.0
11.100000000000001,0.4200820948291293,0.4200820948291293,0.0
11.200000000000001,0.42047854911652394,0.42047854911652394,0.0
11.3,0.4208826443310798,0.4208826443310798,0.0
11.4,0.42129452033991566,0.42129452033991566,0.0
11.5,0.4217143192759023,0.4217143192759023,0.0
11.600000000000001,0.42214218556246585,0.42214218556246585,0.0
11.700000000000001,0.4225782659381325,0.4225782659381325,0.0
11.8,0.423022709480807,0.423022709480807,0.0
11.9,0.42347566763174527,0.42347566763174527,0.0
12.0,0.42393729421917925,0.42393729421917925,0.0
12.100000000000001,0.4244077454815871,0.4244077454815871,0.0
12.200000000000001,0.4248871800905416,0.4248871800905416,0.0
12.3,0.42537575917312864,0.42537575917312864,0.0
12.4,0.42587364633388614,0.42587364633388614,0.0
12.5,0.42638100767622067,0.42638100767622067,0.0
12.600000000000001,0.4268980118232726,0.4268980118232726,0.0
12.700000000000001,0.42742482993817976,0.42742482993817976,0.0
12.8,0.42796163574370105,0.42796163574370105,0.0
12.9,0.42850860554115133,0.42850860554115133,0.0
13.0,0.4290659182286056,0.4290659182286056,0.0
13.100000000000001,0.4296337553183234,0.4296337553183234,0.0
13.200000000000001,0.4302123009533343,0.4302123009533343,0.0
13.3,0.43080174192315646,0.43080174192315646,0.0
13.4,0.43140226767856316,0.43140226767856316,0.0
13.5,0.43201407034537276,0.43201407034537276,0.0
13.600000000000001,0.4326373447371843,0.4326373447371843,0.0
13.700000000000001,0.43327228836700993,0.43327228836700993,0.0
13.8,0.4339191014577457,0.4339191014577457,0.0
13.9,0.4345779869514095,0.4345779869514095,0.0
14.0,0.43524915051708835,0.43524915051708835,0.0
14.100000000000001,0.4359328005575325,0.4359328005575325,0.0
14.200000000000001,0.43662914821431986,0.43662914821431986,0.0
14.3,0.4373384073715263,0.4373384073715263,0.0
14.4,0.4380607946578303,0.4380607946578303,0.0
14.5,0.4387965294469778,0.4387965294469778,0.0
14.600000000000001,0.4395458338565277,0.4395458338565277,0.0
14.700000000000001,0.4403089327448084,0.4403089327448084,0.0
14.8,0.44108605370599996,0.44108605370599996,0.0
14.9,0.4418774270632584,0.4418774270632584,0.0
15.0,0.4426832858598102,0.4426832858598102,0.0
15.100000000000001,0.4435038658479149,0.4435038658479149,0.0
15.200000000000001,0.444339405475624,0.444339405475624,0.0
15.3,0.4451901458712406,0.4451901458712406,0.0
15.4,0.44605633082538265,0.44605633082538265,0.0
15.5,0.44693820677057605,0.44693820677057605,0.0
15.600000000000001,0.44783602275825807,0.44783602275825807,0.0
15.700000000000001,0.44875003043311246,0.44875003043311246,0.0
15.8,0.44968048400464156,0.44968048400464156,0.0
15.9,0.4506276402158509,0.4506276402158509,0.0
16.0,0.45159175830898235,0.45159175830898235,0.0
16.1,0.45257309998815654,0.45257309998815654,0.0
16.2,0.4535719293788514,0.4535719293788514,0.0
16.3,0.4545885129840874,0.4545885129840874,0.0
16.400000000000002,0.45562311963723,0.45562311963723,0.0
16.5,0.4566760204512974,0.4566760204512974,0.0
16.6,0.45774748876465665,0.45774748876465665,0.0
16.7,0.4588378000830158,0.4588378000830158,0.0
16.8,0.4599472320175817,0.4599472320175817,0.0
16.900000000000002,0.46107606421929503,0.46107606421929503,0.0
17.0,0.4622245783090122,0.4622245783090122,0.0
17.1,0.4633930578035361,0.4633930578035361,0.0
17.2,0.4645817880373766,0.4645817880373766,0.0
17.3,0.4657910560801408,0.4657910560801408,0.0
17.400000000000002,0.4670211506494253,0.4670211506494253,0.0
17.5,0.46827236201911937,0.46827236201911937,0.0
17.6,0.46954498192299443,0.46954498192299443,0.0
