t,Cacc_bits_per_symbol,Dmin_hamming
0.0,0.9192582130530096,0.009992254968317738
0.1,0.9192432657617692,0.00999450935245447
0.2,0.9192280180538569,0.009996809161273532
0.30000000000000004,0.9192124639230019,0.009999155307634788
0.4,0.9191965972441362,0.010001548722643527
0.5,0.9191804117710968,0.010003990356011117
0.6000000000000001,0.9191639011342874,0.010006481176422277
0.7000000000000001,0.9191470588382952,0.010009022171909864
0.8,0.9191298782594648,0.01001161435023673
0.9,0.9191123526434278,0.010014258739284694
1.0,0.9190944751025875,0.010016956387451346
1.1,0.9190762386135568,0.010019708364054185
1.2000000000000002,0.9190576360145513,0.010022515759742643
1.3,0.9190386600027329,0.01002537968691803
1.4000000000000001,0.9190193031315085,0.010028301280161286
1.5,0.9189995578077761,0.010031281696669194
1.6,0.9189794162891248,0.010034322116698736
1.7000000000000002,0.9189588706809833,0.010037423744019877
1.8,0.9189379129337161,0.010040587806377121
1.9000000000000001,0.9189165348396706,0.010043815555959762
2.0,0.9188947280301692,0.010047108269880988
2.1,0.9188724839724498,0.010050467250666103
2.2,0.9188497939665508,0.010053893826750034
2.3000000000000003,0.9188266491421425,0.010057389352984225
2.4000000000000004,0.9188030404553018,0.010060955211153046
2.5,0.9187789586852312,0.010064592810499887
2.6,0.9187543944309199,0.010068303588263262
2.7,0.918729338107747,0.01007208901022295
2.8000000000000003,0.9187037799440264,0.010075950571256233
2.9000000000000004,0.9186777099774912,0.01007988979590465
3.0,0.9186511180517177,0.010083908238951486
3.1,0.9186239938124888,0.010088007486009628
3.2,0.9185963267040949,0.010092189154120697
3.3000000000000003,0.918568105965571,0.010096454892365277
3.4000000000000004,0.9185393206268725,0.010100806382484218
3.5,0.9185099595049829,0.010105245339511702
3.6,0.9184800111999601,0.010109773512419803
3.7,0.9184494640909134,0.010114392684775028
3.8000000000000003,0.9184183063319155,0.010119104675406831
3.9000000000000004,0.9183865258478454,0.01012391133908858
4.0,0.9183541103301649,0.01012881456723064
4.1000000000000005,0.9183210472326231,0.010133816288586478
4.2,0.918287323766893,0.010138918469971295
4.3,0.9182529268981365,0.01014412311699403
4.4,0.9182178433404979,0.010149432274802292
4.5,0.9181820595525249,0.010154848028841073
4.6000000000000005,0.9181455617325167,0.010160372505624866
4.7,0.9181083358137992,0.0101660078735238
4.800000000000001,0.9180703674599244,0.010171756343563855
4.9,0.9180316420597951,0.010177620170241264
5.0,0.9179921447227146,0.010183601652351604
5.1000000000000005,0.9179518602733586,0.01018970313383347
5.2,0.9179107732466714,0.01019592700462707
5.300000000000001,0.9178688678826834,0.010202275701548042
5.4,0.9178261281212506,0.010208751709176633
5.5,0.9177825375967155,0.01021535756076242
5.6000000000000005,0.917738079632488,0.010222095839144761
5.7,0.9176927372355476,0.010228969177689437
5.800000000000001,0.9176464930908633,0.010235980261241354
5.9,0.9175993295557352,0.010243131827093743
6.0,0.917551228654052,0.010250426665974078
6.1000000000000005,0.9175021720704699,0.010257867623046726
6.2,0.9174521411445067,0.010265457598932881
6.300000000000001,0.917401116864556,0.010273199550747649
6.4,0.9173490798618177,0.010281096493154729
6.5,0.9172960104041457,0.010289151499438789
6.6000000000000005,0.9172418883898136,0.010297367702595778
6.7,0.917186693341197,0.010305748296441531
6.800000000000001,0.9171304043983726,0.010314296536738377
6.9,0.9170730003126346,0.010323015742340888
7.0,0.9170144594399288,0.010331909296359645
7.1000000000000005,0.9169547597342023,0.010340980647344733
7.2,0.9168938787406725,0.010350233310487785
7.300000000000001,0.9168317935890131,0.010359670868843762
7.4,0.9167684809864576,0.01036929697457201
7.5,0.9167039172108221,0.010379115350197282
7.6000000000000005,0.9166380781034472,0.010389129789890428
7.7,0.9165709390620588,0.010399344160769288
7.800000000000001,0.9165024750335501,0.010409762404219702
7.9,0.9164326605066839,0.010420388537237202
8.0,0.9163614695047178,0.010431226653788792
8.1,0.9162888755779514,0.010442280926195834
8.200000000000001,0.9162148517961984,0.010453555606537546
8.3,0.9161393707411842,0.010465055028075505
8.4,0.9160624044988692,0.010476783606699236
8.5,0.9159839246517006,0.010488745842393066
8.6,0.9159039022707948,0.010500946320724062
8.700000000000001,0.91582230790805,0.010513389714351527
8.8,0.9157391115881927,0.010526080784557953
8.9,0.91565428280076,0.010539024382801243
9.0,0.9155677904920181,0.010552225452288868
9.1,0.9154796030568222,0.010565689029573277
9.200000000000001,0.9153896883304173,0.010579420246169147
9.3,0.9152980135801855,0.01059342433019211
9.4,0.9152045454973393,0.010607706608019185
9.5,0.9151092501885677,0.010622272505970753
9.600000000000001,0.9150120931676355,0.010637127552013917
9.700000000000001,0.9149130393469398,0.010652277377487574
9.8,0.9148120530290285,0.0106677277188485
9.9,0.9147090978980832,0.010683484419439077
10.0,0.9146041370113726,0.010699553431275655
10.100000000000001,0.914497132790677,0.01071594081685822
